,count,mean,std,min,25%,50%,75%,max
KOHOINCIndex,2981.0,3942258.561459779,497073.1009442061,2987645.979217993,3465890.9065097976,4064851.723238039,4377673.239369242,4857007.439350293
KOHHDIndex,2981.0,969022.8772842451,258834.13566608969,573799.0239706917,744398.3734536658,932436.4973993842,1147246.884388069,1506842.473990974
MTSLRL$Index,2981.0,1313234.699061856,95177.9227465805,1125033.4133284295,1242325.3502541457,1308689.545719548,1391506.2773325467,1489917.867370491
KOHHLIndex,2981.0,916078.7298796129,244287.40503473338,544936.496570275,707973.8134601815,878615.4963076997,1085926.8131383264,1421449.5193152837
KOVMTOTSIndex,2981.0,351783.99937223323,50933.24716363267,191029.41283842153,316564.4896615952,358710.0291339032,388936.1637518364,472329.4698083591
KOVMPRODIndex,2981.0,352649.6593340068,54444.05807726742,177661.64822429142,316440.9483259449,362143.83530476136,394424.0,447864.9272448504
KOGFTRIndex,2981.0,171959.17109941857,88855.28119758307,4423.39934916984,105532.02526547501,170090.705032674,232170.54463520952,435180.1286505322
KOGFTEXPIndex,2981.0,167453.6058672814,84735.82612017173,-999.9954517769884,104731.81837767504,168539.07194086965,226968.2680834089,409264.78661130834
KOVMEXPSIndex,2981.0,232903.2735270897,41179.014320941635,115616.25584925892,203876.99869352777,238561.52789565615,262680.9211816118,313550.39530774584
KOVMDOMSIndex,2981.0,119009.1303539299,17591.13665915766,73188.04600919744,106510.30984963708,120354.8742164864,130984.42049550507,176926.1836312486
KOUHTTLIndex,2981.0,79652.53476283977,35083.60121000061,27474.96917993273,57650.549057066055,68356.84679254712,99923.69766142177,166199.74608457767
USEMTOTIndex,2981.0,145637.70960911902,4903.393629019023,138003.17540445982,141763.7505898423,145562.0099702469,148870.14339272582,155963.50978174226
LEINWCNIndex,2981.0,131925.48103810812,10123.610669209107,109097.51596406527,126389.4103511711,132852.99640282342,135225.34393854107,154365.20818089118
NFPTIndex,2981.0,137890.80684146585,5499.161035350122,129714.89082143702,133412.1888034373,137517.76229296657,142088.30466868408,149472.8293011115
KOEXTOTIndex,2981.0,41290.98749242709,7330.58458626849,21117.88789518015,35845.83222257213,43380.10842208662,47011.11025417774,55156.82679686534
SKLIIMPTIndex,2981.0,38814.29560195602,5478.192113147895,29596.963182730466,33871.27091855743,38177.252999489894,43733.21021350789,49081.90487315188
KOIMTOTIndex,2981.0,37419.85357679491,6344.528415572131,22543.281110667933,33322.311421755374,38302.87593412729,43087.54678397136,46419.54223057456
LEIMNOIndex,2981.0,39132.55809502355,3490.820938945894,30021.0,37008.41253480075,39246.709884364274,41604.72124396922,45645.96293728199
KOGFBALIndex,2981.0,4505.542537422729,14670.547525324897,-28624.54425417141,-7307.1594083218515,4455.279402627712,15104.989521697593,44368.3989386202
KORSTIndex,2981.0,28176.194709474432,6395.706823134924,16415.86412705476,21145.730205852116,28841.525224419995,33460.110308929194,39912.823622411684
KOBONTLIndex,2981.0,20043.769843933773,3454.5282388369365,10560.05899124426,17734.197968125845,20015.693372245645,22693.04665145363,27684.411487237197
SKLINEIndex,2981.0,25001.995512943737,1192.6221386045895,23167.624990492295,23765.3528145718,24975.57634207336,26127.707447903875,26864.05096584326
SKLIEMPPIndex,2981.0,23489.046065075778,1347.7761712121905,21399.51412153932,22097.29266290279,23462.40832022136,24797.171596255816,25513.680822266153
GDPCUR$Index,2981.0,16519.84222185645,1926.017089635347,13798.783535359778,14689.781232529742,16195.674097674402,18300.20593466823,20690.61586502233
KOBPTBIndex,2981.0,5646.440471188365,3641.0868044395866,-2283.1980740777117,2825.92218328381,5565.080205282191,8617.209080225088,14524.13772007098
SKLICONTIndex,2981.0,9054.271765562693,2213.4808641468935,5236.503008009986,7301.089587923584,8810.634320899106,10844.294664465951,14321.234837333526
PIDSPINXIndex,2981.0,11782.574763553508,936.1114165286355,10414.263010615261,11108.601363807351,11543.5311429869,12694.122394184298,13808.400973109377
KOTRBALIndex,2981.0,3871.1330182639767,3168.2019386125116,-4046.1363287596687,1861.1215827278363,3732.361355071465,6114.859718852108,13427.20227678549
OEKRN022Index,2981.0,3926.867013023762,4069.717551707874,-9414.814415685554,1960.730412579208,3632.6134452371557,6009.251545903104,13180.733753315257
