DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
2019-10-31 00:00:00,32.98,34.34,32.82,33.93,67880000,2.41
2019-10-30 00:00:00,32.93,33.34,32.03,33.13,78230000,0.3
2019-10-29 00:00:00,33.73,33.9,32.7,33.03,78700000,-1.96
2019-10-28 00:00:00,33.16,33.91,33.15,33.69,51220000,3.0
2019-10-25 00:00:00,31.9,32.86,31.83,32.71,45370000,3.12
2019-10-24 00:00:00,31.58,31.86,31.34,31.72,28450000,1.15
2019-10-23 00:00:00,31.09,31.65,30.83,31.36,26860000,-0.48
2019-10-22 00:00:00,32.06,32.15,31.5,31.51,36860000,-1.62
2019-10-21 00:00:00,31.5,32.26,31.41,32.03,52650000,3.42
2019-10-18 00:00:00,31.06,31.33,30.29,30.97,39710000,-0.55
2019-10-17 00:00:00,31.3,31.4,30.86,31.14,37010000,1.07
2019-10-16 00:00:00,30.6,31.41,30.53,30.81,43060000,0.29
2019-10-15 00:00:00,30.7,30.92,30.17,30.72,42140000,0.62
2019-10-14 00:00:00,29.71,30.61,29.38,30.53,44820000,2.62
2019-10-11 00:00:00,28.83,30.2,28.81,29.75,66629999,4.83
2019-10-10 00:00:00,28.52,28.89,28.0,28.38,41170000,-0.28
2019-10-09 00:00:00,28.8,28.95,28.35,28.46,36320000,0.81
2019-10-08 00:00:00,28.55,28.64,27.92,28.23,44430000,-2.42
2019-10-07 00:00:00,28.9,29.63,28.84,28.93,39750000,-0.28
2019-10-04 00:00:00,28.83,29.06,28.57,29.01,34610000,1.15
2019-10-03 00:00:00,28.28,28.78,27.43,28.68,56910000,1.31
2019-10-02 00:00:00,28.5,28.85,28.03,28.31,44050000,-1.56
2019-10-01 00:00:00,29.05,29.54,28.64,28.76,37370000,-0.79
2019-09-30 00:00:00,28.89,29.05,28.36,28.99,40330000,0.94
2019-09-27 00:00:00,29.17,29.77,28.35,28.72,54140000,-2.54
2019-09-26 00:00:00,29.67,29.77,29.0,29.47,41180000,-0.24
2019-09-25 00:00:00,29.48,29.65,28.55,29.54,58690000,0.07
2019-09-24 00:00:00,30.54,30.75,29.29,29.52,73220000,-3.66
2019-09-23 00:00:00,30.12,30.8,30.07,30.64,45190000,1.96
2019-09-20 00:00:00,30.36,30.47,29.65,30.05,83560000,-0.79
2019-09-19 00:00:00,30.57,30.96,30.14,30.29,41930000,-0.43
2019-09-18 00:00:00,30.75,30.89,29.88,30.42,47280000,-1.84
2019-09-17 00:00:00,31.07,31.32,30.74,30.99,35130000,0.52
2019-09-16 00:00:00,30.37,31.15,30.26,30.83,52250000,0.46
2019-09-13 00:00:00,30.27,30.85,29.95,30.69,47760000,1.59
2019-09-12 00:00:00,30.08,30.84,29.95,30.21,53620000,1.51
