DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
2019-10-31 00:00:00,247.24,249.17,237.26,248.76,34790000,2.26
2019-10-30 00:00:00,244.76,245.3,241.21,243.26,31130000,-0.01
2019-10-29 00:00:00,248.97,249.75,242.57,243.29,35710000,-2.31
2019-10-28 00:00:00,247.42,249.25,246.72,249.05,24140000,1.0
2019-10-25 00:00:00,243.16,246.73,242.88,246.58,18370000,1.23
2019-10-24 00:00:00,244.51,244.8,241.81,243.58,17920000,0.16
2019-10-23 00:00:00,242.1,243.24,241.22,243.18,19930000,1.34
2019-10-22 00:00:00,241.16,242.2,239.62,239.96,22680000,-0.23
2019-10-21 00:00:00,237.52,240.99,237.32,240.51,22370000,1.73
2019-10-18 00:00:00,234.59,237.58,234.29,236.41,24380000,0.48
2019-10-17 00:00:00,235.09,236.15,233.52,235.28,17270000,0.39
2019-10-16 00:00:00,233.37,235.24,233.2,234.37,19290000,-0.4
2019-10-15 00:00:00,236.39,237.65,234.88,235.32,23040000,-0.23
2019-10-14 00:00:00,234.9,238.13,234.67,235.87,24410000,-0.14
2019-10-11 00:00:00,232.95,237.64,232.31,236.21,41990000,2.66
2019-10-10 00:00:00,227.93,230.44,227.3,230.09,28960000,1.35
2019-10-09 00:00:00,227.03,227.79,225.64,227.03,19030000,1.17
2019-10-08 00:00:00,225.82,228.06,224.33,224.4,29280000,-1.17
2019-10-07 00:00:00,226.27,229.93,225.84,227.06,30890000,0.02
2019-10-04 00:00:00,225.64,227.49,223.89,227.01,34760000,2.8
2019-10-03 00:00:00,218.43,220.96,215.13,220.82,30350000,0.85
2019-10-02 00:00:00,223.06,223.58,217.93,218.96,35770000,-2.51
2019-10-01 00:00:00,225.07,228.22,224.2,224.59,36190000,0.28
2019-09-30 00:00:00,220.9,224.58,220.79,223.97,26320000,2.35
2019-09-27 00:00:00,220.54,220.96,217.28,218.82,25360000,-0.49
2019-09-26 00:00:00,220.0,220.94,218.83,219.89,19090000,-0.52
2019-09-25 00:00:00,218.55,221.5,217.14,221.03,22480000,1.54
2019-09-24 00:00:00,221.03,222.49,217.19,217.68,31430000,-0.48
2019-09-23 00:00:00,218.95,219.84,217.65,218.72,19420000,0.45
2019-09-20 00:00:00,221.38,222.56,217.47,217.73,57980000,-1.46
2019-09-19 00:00:00,222.01,223.76,220.37,220.96,22190000,-0.81
2019-09-18 00:00:00,221.06,222.85,219.44,222.77,25640000,0.94
2019-09-17 00:00:00,219.96,220.82,219.12,220.7,18390000,0.36
2019-09-16 00:00:00,217.73,220.13,217.56,219.9,21160000,0.53
2019-09-13 00:00:00,220.0,220.79,217.02,218.75,39760000,-1.95
2019-09-12 00:00:00,224.8,226.42,222.86,223.09,32229999,-0.22
2019-09-11 00:00:00,218.07,223.71,217.73,223.59,44290000,3.18
2019-09-10 00:00:00,213.86,216.78,211.71,216.7,31780000,1.18
2019-09-09 00:00:00,214.84,216.44,211.07,214.17,27310000,0.43
2019-09-06 00:00:00,214.05,214.42,212.51,213.26,19360000,-0.01
2019-09-05 00:00:00,212.0,213.97,211.51,213.28,23950000,1.96
2019-09-04 00:00:00,208.39,209.48,207.32,209.19,19220000,1.7
2019-09-03 00:00:00,206.43,206.98,204.22,205.7,20060000,-1.46
2019-08-30 00:00:00,210.16,210.45,207.2,208.74,21160000,-0.13
2019-08-29 00:00:00,208.5,209.32,206.66,209.01,21010000,1.69
2019-08-28 00:00:00,204.1,205.72,203.32,205.53,15960000,0.67
2019-08-27 00:00:00,207.86,208.55,203.53,204.16,25900000,-1.13
2019-08-26 00:00:00,205.86,207.19,205.06,206.49,26070000,1.9
2019-08-23 00:00:00,209.43,212.05,201.0,202.64,46880000,-4.62
2019-08-22 00:00:00,213.19,214.44,210.75,212.46,22270000,-0.08
2019-08-21 00:00:00,212.99,213.65,211.6,212.64,21560000,1.08
2019-08-20 00:00:00,210.88,213.35,210.32,210.36,26920000,0.0
2019-08-19 00:00:00,210.62,212.73,210.03,210.35,24430000,1.86
2019-08-16 00:00:00,204.28,207.16,203.84,206.5,28810000,2.36
2019-08-15 00:00:00,203.46,205.14,199.67,201.74,27880000,-0.5
