DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
2019-10-31 00:00:00,1776.66,1775.99,1792.0,1771.48,2780000,-0.19
2019-10-30 00:00:00,1779.99,1760.24,1782.38,1759.12,2450000,0.98
2019-10-29 00:00:00,1762.71,1774.81,1777.0,1755.81,2280000,-0.81
2019-10-28 00:00:00,1777.08,1748.06,1778.7,1742.5,3710000,0.89
2019-10-25 00:00:00,1761.33,1697.55,1764.21,1695.0,9630000,-1.09
2019-10-24 00:00:00,1780.78,1771.09,1788.34,1760.27,5200000,1.06
2019-10-23 00:00:00,1762.17,1761.3,1770.05,1742.0,2190000,-0.2
2019-10-22 00:00:00,1765.73,1788.15,1789.78,1762.0,2230000,-1.12
2019-10-21 00:00:00,1785.66,1769.66,1785.88,1765.0,2220000,1.6
2019-10-18 00:00:00,1757.51,1787.8,1793.98,1749.2,3370000,-1.68
2019-10-17 00:00:00,1787.48,1796.49,1798.85,1782.02,2710000,0.57
2019-10-16 00:00:00,1777.43,1773.33,1786.24,1770.52,2800000,0.57
2019-10-15 00:00:00,1767.38,1742.14,1776.45,1740.62,3130000,1.78
2019-10-14 00:00:00,1736.43,1728.91,1741.89,1722.0,1930000,0.26
2019-10-11 00:00:00,1731.92,1742.92,1745.45,1729.86,3280000,0.68
2019-10-10 00:00:00,1720.26,1725.24,1738.29,1713.75,2720000,-0.1
2019-10-09 00:00:00,1721.99,1719.61,1729.95,1714.36,2089999,0.97
2019-10-08 00:00:00,1705.51,1722.49,1727.0,1705.0,2630000,-1.57
2019-10-07 00:00:00,1732.66,1731.63,1747.83,1723.7,2190000,-0.4
2019-10-04 00:00:00,1739.65,1726.02,1740.58,1719.23,2490000,0.88
2019-10-03 00:00:00,1724.42,1713.0,1725.0,1685.06,3620000,0.65
2019-10-02 00:00:00,1713.23,1727.74,1728.89,1705.0,3340000,-1.29
2019-10-01 00:00:00,1735.65,1746.0,1755.6,1728.41,3170000,-0.01
2019-09-30 00:00:00,1735.91,1726.99,1737.46,1709.22,2760000,0.61
2019-09-27 00:00:00,1725.45,1748.0,1749.12,1713.82,3950000,-0.83
2019-09-26 00:00:00,1739.84,1762.79,1763.37,1731.5,3570000,-1.61
2019-09-25 00:00:00,1768.33,1747.36,1773.0,1723.0,3530000,1.53
2019-09-24 00:00:00,1741.61,1790.61,1795.7,1735.55,4640000,-2.45
2019-09-23 00:00:00,1785.3,1777.0,1792.7,1767.32,3140000,-0.49
2019-09-20 00:00:00,1794.16,1821.71,1830.63,1780.92,5560000,-1.5
2019-09-19 00:00:00,1821.5,1821.02,1832.57,1817.9,2080000,0.22
2019-09-18 00:00:00,1817.46,1817.04,1822.06,1795.5,2540000,-0.28
2019-09-17 00:00:00,1822.55,1807.08,1823.99,1804.1,2029999,0.81
2019-09-16 00:00:00,1807.84,1824.02,1825.69,1800.2,3680000,-1.71
2019-09-13 00:00:00,1839.34,1842.01,1846.12,1835.17,1970000,-0.23
2019-09-12 00:00:00,1843.55,1837.63,1853.66,1834.28,2820000,1.13
2019-09-11 00:00:00,1822.99,1812.14,1833.42,1809.08,2430000,0.13
2019-09-10 00:00:00,1820.55,1822.75,1825.81,1805.34,2610000,-0.59
2019-09-09 00:00:00,1831.35,1841.0,1850.0,1824.61,3000000,-0.12
2019-09-06 00:00:00,1833.51,1838.22,1840.65,1826.4,2500000,-0.39
2019-09-05 00:00:00,1840.72,1821.95,1842.0,1815.58,3330000,2.23
2019-09-04 00:00:00,1800.62,1805.0,1807.63,1796.23,2330000,0.6
2019-09-03 00:00:00,1789.84,1770.0,1800.8,1768.0,3550000,0.76
2019-08-30 00:00:00,1776.29,1797.49,1799.74,1764.57,3060000,-0.57
2019-08-29 00:00:00,1786.4,1783.0,1798.55,1777.25,3020000,1.26
2019-08-28 00:00:00,1764.25,1755.0,1767.86,1744.05,2420000,0.14
2019-08-27 00:00:00,1761.83,1775.73,1779.4,1746.68,3030000,-0.4
2019-08-26 00:00:00,1768.87,1766.91,1770.0,1743.51,3090000,1.1
2019-08-23 00:00:00,1749.62,1793.03,1804.9,1745.23,5280000,-3.1
2019-08-22 00:00:00,1805.6,1828.0,1829.41,1800.1,2660000,-0.98
2019-08-21 00:00:00,1823.54,1819.39,1829.58,1815.0,2040000,1.23
2019-08-20 00:00:00,1801.38,1814.5,1816.82,1799.88,1930000,-0.81
2019-08-19 00:00:00,1816.12,1818.08,1826.0,1812.61,2820000,1.31
2019-08-16 00:00:00,1792.57,1792.89,1802.91,1784.55,3050000,0.93
2019-08-15 00:00:00,1776.12,1781.99,1788.0,1761.96,3810000,0.75
2019-08-14 00:00:00,1762.96,1793.01,1795.65,1757.21,4890000,-3.36
2019-08-13 00:00:00,1824.34,1783.0,1831.74,1780.0,4080000,2.21
2019-08-12 00:00:00,1784.92,1795.99,1800.98,1777.0,2910000,-1.25
2019-08-09 00:00:00,1807.58,1828.95,1831.09,1802.22,2880000,-1.38
2019-08-08 00:00:00,1832.89,1806.0,1834.26,1798.11,3700000,2.2
2019-08-07 00:00:00,1793.4,1773.99,1798.93,1757.0,4530000,0.31
2019-08-06 00:00:00,1787.83,1792.23,1793.77,1753.4,5070000,1.29
2019-08-05 00:00:00,1765.13,1770.22,1788.67,1748.78,6060000,-3.19
2019-08-02 00:00:00,1823.24,1845.07,1846.36,1808.02,4960000,-1.73
2019-08-01 00:00:00,1855.32,1871.72,1897.92,1844.01,4710000,-0.61
2019-07-31 00:00:00,1866.78,1898.11,1899.55,1849.44,4470000,-1.67
2019-07-30 00:00:00,1898.53,1891.12,1909.89,1883.48,2910000,-0.73
2019-07-29 00:00:00,1912.45,1930.0,1932.23,1890.54,4490000,-1.57
2019-07-26 00:00:00,1943.05,1942.0,1950.89,1924.51,4930000,-1.56
2019-07-25 00:00:00,1973.82,2001.0,2001.2,1972.72,4139999,-1.35
2019-07-24 00:00:00,2000.81,1969.3,2001.3,1965.87,2630000,0.32
2019-07-23 00:00:00,1994.49,1995.99,1997.79,1973.13,2700000,0.45
2019-07-22 00:00:00,1985.63,1971.14,1989.0,1958.26,2910000,1.07
2019-07-19 00:00:00,1964.52,1991.21,1996.0,1962.23,3190000,-0.68
2019-07-18 00:00:00,1977.9,1980.01,1987.5,1951.55,3500000,-0.71
2019-07-17 00:00:00,1992.03,2007.05,2012.0,1992.03,2560000,-0.89
2019-07-16 00:00:00,2009.9,2010.58,2026.32,2001.22,2620000,-0.55
2019-07-15 00:00:00,2020.99,2021.4,2022.9,2001.55,2980000,0.5
2019-07-12 00:00:00,2011.0,2008.27,2017.0,2003.87,2510000,0.5
2019-07-11 00:00:00,2001.07,2025.62,2035.8,1995.3,4320000,-0.81
2019-07-10 00:00:00,2017.41,1996.51,2024.94,1995.4,4930000,1.46
2019-07-09 00:00:00,1988.3,1947.8,1990.01,1943.47,4350000,1.84
2019-07-08 00:00:00,1952.32,1934.12,1956.0,1928.25,2880000,0.48
2019-07-05 00:00:00,1942.91,1928.6,1945.9,1925.3,2630000,0.2
2019-07-03 00:00:00,1939.0,1935.89,1941.59,1930.5,1690000,0.24
2019-07-02 00:00:00,1934.31,1919.38,1934.79,1906.63,2650000,0.63
2019-07-01 00:00:00,1922.19,1922.98,1929.82,1914.66,3200000,1.51
2019-06-28 00:00:00,1893.63,1909.1,1912.94,1884.0,3040000,-0.56
2019-06-27 00:00:00,1904.28,1902.0,1911.24,1898.04,2140000,0.34
2019-06-26 00:00:00,1897.83,1892.48,1903.8,1887.32,2440000,1.04
2019-06-25 00:00:00,1878.27,1911.84,1916.38,1872.42,3010000,-1.86
2019-06-24 00:00:00,1913.9,1912.66,1916.86,1901.3,2280000,0.14
2019-06-21 00:00:00,1911.3,1916.1,1925.95,1907.58,3930000,-0.36
2019-06-20 00:00:00,1918.19,1933.33,1935.2,1905.8,3220000,0.49
2019-06-19 00:00:00,1908.79,1907.84,1919.58,1892.47,2900000,0.39
2019-06-18 00:00:00,1901.37,1901.35,1921.67,1899.79,3900000,0.81
2019-06-17 00:00:00,1886.03,1876.5,1895.69,1875.45,2630000,0.88
2019-06-14 00:00:00,1869.67,1864.0,1876.0,1859.0,2850000,-0.03
2019-06-13 00:00:00,1870.3,1866.72,1883.09,1862.22,2800000,0.81
2019-06-12 00:00:00,1855.32,1853.98,1865.0,1844.38,2680000,-0.45
2019-06-11 00:00:00,1863.7,1883.25,1893.7,1858.0,4040000,0.16
2019-06-10 00:00:00,1860.63,1822.0,1884.87,1818.0,5370000,3.14
2019-06-07 00:00:00,1804.03,1763.7,1806.25,1759.49,4810000,2.83
2019-06-06 00:00:00,1754.36,1737.71,1760.0,1726.13,3690000,0.91
2019-06-05 00:00:00,1738.5,1749.6,1752.0,1715.25,4240000,0.52
2019-06-04 00:00:00,1729.56,1699.24,1730.82,1680.89,5680000,2.18
2019-06-03 00:00:00,1692.69,1760.01,1766.29,1672.0,9100000,-4.64
2019-05-31 00:00:00,1775.07,1790.01,1795.59,1772.7,4620000,-2.27
2019-05-30 00:00:00,1816.32,1825.49,1829.47,1807.83,3150000,-0.16
2019-05-29 00:00:00,1819.19,1823.12,1830.0,1807.53,4280000,-0.94
2019-05-28 00:00:00,1836.43,1832.75,1849.27,1827.35,3200000,0.72
2019-05-24 00:00:00,1823.28,1835.89,1841.76,1817.85,3370000,0.43
2019-05-23 00:00:00,1815.48,1836.59,1844.0,1804.2,4420000,-2.38
2019-05-22 00:00:00,1859.68,1851.78,1871.48,1851.0,2940000,0.12
2019-05-21 00:00:00,1857.52,1874.79,1879.0,1846.0,4010000,-0.08
2019-05-20 00:00:00,1858.97,1852.69,1867.78,1835.54,3800000,-0.54
2019-05-17 00:00:00,1869.0,1893.05,1910.53,1867.33,4740000,-2.02
2019-05-16 00:00:00,1907.57,1885.94,1917.51,1882.29,4710000,1.95
2019-05-15 00:00:00,1871.15,1827.95,1874.43,1823.0,4690000,1.69
2019-05-14 00:00:00,1840.12,1839.5,1852.44,1815.75,4630000,0.96
