DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
2019-10-31 00:00:00,54.26,55.19,55.19,53.56,6740000,-1.72
2019-10-30 00:00:00,55.21,55.33,55.44,54.67,4250000,-0.56
2019-10-29 00:00:00,55.52,56.68,57.09,55.4,6350000,-2.51
2019-10-28 00:00:00,56.95,56.03,57.29,56.0,8760000,2.21
2019-10-25 00:00:00,55.72,54.9,55.84,54.53,8570000,1.18
2019-10-24 00:00:00,55.07,52.94,55.12,52.75,18720000,8.98
2019-10-23 00:00:00,50.53,51.29,51.45,50.24,8610000,-2.79
2019-10-22 00:00:00,51.98,52.65,52.71,51.94,4480000,-1.25
2019-10-21 00:00:00,52.64,52.19,52.7,51.99,5970000,1.86
2019-10-18 00:00:00,51.68,52.22,52.41,51.04,6420000,-0.88
2019-10-17 00:00:00,52.14,52.46,53.25,51.84,5160000,1.12
2019-10-16 00:00:00,51.56,51.88,52.8,51.35,8460000,-2.55
2019-10-15 00:00:00,52.91,52.07,53.14,51.88,8060000,1.87
2019-10-14 00:00:00,51.94,51.81,52.12,51.79,3430000,0.37
2019-10-11 00:00:00,51.75,52.16,52.39,51.71,6820000,1.45
2019-10-10 00:00:00,51.01,50.67,51.6,50.64,5370000,0.33
2019-10-09 00:00:00,50.84,50.12,51.17,50.0,6360000,3.1
2019-10-08 00:00:00,49.31,50.15,50.28,49.08,5720000,-2.65
2019-10-07 00:00:00,50.65,50.82,51.11,50.58,5480000,-0.45
2019-10-04 00:00:00,50.88,50.01,50.9,49.89,4620000,2.5
2019-10-03 00:00:00,49.64,49.42,49.77,48.78,7080000,0.36
2019-10-02 00:00:00,49.46,49.37,49.88,49.21,6560000,-1.12
2019-10-01 00:00:00,50.02,50.41,51.0,49.77,7750000,0.24
2019-09-30 00:00:00,49.9,49.75,50.22,49.26,6780000,0.95
2019-09-27 00:00:00,49.43,51.12,51.46,49.15,11210000,-5.22
2019-09-26 00:00:00,52.15,52.17,52.46,51.81,4910000,0.42
2019-09-25 00:00:00,51.93,50.65,52.12,50.5,5490000,1.51
2019-09-24 00:00:00,51.16,52.02,52.58,50.87,7090000,-1.16
2019-09-23 00:00:00,51.76,50.85,51.97,50.8,5470000,1.57
2019-09-20 00:00:00,50.96,51.9,52.02,50.87,11650000,-1.39
2019-09-19 00:00:00,51.68,52.49,52.62,51.37,6050000,-0.79
2019-09-18 00:00:00,52.09,51.26,52.1,51.03,7920000,1.74
2019-09-17 00:00:00,51.2,50.55,51.26,50.43,5480000,0.55
2019-09-16 00:00:00,50.92,50.73,51.48,50.28,5160000,-0.84
2019-09-13 00:00:00,51.35,51.74,51.98,51.04,6050000,0.2
2019-09-12 00:00:00,51.25,51.65,51.86,51.04,6250000,-0.6
2019-09-11 00:00:00,51.56,50.43,51.57,50.01,8100000,2.73
2019-09-10 00:00:00,50.19,50.38,50.49,49.62,7300000,-0.93
2019-09-09 00:00:00,50.66,50.29,50.8,49.96,6650000,1.12
2019-09-06 00:00:00,50.1,50.47,50.5,49.8,6910000,-0.5
2019-09-05 00:00:00,50.35,50.46,51.73,50.27,10420000,1.7
2019-09-04 00:00:00,49.51,48.57,49.56,48.4,10230000,3.99
2019-09-03 00:00:00,47.61,47.64,47.77,47.16,7150000,-0.85
2019-08-30 00:00:00,48.02,47.55,48.09,47.39,7820000,1.5
2019-08-29 00:00:00,47.31,46.66,47.42,46.63,6790000,3.07
2019-08-28 00:00:00,45.9,45.4,46.04,44.88,4810000,0.86
2019-08-27 00:00:00,45.51,46.0,46.24,45.11,5930000,-0.22
2019-08-26 00:00:00,45.61,46.0,46.17,45.44,5720000,1.09
2019-08-23 00:00:00,45.12,46.51,46.84,44.81,11620000,-4.06
2019-08-22 00:00:00,47.03,47.14,47.28,46.44,4280000,0.43
2019-08-21 00:00:00,46.83,47.2,47.52,46.73,5200000,0.21
2019-08-20 00:00:00,46.73,46.93,47.14,46.51,7750000,-0.79
2019-08-19 00:00:00,47.1,47.6,47.93,46.8,8860000,1.01
2019-08-16 00:00:00,46.63,45.96,46.99,44.62,17870000,-1.12
2019-08-15 00:00:00,47.16,47.0,47.31,46.5,10960000,0.96
2019-08-14 00:00:00,46.71,46.95,47.24,46.39,7210000,-2.81
2019-08-13 00:00:00,48.06,46.43,48.25,46.07,9160000,3.44
2019-08-12 00:00:00,46.46,46.98,47.09,46.23,7110000,-1.46
2019-08-09 00:00:00,47.15,47.54,47.54,46.56,5290000,-1.48
2019-08-08 00:00:00,47.86,47.09,47.95,46.89,6120000,2.53
2019-08-07 00:00:00,46.68,46.04,46.86,45.75,7590000,0.76
2019-08-06 00:00:00,46.33,46.42,46.97,45.67,7430000,1.91
