DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
2019-10-31 00:00:00,52.89,53.65,53.8,52.11,1540000,-1.6
2019-10-30 00:00:00,53.75,53.21,54.15,52.73,1700000,0.94
2019-10-29 00:00:00,53.25,51.65,53.27,51.56,2650000,3.22
2019-10-28 00:00:00,51.59,51.93,52.45,51.47,1580000,-0.17
2019-10-25 00:00:00,51.68,51.11,52.32,50.95,1620000,1.31
2019-10-24 00:00:00,51.01,50.66,51.25,49.93,1530000,1.41
2019-10-23 00:00:00,50.3,49.89,50.41,49.26,1250000,0.64
2019-10-22 00:00:00,49.98,50.31,50.63,49.78,1040000,-0.02
2019-10-21 00:00:00,49.99,49.9,50.51,49.59,1210000,0.24
2019-10-18 00:00:00,49.87,50.36,50.44,49.5,1770000,-0.99
2019-10-17 00:00:00,50.37,50.84,51.25,50.31,1010000,-0.34
2019-10-16 00:00:00,50.54,50.92,50.93,50.17,1010000,-1.15
2019-10-15 00:00:00,51.13,50.5,51.74,50.35,1040000,0.89
2019-10-14 00:00:00,50.68,50.25,50.75,50.11,786570,0.76
2019-10-11 00:00:00,50.3,49.87,51.38,49.77,1530000,2.65
2019-10-10 00:00:00,49.0,49.41,49.59,48.89,2290000,-0.93
2019-10-09 00:00:00,49.46,49.14,49.73,48.75,1320000,1.33
2019-10-08 00:00:00,48.81,50.19,50.37,48.79,1530000,-3.38
2019-10-07 00:00:00,50.52,50.1,51.07,49.99,1590000,0.5
2019-10-04 00:00:00,50.27,51.23,51.5,50.2,1940000,-1.55
2019-10-03 00:00:00,51.06,50.81,51.37,49.39,1350000,0.55
2019-10-02 00:00:00,50.78,51.5,51.51,50.16,1590000,-1.67
2019-10-01 00:00:00,51.64,52.13,52.89,51.4,1940000,-0.42
2019-09-30 00:00:00,51.86,50.95,52.03,50.87,1330000,1.79
2019-09-27 00:00:00,50.95,52.42,52.88,50.39,2220000,-2.3
2019-09-26 00:00:00,52.15,53.0,53.0,51.32,3080000,-2.96
2019-09-25 00:00:00,53.74,52.19,54.02,52.05,3070000,2.95
2019-09-24 00:00:00,52.2,53.06,53.65,51.66,3360000,-1.4
2019-09-23 00:00:00,52.94,51.81,53.0,51.02,2480000,2.1
2019-09-20 00:00:00,51.85,53.19,53.34,51.7,3060000,-2.24
2019-09-19 00:00:00,53.04,52.76,53.65,52.56,2890000,0.45
2019-09-18 00:00:00,52.8,53.93,53.93,52.01,1920000,-1.95
2019-09-17 00:00:00,53.85,54.0,54.1,53.11,1440000,-0.46
2019-09-16 00:00:00,54.1,53.0,54.55,52.88,1530000,1.1
2019-09-13 00:00:00,53.51,54.05,54.65,53.44,1410000,-1.18
2019-09-12 00:00:00,54.15,55.55,55.93,54.05,2870000,-2.08
2019-09-11 00:00:00,55.3,55.12,55.5,54.7,3000000,-0.32
2019-09-10 00:00:00,55.48,53.88,55.85,53.25,3190000,2.19
2019-09-09 00:00:00,54.29,54.0,54.45,53.14,3630000,1.74
2019-09-06 00:00:00,53.36,53.0,53.79,52.26,3460000,0.83
2019-09-05 00:00:00,52.92,51.56,53.5,51.11,4600000,3.36
2019-09-04 00:00:00,51.2,51.5,51.88,50.27,2800000,0.25
