DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
2019-10-31,637.57,637.57,628.46,632.77,45466288.0,-1.1
2019-10-30,634.84,640.32,631.17,639.83,37498760.0,1.25
2019-10-29,634.58,635.43,630.17,631.9,36167760.0,-0.49
2019-10-28,633.32,637.02,631.54,635.04,46155236.0,0.85
2019-10-25,623.15,630.54,620.79,629.71,40498472.0,0.62
2019-10-24,618.96,625.99,618.76,625.84,47697876.0,1.95
2019-10-23,609.47,617.77,608.98,613.89,47049688.0,0.45
2019-10-22,619.81,621.27,609.53,611.13,43660416.0,-1.15
2019-10-21,614.96,620.53,613.84,618.24,43866736.0,1.07
2019-10-18,621.01,621.34,604.57,611.69,63824160.0,-1.63
2019-10-17,625.78,626.8,620.5,621.81,41208000.0,-0.25
2019-10-16,629.65,629.84,620.14,623.39,52837576.0,-1.72
2019-10-15,629.92,636.94,629.81,634.33,44520888.0,0.87
2019-10-14,626.45,629.53,625.03,628.84,37060584.0,0.24
2019-10-11,622.13,631.87,622.11,627.35,54577372.0,1.99
2019-10-10,613.53,618.66,612.6,615.11,43212764.0,-0.06
2019-10-09,611.61,617.78,611.39,615.48,35990620.0,1.5
2019-10-08,619.11,619.11,606.34,606.38,49411676.0,-2.7
2019-10-07,621.12,626.76,620.03,623.18,49088532.0,0.14
2019-10-04,617.8,622.51,614.21,622.31,45935644.0,1.17
2019-10-03,603.83,615.6,595.53,615.1,49826912.0,1.89
2019-10-02,608.45,608.49,599.27,603.69,58038004.0,-1.63
2019-10-01,622.47,625.53,613.03,613.68,50247552.0,-1.12
2019-09-30,615.21,623.36,611.71,620.6,50955320.0,0.92
2019-09-27,629.27,630.28,609.57,614.96,50887292.0,-1.91
2019-09-26,628.61,629.26,622.33,626.92,44744184.0,-0.27
2019-09-25,619.46,630.09,612.41,628.63,49245860.0,1.26
2019-09-24,637.41,637.8,618.53,620.79,70294840.0,-2.22
2019-09-23,633.49,636.14,630.1,634.9,52896816.0,-0.13
2019-09-20,638.4,641.72,631.34,635.75,191767168.0,-0.29
2019-09-19,636.85,642.72,635.75,637.62,59634432.0,0.33
2019-09-18,636.65,636.77,627.38,635.53,57887612.0,-0.4
2019-09-17,634.24,638.24,632.59,638.09,45208456.0,0.57
2019-09-16,626.25,635.91,625.74,634.46,49537348.0,0.44
2019-09-13,638.59,638.7,630.72,631.71,51287176.0,-1.22
2019-09-12,642.4,645.07,638.35,639.5,60397724.0,0.09
2019-09-11,630.45,639.08,629.26,638.9,61538024.0,1.29
2019-09-10,624.46,631.04,620.78,630.78,60651424.0,0.45
2019-09-09,638.53,638.73,622.96,627.93,65560600.0,-1.17
2019-09-06,644.3,644.42,634.91,635.36,56222112.0,-1.52
2019-09-05,640.04,645.85,637.06,645.18,62778016.0,1.49
2019-09-04,633.85,638.05,633.78,635.68,46831000.0,1.35
2019-09-03,630.82,633.38,624.73,627.24,52106928.0,-1.2
2019-08-30,639.6,641.08,628.04,634.86,54428044.0,-0.18
2019-08-29,631.67,639.22,631.5,636.0,47520072.0,1.99
2019-08-28,624.96,625.46,618.34,623.58,43455360.0,-0.37
2019-08-27,633.91,636.6,622.26,625.91,57393368.0,-0.48
2019-08-26,626.91,629.16,621.1,628.93,43791864.0,1.33
2019-08-23,632.13,640.67,619.07,620.68,74164240.0,-1.95
2019-08-22,634.32,636.4,626.86,633.02,45306764.0,0.1
2019-08-21,628.5,636.6,627.97,632.4,38001380.0,1.54
2019-08-20,625.28,626.35,622.18,622.78,41916396.0,-0.61
2019-08-19,629.34,631.72,625.86,626.6,55647444.0,0.62
2019-08-16,615.37,624.88,615.37,622.76,54232508.0,1.92
2019-08-15,612.06,617.35,607.18,611.01,63117380.0,0.07
2019-08-14,619.66,619.66,606.14,610.58,65307076.0,-2.92
2019-08-13,619.94,631.39,617.08,628.95,52100064.0,1.45
2019-08-12,623.39,623.52,616.46,619.98,38469576.0,-1.02
2019-08-09,626.18,629.77,621.37,626.39,51891540.0,-0.32
2019-08-08,617.18,628.76,617.12,628.39,71454720.0,2.54
2019-08-07,604.96,614.37,600.97,612.83,61925992.0,0.19
2019-08-06,612.18,617.19,605.8,611.67,58289412.0,0.81
2019-08-05,618.93,619.03,600.3,606.73,80533752.0,-3.69
2019-08-02,640.41,640.41,624.64,629.96,70971528.0,-2.22
2019-08-01,648.16,659.72,641.79,644.23,71523656.0,-0.27
2019-07-31,653.63,656.72,639.26,645.95,58848440.0,-1.01
2019-07-30,649.84,654.48,647.08,652.54,37503736.0,-0.25
2019-07-29,665.87,665.91,646.69,654.19,40049948.0,-1.7
2019-07-26,659.5,667.17,659.5,665.51,41581420.0,1.57
2019-07-25,658.25,658.28,652.65,655.24,44404048.0,-0.78
2019-07-24,651.22,660.76,651.17,660.38,43006944.0,1.17
2019-07-23,658.29,658.65,647.84,652.72,37451680.0,-0.34
2019-07-22,655.59,658.85,653.96,654.92,41295088.0,0.21
2019-07-19,659.21,662.78,653.47,653.55,52954708.0,-0.43
2019-07-18,653.26,657.15,649.77,656.36,44232676.0,0.01
2019-07-17,654.88,660.08,654.88,656.32,40126332.0,0.29
2019-07-16,662.15,662.49,653.19,654.42,40725300.0,-1.14
2019-07-15,662.54,663.04,659.41,661.99,37264752.0,0.11
2019-07-12,660.26,661.77,656.13,661.29,40463860.0,0.32
2019-07-11,658.89,661.94,655.66,659.17,43160312.0,0.4
2019-07-10,655.54,660.9,655.07,656.55,48942252.0,0.7
