date,open,high,low,close,volume,volumePrice,dailyReturn
2006-01-02,"1,000.00","1,000.00","1,000.00","1,000.00","19,901,799","842,229,735,038",
2006-01-03,"1,012.36","1,012.36","1,012.36","1,012.36","23,519,159","874,456,626,935",
2006-01-04,"1,007.17","1,007.17","1,007.17","1,007.17","35,951,797","1,528,766,747,924",
2006-01-05,991.68,991.68,991.68,991.68,"32,261,363","1,339,185,649,202",
2006-01-06,"1,008.15","1,008.15","1,008.15","1,008.15","21,152,418","791,328,417,387",
2006-01-09,"1,030.83","1,030.83","1,030.83","1,030.83","23,734,346","832,803,020,370",
2006-01-10,"1,037.76","1,037.76","1,037.76","1,037.76","30,136,076","1,113,800,476,041",
2006-01-11,"1,032.09","1,032.09","1,032.09","1,032.09","19,104,645","706,145,013,140",
2006-01-12,"1,038.79","1,038.79","1,038.79","1,038.79","18,044,512","731,452,689,665",
2006-01-13,"1,056.05","1,056.05","1,056.05","1,056.05","20,342,224","823,550,520,530",
2006-01-16,"1,067.71","1,067.71","1,067.71","1,067.71","18,534,051","706,463,655,270",
2006-01-17,"1,049.40","1,049.40","1,049.40","1,049.40","23,840,689","824,352,000,835",
2006-01-18,"1,000.40","1,000.40","1,000.40","1,000.40","36,110,452","1,271,241,138,795",
2006-01-19,"1,007.93","1,007.93","1,007.93","1,007.93","26,752,421","1,005,466,403,035",
2006-01-20,959.45,959.45,959.45,959.45,"27,414,595","1,001,260,870,900",
2006-01-23,944.21,960.52,909.35,923.22,"25,606,097","975,438,182,960",
2006-01-24,935.42,968.25,913.53,968.25,"25,875,246","1,023,181,706,368",
2006-01-25,991.16,"1,009.29",984.15,993.61,"26,240,029","1,081,057,025,203",
2006-01-26,"1,001.13","1,014.55",984.76,"1,014.35","25,548,306","1,021,548,558,990",
2006-01-27,"1,031.52","1,031.69","1,017.52","1,029.67","20,386,133","844,111,108,757",
2006-01-31,"1,034.73","1,055.78","1,029.65","1,043.74","25,413,368","1,097,843,035,317",
2006-02-01,"1,032.75","1,036.95",989.86,"1,007.25","21,917,475","940,659,734,585",
2006-02-02,"1,025.17","1,026.99",986.37,"1,011.48","20,955,100","887,768,682,139",
2006-02-03,992.75,"1,004.13",984.50,986.08,"17,325,576","785,566,795,080",
2006-02-06,976.73,988.36,956.77,986.38,"17,113,466","779,141,475,465",
2006-02-07,989.53,"1,001.87",986.21,986.64,"16,389,404","743,029,337,430",
2006-02-08,983.20,"1,000.10",971.74,971.74,"14,371,820","672,092,996,235",
2006-02-09,988.29,993.08,980.10,988.67,"11,747,353","585,376,991,191",
2006-02-10,992.46,999.56,978.89,990.15,"12,877,148","659,437,973,805",
2006-02-13,990.99,991.38,965.67,971.07,"14,984,875","730,336,307,233",
2006-02-14,962.05,976.21,953.27,975.77,"13,491,424","703,457,319,518",
2006-02-15,985.61,985.86,928.05,928.05,"36,136,424","1,460,710,823,532",
2006-02-16,929.32,945.12,925.32,941.64,"20,270,329","848,959,427,075",
2006-02-17,952.12,969.05,951.83,968.70,"17,249,045","725,308,977,380",
2006-02-20,963.33,981.25,963.09,980.38,"12,070,831","525,193,821,647",
2006-02-21,981.95,983.01,967.59,973.45,"11,205,507","515,205,291,565",
2006-02-22,969.57,980.65,962.66,972.17,"14,053,489","682,702,474,213",
2006-02-23,981.01,998.22,980.47,995.32,"14,657,132","608,216,602,250",
2006-02-24,995.26,"1,007.76",991.38,"1,000.50","12,913,499","533,670,532,405",
2006-02-27,"1,000.03","1,008.47",995.34,"1,008.47","8,531,588","373,795,340,280",
2006-02-28,"1,012.89","1,016.42","1,002.04","1,011.77","10,547,700","441,480,000,000",0.33
2006-03-02,"1,021.61","1,022.91",998.73,999.72,"13,035,600","528,268,000,000",-1.19
2006-03-03,994.64,996.56,953.90,957.51,"19,080,100","966,284,000,000",-4.22
2006-03-06,961.52,968.53,951.05,962.53,"13,322,700","635,522,000,000",0.52
2006-03-07,951.67,952.65,924.04,927.67,"19,777,000","1,006,873,000,000",-3.62
2006-03-08,916.13,929.19,904.33,923.73,"15,181,400","923,145,000,000",-0.42
