DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
2019-10-31 00:00:00,271.04,276.79,277.54,267.23,2700000,-2.35
2019-10-30 00:00:00,277.56,276.41,278.36,274.0,1170000,0.39
2019-10-29 00:00:00,276.49,280.47,282.88,275.57,2080000,-1.69
2019-10-28 00:00:00,281.25,272.54,282.0,272.1,2530000,4.15
2019-10-25 00:00:00,270.05,265.0,270.63,263.01,2510000,1.68
2019-10-24 00:00:00,265.6,252.45,265.85,251.95,5740000,13.9
2019-10-23 00:00:00,233.18,232.57,235.48,231.15,2060000,-0.74
2019-10-22 00:00:00,234.91,239.59,240.04,234.84,1050000,-1.49
2019-10-21 00:00:00,238.46,236.98,239.87,235.25,1280000,2.04
2019-10-18 00:00:00,233.7,235.7,235.7,230.23,1520000,-1.02
2019-10-17 00:00:00,236.1,238.89,240.29,235.28,1280000,0.57
2019-10-16 00:00:00,234.76,238.0,239.89,233.76,2000000,-3.01
2019-10-15 00:00:00,242.05,237.76,243.57,236.8,1800000,2.44
2019-10-14 00:00:00,236.28,236.42,238.3,235.64,782290,-0.34
2019-10-11 00:00:00,237.09,239.81,240.28,236.61,1210000,1.05
2019-10-10 00:00:00,234.62,232.59,237.41,232.17,1310000,0.64
2019-10-09 00:00:00,233.13,232.0,234.74,231.07,1600000,2.38
2019-10-08 00:00:00,227.7,229.87,231.25,225.0,1510000,-1.91
2019-10-07 00:00:00,232.14,233.17,234.5,231.92,1190000,-0.48
2019-10-04 00:00:00,233.27,230.17,233.41,229.43,1080000,1.84
2019-10-03 00:00:00,229.05,229.32,230.12,225.17,1410000,0.46
2019-10-02 00:00:00,228.0,227.18,229.58,225.95,1480000,-1.04
2019-10-01 00:00:00,230.39,233.0,235.53,228.21,1510000,-0.31
2019-09-30 00:00:00,231.11,229.73,233.31,227.29,1560000,0.45
2019-09-27 00:00:00,230.08,238.81,238.81,227.46,2940000,-5.25
2019-09-26 00:00:00,242.83,241.85,244.98,241.1,1700000,0.51
2019-09-25 00:00:00,241.6,232.99,241.96,232.77,1740000,2.43
2019-09-24 00:00:00,235.86,239.2,240.0,234.32,1820000,-1.0
2019-09-23 00:00:00,238.24,235.0,240.09,234.38,1260000,1.25
2019-09-20 00:00:00,235.31,237.21,239.4,233.31,3480000,-0.65
2019-09-19 00:00:00,236.86,238.8,238.9,235.35,1270000,-0.33
2019-09-18 00:00:00,237.64,235.01,238.69,234.32,1500000,0.36
2019-09-17 00:00:00,236.78,234.19,236.8,232.4,1440000,0.78
