DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
2019-10-31 00:00:00,408.0,396.5,412.0,395.5,24250000000,2.9
2019-10-30 00:00:00,396.5,393.0,399.0,389.5,11200000000,0.89
2019-10-29 00:00:00,393.0,393.0,395.5,385.5,13700000000,1.55
2019-10-28 00:00:00,387.0,382.5,387.0,381.0,7240000000,2.11
2019-10-25 00:00:00,379.0,385.0,386.0,379.0,8220000000,-0.66
2019-10-24 00:00:00,381.5,376.5,381.5,376.0,12750000000,2.55
2019-10-23 00:00:00,372.0,370.5,372.0,368.0,4059999999,0.13
2019-10-22 00:00:00,371.5,369.5,372.0,367.5,4970000000,0.68
2019-10-21 00:00:00,369.0,373.0,374.5,368.5,4630000000,-0.27
2019-10-18 00:00:00,370.0,373.5,374.0,369.0,5960000000,-0.27
2019-10-17 00:00:00,371.0,364.0,372.0,362.0,8890000000,3.06
2019-10-16 00:00:00,360.0,370.0,372.0,359.0,12210000000,-1.91
2019-10-15 00:00:00,367.0,370.0,371.5,366.0,9990000000,-0.94
2019-10-14 00:00:00,370.5,371.0,375.0,368.0,14690000000,-0.4
2019-10-09 00:00:00,372.0,382.0,382.5,372.0,8430000000,-3.25
2019-10-08 00:00:00,384.5,384.0,385.5,383.0,5090000000,0.13
2019-10-07 00:00:00,384.0,386.5,388.0,381.5,5090000000,-0.39
2019-10-04 00:00:00,385.5,382.5,387.0,382.0,7690000000,1.58
2019-10-03 00:00:00,379.5,372.0,381.0,367.5,8890000000,2.02
2019-10-02 00:00:00,372.0,374.0,375.5,372.0,3950000000,-1.2
2019-10-01 00:00:00,376.5,369.5,376.5,369.0,7420000000,2.03
2019-09-27 00:00:00,369.0,376.0,378.0,368.5,9130000000,-1.86
2019-09-26 00:00:00,376.0,382.0,384.0,374.0,8220000000,-1.05
2019-09-25 00:00:00,380.0,382.5,385.0,379.0,8940000000,-1.81
2019-09-24 00:00:00,387.0,388.0,389.0,384.5,4040000000,-0.26
2019-09-23 00:00:00,388.0,385.5,391.0,384.5,4620000000,0.39
2019-09-20 00:00:00,386.5,381.5,388.0,381.5,9400000000,1.58
