DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
2019-10-31 00:00:00,143.37,144.9,144.93,142.99,24610000,-0.86
2019-10-30 00:00:00,144.61,143.52,145.0,142.79,18500000,1.25
2019-10-29 00:00:00,142.83,144.08,144.5,142.65,20590000,-0.94
2019-10-28 00:00:00,144.19,144.4,145.67,143.51,35280000,2.46
2019-10-25 00:00:00,140.73,139.34,141.14,139.2,25960000,0.56
2019-10-24 00:00:00,139.94,139.39,140.42,138.67,37280000,1.97
2019-10-23 00:00:00,137.24,136.88,137.45,135.61,31380000,0.64
2019-10-22 00:00:00,136.37,138.97,140.01,136.26,27940000,-1.49
2019-10-21 00:00:00,138.43,138.45,138.5,137.01,20720000,0.74
2019-10-18 00:00:00,137.41,139.76,140.0,136.56,32280000,-1.63
2019-10-17 00:00:00,139.69,140.95,141.42,139.02,22100000,-0.51
2019-10-16 00:00:00,140.41,140.79,140.99,139.53,20840000,-0.82
2019-10-15 00:00:00,141.57,140.06,141.79,139.81,19920000,1.45
2019-10-14 00:00:00,139.55,139.69,140.29,139.52,13590000,-0.09
2019-10-11 00:00:00,139.68,140.12,141.03,139.5,25550000,0.42
2019-10-10 00:00:00,139.1,138.49,139.67,138.25,18400000,0.62
2019-10-09 00:00:00,138.24,137.46,138.7,136.97,20180000,1.89
2019-10-08 00:00:00,135.67,137.08,137.76,135.62,26780000,-1.06
2019-10-07 00:00:00,137.12,137.14,138.18,137.02,16600000,-0.72
2019-10-04 00:00:00,138.12,136.75,138.25,136.42,23840000,1.35
2019-10-03 00:00:00,136.28,134.95,136.75,133.22,26380000,1.21
2019-10-02 00:00:00,134.65,136.25,136.37,133.58,32000000,-1.77
2019-10-01 00:00:00,137.07,139.66,140.25,137.0,22580000,-1.41
2019-09-30 00:00:00,139.03,138.05,139.22,137.78,18430000,0.94
2019-09-27 00:00:00,137.73,140.15,140.36,136.65,22500000,-1.3
2019-09-26 00:00:00,139.54,139.44,140.18,138.44,17810000,0.13
2019-09-25 00:00:00,139.36,137.5,139.96,136.03,22540000,1.44
2019-09-24 00:00:00,137.38,140.36,140.69,136.88,30020000,-1.26
2019-09-23 00:00:00,139.14,139.23,139.63,138.44,17410000,-0.22
2019-09-20 00:00:00,139.44,141.01,141.65,138.25,40040000,-1.16
2019-09-19 00:00:00,141.07,140.3,142.37,140.07,36100000,1.84
2019-09-18 00:00:00,138.52,137.36,138.67,136.53,24470000,0.82
2019-09-17 00:00:00,137.39,136.96,137.52,136.43,17980000,0.78
2019-09-16 00:00:00,136.33,135.83,136.7,135.66,16730000,-0.72
2019-09-13 00:00:00,137.32,137.78,138.06,136.57,23360000,-0.15
2019-09-12 00:00:00,137.52,137.85,138.42,136.87,27010000,1.03
2019-09-11 00:00:00,136.12,135.91,136.27,135.09,24730000,0.03
2019-09-10 00:00:00,136.08,136.8,136.89,134.51,28900000,-1.05
2019-09-09 00:00:00,137.52,139.59,139.75,136.46,25770000,-1.14
2019-09-06 00:00:00,139.1,140.03,140.18,138.2,20820000,-0.68
2019-09-05 00:00:00,140.05,139.11,140.38,138.76,26120000,1.76
2019-09-04 00:00:00,137.63,137.3,137.69,136.48,18020000,1.17
2019-09-03 00:00:00,136.04,136.61,137.2,135.7,18880000,-1.32
2019-08-30 00:00:00,137.86,139.15,139.18,136.27,23950000,-0.19
2019-08-29 00:00:00,138.12,137.25,138.44,136.91,20180000,1.89
2019-08-28 00:00:00,135.56,134.88,135.76,133.55,17410000,-0.13
2019-08-27 00:00:00,135.74,136.39,136.72,134.66,23120000,0.21
2019-08-26 00:00:00,135.45,134.99,135.56,133.9,20330000,1.54
2019-08-23 00:00:00,133.39,137.19,138.35,132.8,38520000,-3.19
2019-08-22 00:00:00,137.78,138.66,139.2,136.29,18710000,-0.73
2019-08-21 00:00:00,138.79,138.55,139.49,138.0,14980000,1.11
2019-08-20 00:00:00,137.26,138.21,138.71,137.24,21190000,-0.83
2019-08-19 00:00:00,138.41,137.85,138.55,136.88,24370000,1.67
2019-08-16 00:00:00,136.13,134.88,136.46,134.72,25030000,1.83
2019-08-15 00:00:00,133.68,134.39,134.58,132.25,28130000,-0.22
2019-08-14 00:00:00,133.98,136.36,136.92,133.67,32530000,-3.33
2019-08-13 00:00:00,138.6,136.05,138.8,135.0,25500000,2.07
2019-08-12 00:00:00,135.79,137.07,137.86,135.24,20480000,-1.39
2019-08-09 00:00:00,137.71,138.61,139.38,136.46,23470000,-0.85
2019-08-08 00:00:00,138.89,136.6,138.99,135.93,27500000,2.67
2019-08-07 00:00:00,135.28,133.79,135.65,131.83,33409999,0.44
2019-08-06 00:00:00,134.69,133.8,135.68,133.21,32700000,1.88
2019-08-05 00:00:00,132.21,133.3,133.93,130.78,42750000,-3.43
2019-08-02 00:00:00,136.9,138.09,138.32,135.26,30790000,-0.84
2019-08-01 00:00:00,138.06,137.0,140.94,136.93,40560000,1.31
2019-07-31 00:00:00,136.27,140.33,140.49,135.08,38600000,-2.91
2019-07-30 00:00:00,140.35,140.14,141.22,139.8,16850000,-0.48
2019-07-29 00:00:00,141.03,141.5,141.51,139.37,16610000,-0.22
2019-07-26 00:00:00,141.34,140.37,141.68,140.3,19040000,0.82
2019-07-25 00:00:00,140.19,140.43,140.61,139.32,18360000,-0.38
2019-07-24 00:00:00,140.72,138.9,140.74,138.85,20740000,1.03
2019-07-23 00:00:00,139.29,139.76,139.99,138.03,18030000,0.62
2019-07-22 00:00:00,138.43,137.41,139.19,137.33,25080000,1.32
2019-07-19 00:00:00,136.62,140.22,140.67,136.45,48990000,0.15
2019-07-18 00:00:00,136.42,135.55,136.62,134.67,30810000,0.11
2019-07-17 00:00:00,136.27,137.7,137.93,136.22,20210000,-0.59
2019-07-16 00:00:00,137.08,138.96,139.05,136.52,22730000,-1.31
2019-07-15 00:00:00,138.9,139.44,139.54,138.46,16649999,0.0
2019-07-12 00:00:00,138.9,138.85,139.13,138.01,18940000,0.36
2019-07-11 00:00:00,138.4,138.2,139.22,137.87,22330000,0.4
2019-07-10 00:00:00,137.85,137.13,138.58,137.02,24200000,1.02
2019-07-09 00:00:00,136.46,136.0,136.97,135.8,19950000,-0.37
2019-07-08 00:00:00,136.96,136.4,137.1,135.37,16780000,-0.07
2019-07-05 00:00:00,137.06,135.94,137.33,135.72,18140000,-0.29
2019-07-03 00:00:00,137.46,136.8,137.74,136.29,13630000,0.64
2019-07-02 00:00:00,136.58,136.12,136.59,135.34,15240000,0.66
2019-07-01 00:00:00,135.68,136.63,136.7,134.97,22650000,1.28
2019-06-28 00:00:00,133.96,134.57,134.6,133.16,30040000,-0.14
2019-06-27 00:00:00,134.15,134.14,134.71,133.51,16559999,0.16
2019-06-26 00:00:00,133.93,134.35,135.74,133.6,23660000,0.37
2019-06-25 00:00:00,133.43,137.25,137.59,132.73,33330000,-3.16
2019-06-24 00:00:00,137.78,137.0,138.4,137.0,20630000,0.59
2019-06-21 00:00:00,136.97,136.58,137.73,136.46,36730000,0.01
2019-06-20 00:00:00,136.95,137.45,137.66,135.72,33040000,0.93
2019-06-19 00:00:00,135.69,135.0,135.93,133.81,23740000,0.39
2019-06-18 00:00:00,135.16,134.19,135.24,133.57,25930000,1.74
2019-06-17 00:00:00,132.85,132.63,133.73,132.53,14520000,0.3
2019-06-14 00:00:00,132.45,132.26,133.79,131.64,17820000,0.1
2019-06-13 00:00:00,132.32,131.98,132.67,131.56,17200000,0.63
2019-06-12 00:00:00,131.49,131.4,131.97,130.71,17090000,-0.46
2019-06-11 00:00:00,132.1,133.88,134.24,131.28,23910000,-0.38
2019-06-10 00:00:00,132.6,132.4,134.08,132.0,26480000,0.91
2019-06-07 00:00:00,131.4,129.19,132.25,128.26,33890000,2.8
2019-06-06 00:00:00,127.82,126.44,127.97,125.6,21460000,1.58
2019-06-05 00:00:00,125.83,124.95,125.87,124.21,24930000,2.17
2019-06-04 00:00:00,123.16,121.28,123.28,120.65,29380000,2.77
2019-06-03 00:00:00,119.84,123.85,124.37,119.01,37980000,-3.1
2019-05-31 00:00:00,123.68,124.23,124.61,123.32,26650000,-1.63
2019-05-30 00:00:00,125.73,125.26,125.76,124.78,16830000,0.63
2019-05-29 00:00:00,124.94,125.38,125.39,124.04,22760000,-0.97
2019-05-28 00:00:00,126.16,126.98,128.0,126.05,23130000,-0.06
2019-05-24 00:00:00,126.24,126.91,127.42,125.97,14120000,0.05
2019-05-23 00:00:00,126.18,126.2,126.29,124.74,23600000,-1.17
2019-05-22 00:00:00,127.67,126.62,128.24,126.52,15400000,0.61
2019-05-21 00:00:00,126.9,127.43,127.53,126.58,15290000,0.54
2019-05-20 00:00:00,126.22,126.52,127.59,125.76,23710000,-1.44
2019-05-17 00:00:00,128.07,128.31,130.46,127.92,25770000,-0.67
2019-05-16 00:00:00,128.93,126.75,129.38,126.46,30110000,2.31
2019-05-15 00:00:00,126.02,124.26,126.71,123.7,24720000,1.03
2019-05-14 00:00:00,124.73,123.87,125.88,123.7,25270000,1.12
2019-05-13 00:00:00,123.35,124.11,125.55,123.04,33940000,-2.97
2019-05-10 00:00:00,127.13,124.91,127.93,123.82,30920000,1.3
2019-05-09 00:00:00,125.5,124.29,125.79,123.57,27240000,-0.01
2019-05-08 00:00:00,125.51,125.44,126.37,124.75,28420000,-0.01
2019-05-07 00:00:00,125.52,126.46,127.18,124.22,36020000,-2.05
2019-05-06 00:00:00,128.15,126.39,128.56,126.11,24240000,-0.58
2019-05-03 00:00:00,128.9,127.36,129.43,127.25,24910000,2.13
2019-05-02 00:00:00,126.21,127.98,128.0,125.52,27350000,-1.31
2019-05-01 00:00:00,127.88,130.53,130.65,127.7,26820000,-2.08
2019-04-30 00:00:00,130.6,129.81,130.7,129.39,24170000,0.64
2019-04-29 00:00:00,129.77,129.9,130.18,129.35,16320000,-0.09
2019-04-26 00:00:00,129.89,129.7,130.52,129.02,23650000,0.57
2019-04-25 00:00:00,129.15,130.06,131.37,128.83,38030000,3.31
2019-04-24 00:00:00,125.01,125.79,125.85,124.52,31260000,-0.34
