DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
2019-10-31 00:00:00,202.16,203.0,197.81,201.02,5240000,-0.98
2019-10-30 00:00:00,204.0,204.23,200.26,203.0,5150000,0.04
2019-10-29 00:00:00,206.23,206.49,202.14,202.92,5280000,-1.87
2019-10-28 00:00:00,206.3,208.9,205.12,206.79,8270000,1.1
2019-10-25 00:00:00,200.1,205.38,199.79,204.54,10580000,3.9
2019-10-24 00:00:00,196.75,198.21,195.38,196.86,5980000,0.91
2019-10-23 00:00:00,192.31,195.66,191.03,195.09,7140000,-0.27
2019-10-22 00:00:00,198.3,202.53,195.3,195.61,8430000,-0.2
2019-10-21 00:00:00,192.96,196.55,192.2,196.01,6670000,2.9
2019-10-18 00:00:00,194.31,195.62,187.5,190.49,7690000,-1.96
2019-10-17 00:00:00,196.0,197.81,192.1,194.29,6610000,0.04
2019-10-16 00:00:00,195.0,199.22,193.75,194.21,10820000,-1.1
2019-10-15 00:00:00,190.16,199.29,189.6,196.37,16700000,5.28
2019-10-14 00:00:00,185.64,187.37,184.38,186.53,5260000,0.29
2019-10-11 00:00:00,186.41,189.34,185.65,185.99,11270000,1.62
2019-10-10 00:00:00,180.62,185.08,180.41,183.03,8189999,1.28
2019-10-09 00:00:00,180.32,182.7,179.16,180.71,7700000,1.96
2019-10-08 00:00:00,180.64,180.64,176.5,177.23,11230000,-3.85
2019-10-07 00:00:00,184.58,188.34,184.23,184.33,12210000,1.3
2019-10-04 00:00:00,181.4,183.15,178.78,181.97,6700000,0.36
2019-10-03 00:00:00,173.22,181.56,172.0,181.31,11570000,4.78
2019-10-02 00:00:00,173.12,173.6,170.13,173.04,7390000,-0.55
2019-10-01 00:00:00,175.0,181.0,173.81,174.0,9190000,-0.04
2019-09-30 00:00:00,172.8,174.48,171.54,174.07,4830000,1.34
2019-09-27 00:00:00,175.66,177.7,169.32,171.76,9150000,-3.15
2019-09-26 00:00:00,177.84,178.19,175.29,177.34,5950000,-0.5
2019-09-25 00:00:00,172.51,179.02,170.71,178.23,7830000,3.3
2019-09-24 00:00:00,176.1,177.29,171.1,172.53,8029999,-1.32
2019-09-23 00:00:00,172.7,176.67,172.55,174.84,6400000,1.25
2019-09-20 00:00:00,176.9,177.85,172.28,172.69,8930000,-2.4
2019-09-19 00:00:00,180.22,180.96,176.51,176.94,6410000,-1.69
2019-09-18 00:00:00,180.79,181.42,176.5,179.98,6600000,-0.6
2019-09-17 00:00:00,180.48,181.24,178.61,181.07,5710000,0.48
2019-09-16 00:00:00,178.92,181.6,178.5,180.21,5800000,-0.95
2019-09-13 00:00:00,181.59,183.08,180.18,181.94,8109999,-1.26
2019-09-12 00:00:00,186.2,188.4,183.95,184.27,8199999,-0.03
2019-09-11 00:00:00,183.77,186.27,182.6,184.33,9040000,0.63
2019-09-10 00:00:00,179.18,184.25,178.79,183.18,8820000,1.48
2019-09-09 00:00:00,179.9,183.98,179.84,180.5,10440000,1.04
2019-09-06 00:00:00,178.8,181.09,177.12,178.65,9420000,-0.61
2019-09-05 00:00:00,172.87,179.99,172.8,179.74,17410000,6.51
2019-09-04 00:00:00,166.61,169.06,166.61,168.76,5700000,2.8
2019-09-03 00:00:00,164.58,165.91,163.25,164.17,7410000,-1.99
2019-08-30 00:00:00,168.86,170.86,166.78,167.51,7270000,0.31
2019-08-29 00:00:00,164.9,168.3,164.76,167.0,8960000,3.59
2019-08-28 00:00:00,160.58,163.34,159.0,161.22,6400000,-0.36
2019-08-27 00:00:00,166.99,167.1,160.62,161.8,7290000,-2.21
2019-08-26 00:00:00,165.61,166.58,163.91,165.45,7960000,1.85
2019-08-23 00:00:00,168.4,170.59,161.64,162.44,14240000,-5.27
2019-08-22 00:00:00,171.62,173.33,169.9,171.48,7590000,0.15
2019-08-21 00:00:00,170.53,173.45,169.66,171.23,10700000,2.0
2019-08-20 00:00:00,170.56,170.58,167.02,167.87,11590000,-1.7
2019-08-19 00:00:00,164.12,171.42,163.47,170.78,20410000,7.03
2019-08-16 00:00:00,159.35,161.54,156.88,159.56,25380000,7.25
2019-08-15 00:00:00,150.83,151.63,147.39,148.77,13860000,-0.87
2019-08-14 00:00:00,152.5,152.95,148.31,150.07,10500000,-3.83
2019-08-13 00:00:00,151.39,157.9,149.82,156.05,9010000,3.04
2019-08-12 00:00:00,152.08,154.18,150.57,151.45,6980000,-1.77
2019-08-09 00:00:00,156.61,156.75,152.15,154.18,8550000,-2.58
2019-08-08 00:00:00,156.21,158.31,153.9,158.26,7730000,2.84
2019-08-07 00:00:00,149.9,154.37,149.2,153.89,9310000,1.01
2019-08-06 00:00:00,153.8,155.63,150.43,152.35,9030000,1.03
2019-08-05 00:00:00,153.8,153.85,148.9,150.79,14730000,-6.45
2019-08-02 00:00:00,161.19,163.98,159.28,161.19,10710000,-2.26
2019-08-01 00:00:00,169.14,172.78,162.82,164.92,10530000,-2.25
2019-07-31 00:00:00,174.18,174.22,167.02,168.72,8990000,-3.84
2019-07-30 00:00:00,172.95,175.94,172.37,175.45,4940000,0.36
2019-07-29 00:00:00,174.78,175.47,171.27,174.82,6200000,-0.14
