DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
2019-10-31 00:00:00,81.44,81.47,79.84,80.44,5690000,-1.23
2019-10-30 00:00:00,82.1,82.25,80.85,81.44,3970000,-0.27
2019-10-29 00:00:00,82.75,82.85,81.44,81.66,4990000,-1.67
2019-10-28 00:00:00,80.55,83.13,80.54,83.05,9950000,3.59
2019-10-25 00:00:00,79.0,80.23,78.91,80.17,6710000,1.49
2019-10-24 00:00:00,78.06,79.02,77.59,78.99,5420000,2.27
2019-10-23 00:00:00,77.21,78.13,76.87,77.24,5940000,-1.57
2019-10-22 00:00:00,78.93,79.07,78.24,78.47,5110000,-0.65
2019-10-21 00:00:00,78.38,79.09,78.01,78.98,5310000,1.67
2019-10-18 00:00:00,78.62,79.22,77.67,77.68,6110000,-1.63
2019-10-17 00:00:00,78.7,79.96,78.4,78.97,5920000,0.95
2019-10-16 00:00:00,77.49,78.32,77.28,78.23,6370000,0.53
2019-10-15 00:00:00,76.88,77.98,76.28,77.82,5240000,1.99
2019-10-14 00:00:00,76.65,77.37,76.28,76.3,4660000,-0.52
2019-10-11 00:00:00,76.19,77.82,76.01,76.7,7400000,2.31
2019-10-10 00:00:00,74.35,75.97,74.17,74.97,6200000,0.83
2019-10-09 00:00:00,73.91,74.8,73.56,74.35,5270000,2.06
2019-10-08 00:00:00,75.52,75.82,72.81,72.85,9190000,-4.57
2019-10-07 00:00:00,77.01,77.55,76.27,76.34,4400000,-1.48
2019-10-04 00:00:00,76.32,77.56,75.84,77.49,4920000,2.32
2019-10-03 00:00:00,73.93,75.83,73.16,75.73,5630000,2.35
2019-10-02 00:00:00,75.26,75.71,73.77,73.99,6290000,-1.96
2019-10-01 00:00:00,77.06,78.06,74.97,75.47,7050000,-1.06
2019-09-30 00:00:00,76.89,76.95,76.02,76.28,5290000,-0.46
2019-09-27 00:00:00,77.01,78.2,76.21,76.63,5010000,-0.93
2019-09-26 00:00:00,77.16,77.69,75.94,77.35,3800000,0.12
2019-09-25 00:00:00,75.03,77.49,74.88,77.26,5700000,2.7
2019-09-24 00:00:00,78.08,78.3,74.63,75.23,10450000,-2.6
2019-09-23 00:00:00,76.67,77.91,76.06,77.24,6260000,1.05
2019-09-20 00:00:00,78.2,78.7,76.17,76.44,9500000,-2.29
2019-09-19 00:00:00,79.24,80.0,78.21,78.23,5450000,-0.85
2019-09-18 00:00:00,78.69,79.07,77.64,78.9,5200000,0.27
2019-09-17 00:00:00,77.61,78.79,77.51,78.69,4440000,0.83
2019-09-16 00:00:00,77.58,78.48,76.91,78.04,3760000,-0.47
2019-09-13 00:00:00,79.18,79.53,78.37,78.41,5340000,-0.85
2019-09-12 00:00:00,80.05,80.05,78.58,79.08,5850000,-1.03
2019-09-11 00:00:00,78.17,79.91,78.12,79.9,6580000,1.51
2019-09-10 00:00:00,78.03,78.88,77.34,78.71,9370000,0.64
2019-09-09 00:00:00,79.04,79.45,77.97,78.21,6890000,-0.8
2019-09-06 00:00:00,78.96,79.08,78.44,78.84,5130000,-0.19
2019-09-05 00:00:00,77.89,80.44,77.89,78.99,13480000,2.46
2019-09-04 00:00:00,75.99,77.12,75.63,77.09,4920000,2.62
2019-09-03 00:00:00,76.77,76.99,74.7,75.12,7580000,-3.41
2019-08-30 00:00:00,77.18,78.05,77.0,77.77,8470000,1.73
2019-08-29 00:00:00,75.22,77.03,75.22,76.45,7350000,2.82
2019-08-28 00:00:00,73.79,74.88,72.91,74.35,5680000,0.51
2019-08-27 00:00:00,73.68,74.38,73.2,73.97,7310000,1.45
2019-08-26 00:00:00,74.9,75.09,72.52,72.91,11160000,-0.83
2019-08-23 00:00:00,76.12,79.1,73.22,73.52,16480000,-4.71
2019-08-22 00:00:00,76.91,77.95,76.6,77.15,7200000,0.59
2019-08-21 00:00:00,76.5,77.19,75.99,76.7,11010000,0.83
2019-08-20 00:00:00,74.57,76.44,74.33,76.07,9390000,1.6
2019-08-19 00:00:00,74.58,75.53,74.14,74.87,9690000,2.17
2019-08-16 00:00:00,71.85,73.41,71.73,73.28,10400000,2.98
2019-08-15 00:00:00,71.44,72.19,70.59,71.16,9120000,0.4
2019-08-14 00:00:00,70.64,71.89,70.55,70.88,10340000,-1.8
2019-08-13 00:00:00,69.89,72.47,69.31,72.18,10320000,3.41
2019-08-12 00:00:00,71.0,71.48,69.73,69.8,7360000,-2.38
2019-08-09 00:00:00,70.51,72.19,70.19,71.5,8700000,0.34
2019-08-08 00:00:00,69.56,71.35,69.35,71.26,8369999,2.68
2019-08-07 00:00:00,67.26,69.6,67.12,69.4,8930000,1.8
2019-08-06 00:00:00,69.52,69.93,67.38,68.17,13190000,-0.92
2019-08-05 00:00:00,69.97,70.84,68.56,68.8,13070000,-3.3
2019-08-02 00:00:00,70.44,71.53,70.01,71.15,12650000,-0.07
2019-08-01 00:00:00,68.88,73.71,68.25,71.2,29730000,-2.68
2019-07-31 00:00:00,74.83,75.28,72.76,73.16,14050000,-2.21
2019-07-30 00:00:00,74.58,75.07,74.36,74.81,7400000,-0.21
2019-07-29 00:00:00,75.16,76.32,74.67,74.97,8240000,-0.33
2019-07-26 00:00:00,75.11,75.85,74.85,75.22,8260000,-0.17
2019-07-25 00:00:00,75.84,76.14,75.1,75.35,7300000,-0.69
2019-07-24 00:00:00,74.01,76.42,73.68,75.87,14010000,2.36
2019-07-23 00:00:00,75.34,75.59,73.31,74.12,14420000,-2.41
2019-07-22 00:00:00,75.06,76.62,75.06,75.95,9650000,1.27
2019-07-19 00:00:00,74.42,75.71,74.42,75.0,14480000,0.85
2019-07-18 00:00:00,74.97,75.35,74.05,74.37,12590000,-1.83
2019-07-17 00:00:00,78.57,79.4,75.71,75.76,20600000,0.12
2019-07-16 00:00:00,75.11,76.5,74.55,75.67,9910000,0.32
2019-07-15 00:00:00,75.15,75.9,74.79,75.43,8900000,0.71
2019-07-12 00:00:00,74.25,74.98,73.66,74.9,8029999,1.61
2019-07-11 00:00:00,74.52,75.78,73.3,73.71,14300000,-0.87
2019-07-10 00:00:00,76.83,76.91,74.08,74.36,15080000,-2.86
2019-07-09 00:00:00,76.44,76.84,75.84,76.55,7510000,-0.1
2019-07-08 00:00:00,75.98,77.03,75.93,76.63,7920000,-0.04
2019-07-05 00:00:00,74.2,76.72,74.1,76.66,9220000,0.04
2019-07-03 00:00:00,77.07,77.23,76.05,76.63,5290000,-0.49
2019-07-02 00:00:00,77.28,77.48,76.62,77.01,7080000,-0.66
2019-07-01 00:00:00,80.67,80.76,77.08,77.52,17710000,1.91
2019-06-28 00:00:00,75.66,76.44,74.81,76.07,29220000,0.85
2019-06-27 00:00:00,75.34,75.9,75.17,75.43,11150000,0.64
2019-06-26 00:00:00,73.76,75.69,73.65,74.95,13810000,3.31
2019-06-25 00:00:00,73.23,74.14,72.52,72.55,8950000,-0.83
2019-06-24 00:00:00,72.97,73.45,72.2,73.16,8890000,0.61
2019-06-21 00:00:00,72.31,73.17,72.31,72.72,15240000,-0.03
2019-06-20 00:00:00,73.19,73.67,72.23,72.74,9870000,1.31
2019-06-19 00:00:00,72.37,72.62,70.8,71.8,12000000,-0.22
2019-06-18 00:00:00,69.69,72.39,69.67,71.96,14510000,4.12
2019-06-17 00:00:00,69.09,69.98,68.9,69.11,9410000,0.57
2019-06-14 00:00:00,68.35,69.12,67.9,68.72,12120000,-1.73
2019-06-13 00:00:00,69.97,70.49,69.38,69.93,6790000,0.49
2019-06-12 00:00:00,69.53,70.37,69.2,69.59,9400000,-2.32
2019-06-11 00:00:00,71.58,72.22,70.27,71.24,11840000,0.99
2019-06-10 00:00:00,69.0,71.46,69.0,70.54,15230000,2.69
2019-06-07 00:00:00,67.69,68.78,67.3,68.69,10500000,1.63
2019-06-06 00:00:00,66.92,67.97,66.27,67.59,10780000,0.85
2019-06-05 00:00:00,68.04,68.33,65.83,67.02,11780000,-2.09
2019-06-04 00:00:00,67.61,68.5,66.7,68.45,15870000,2.69
2019-06-03 00:00:00,67.09,68.13,66.28,66.66,13620000,-0.24
2019-05-31 00:00:00,65.78,67.84,65.53,66.82,15060000,0.35
2019-05-30 00:00:00,65.97,67.07,65.93,66.59,11550000,1.26
2019-05-29 00:00:00,65.36,66.15,64.76,65.76,16309999,0.6
2019-05-28 00:00:00,66.64,67.71,65.23,65.37,22670000,-1.27
2019-05-24 00:00:00,68.93,69.15,65.97,66.21,21420000,-2.99
2019-05-23 00:00:00,67.02,68.27,65.9,68.25,31820000,-1.53
2019-05-22 00:00:00,69.13,71.74,67.97,69.31,66150000,-10.86
2019-05-21 00:00:00,78.91,79.04,77.22,77.75,17280000,1.47
2019-05-20 00:00:00,77.95,78.33,76.07,76.62,32680000,-5.99
2019-05-17 00:00:00,80.49,83.12,80.0,81.5,19520000,-1.58
2019-05-16 00:00:00,83.79,84.8,82.13,82.81,22500000,-4.0
2019-05-15 00:00:00,85.55,87.0,84.89,86.26,11780000,0.15
2019-05-14 00:00:00,84.27,86.44,84.0,86.13,14350000,2.67
2019-05-13 00:00:00,83.24,84.85,82.99,83.89,16690000,-2.27
2019-05-10 00:00:00,83.38,86.33,83.35,85.84,15960000,2.46
2019-05-09 00:00:00,83.37,84.84,82.26,83.78,14520000,-0.9
2019-05-08 00:00:00,84.85,85.72,84.11,84.54,15500000,-0.77
2019-05-07 00:00:00,87.2,88.15,84.78,85.2,21580000,-3.46
2019-05-06 00:00:00,86.33,88.69,86.14,88.25,15680000,-1.16
2019-05-03 00:00:00,87.76,89.82,87.06,89.29,21070000,2.47
2019-05-02 00:00:00,87.5,90.34,86.15,87.14,40340000,0.89
2019-05-01 00:00:00,87.17,88.22,86.15,86.37,28210000,0.28
2019-04-30 00:00:00,86.98,87.46,86.05,86.13,17580000,-1.28
2019-04-29 00:00:00,86.4,87.98,85.84,87.25,17930000,0.7
2019-04-26 00:00:00,84.51,86.75,84.21,86.64,18860000,1.85
2019-04-25 00:00:00,86.17,86.32,84.52,85.07,20730000,-2.03
2019-04-24 00:00:00,87.04,88.63,85.3,86.83,40290000,0.13
2019-04-23 00:00:00,83.9,87.96,83.27,86.72,56970000,5.79
2019-04-22 00:00:00,79.83,82.5,79.34,81.97,33290000,2.6
2019-04-18 00:00:00,78.72,80.2,78.02,79.89,41620000,1.02
2019-04-17 00:00:00,78.82,82.52,76.49,79.08,156020000,12.25
2019-04-16 00:00:00,57.46,71.03,57.29,70.45,86760000,23.21
2019-04-15 00:00:00,57.14,57.67,57.02,57.18,10710000,0.4
2019-04-12 00:00:00,56.28,57.17,56.07,56.95,13480000,1.88
2019-04-11 00:00:00,56.44,56.9,55.78,55.9,13900000,-0.76
2019-04-10 00:00:00,57.71,57.86,56.1,56.33,15980000,-1.93
2019-04-09 00:00:00,57.57,57.66,57.03,57.44,11710000,-0.55
2019-04-08 00:00:00,57.79,58.49,57.51,57.76,8940000,-0.4
2019-04-05 00:00:00,57.98,58.19,57.69,57.99,12330000,0.22
2019-04-04 00:00:00,57.75,58.61,57.69,57.86,9910000,0.31
2019-04-03 00:00:00,58.2,58.29,57.18,57.68,11560000,-0.71
2019-04-02 00:00:00,57.98,58.53,57.66,58.09,7610000,0.48
2019-04-01 00:00:00,57.64,58.15,57.11,57.81,12070000,1.37
2019-03-29 00:00:00,57.0,57.55,56.94,57.03,8530000,0.85
2019-03-28 00:00:00,57.03,57.39,56.34,56.55,11060000,-0.63
2019-03-27 00:00:00,57.35,57.66,56.32,56.91,11930000,-1.88
2019-03-26 00:00:00,57.15,58.39,56.67,58.0,16050000,2.4
2019-03-25 00:00:00,56.58,56.94,56.07,56.64,6930000,-0.32
2019-03-22 00:00:00,57.68,58.09,56.75,56.82,10240000,-1.64
2019-03-21 00:00:00,57.23,58.28,57.2,57.77,19540000,1.07
2019-03-20 00:00:00,57.03,57.69,56.75,57.16,8800000,0.33
2019-03-19 00:00:00,57.17,57.68,56.77,56.97,9360000,0.25
2019-03-18 00:00:00,56.62,57.19,56.44,56.83,13090000,0.41
2019-03-15 00:00:00,55.0,57.34,54.92,56.6,27990000,2.17
2019-03-14 00:00:00,55.53,55.87,55.25,55.4,7310000,0.02
2019-03-13 00:00:00,55.03,55.94,55.0,55.39,9200000,1.0
2019-03-12 00:00:00,54.66,55.31,54.54,54.84,9580000,0.9
2019-03-11 00:00:00,53.72,54.74,53.65,54.35,10740000,1.53
2019-03-08 00:00:00,53.45,53.63,53.03,53.53,10120000,-0.93
2019-03-07 00:00:00,54.83,55.05,53.61,54.03,13670000,-1.41
2019-03-06 00:00:00,53.89,55.46,53.73,54.8,20520000,1.59
2019-03-05 00:00:00,53.9,54.23,53.7,53.94,10090000,0.3
2019-03-04 00:00:00,54.58,54.7,53.26,53.78,14020000,-0.77
2019-03-01 00:00:00,54.0,54.4,53.71,54.2,12660000,1.52
2019-02-28 00:00:00,53.0,53.76,52.71,53.39,19000000,0.66
2019-02-27 00:00:00,52.95,53.13,52.27,53.04,10430000,0.02
2019-02-26 00:00:00,53.08,53.22,52.28,53.03,11370000,0.08
2019-02-25 00:00:00,53.78,53.97,52.9,52.99,15340000,-0.24
2019-02-22 00:00:00,52.69,53.15,52.64,53.12,13390000,1.47
2019-02-21 00:00:00,52.5,52.59,51.9,52.35,7830000,-0.19
2019-02-20 00:00:00,52.25,52.91,52.13,52.45,12860000,0.85
2019-02-19 00:00:00,52.0,52.48,51.75,52.01,8260000,0.06
2019-02-15 00:00:00,52.08,52.36,51.6,51.98,12240000,0.8
2019-02-14 00:00:00,51.5,51.77,51.09,51.57,17900000,-0.04
2019-02-13 00:00:00,52.0,52.49,51.56,51.59,11000000,-0.14
2019-02-12 00:00:00,51.3,52.18,51.02,51.66,16640000,1.63
2019-02-11 00:00:00,50.55,51.3,50.38,50.83,9970000,1.07
2019-02-08 00:00:00,50.24,50.68,49.91,50.29,12460000,-0.51
2019-02-07 00:00:00,50.83,51.12,50.27,50.55,10620000,-1.08
2019-02-06 00:00:00,50.94,51.63,50.93,51.1,11050000,0.73
2019-02-05 00:00:00,49.73,51.08,49.72,50.73,15450000,2.09
2019-02-04 00:00:00,49.71,49.8,49.47,49.69,10880000,0.16
2019-02-01 00:00:00,49.58,50.28,49.4,49.61,15530000,0.18
2019-01-31 00:00:00,51.2,51.28,49.1,49.52,24740000,-1.3
2019-01-30 00:00:00,49.68,50.42,49.21,50.17,18120000,1.56
2019-01-29 00:00:00,50.49,50.84,49.34,49.4,26270000,-2.45
2019-01-28 00:00:00,50.32,51.29,50.24,50.64,24460000,-1.29
2019-01-25 00:00:00,50.93,52.03,50.28,51.3,19510000,0.96
2019-01-24 00:00:00,51.95,51.98,50.41,50.81,32780000,-1.85
2019-01-23 00:00:00,52.92,53.57,51.22,51.77,33790000,-4.64
2019-01-22 00:00:00,54.97,54.99,53.94,54.29,17870000,-1.77
2019-01-18 00:00:00,55.39,55.9,54.99,55.27,28020000,0.91
2019-01-17 00:00:00,54.97,55.2,54.37,54.77,18370000,-0.9
2019-01-16 00:00:00,55.75,56.08,55.16,55.27,13860000,-0.83
2019-01-15 00:00:00,57.32,57.4,55.56,55.73,17420000,-2.74
2019-01-14 00:00:00,57.02,57.65,56.37,57.3,9450000,-0.35
2019-01-11 00:00:00,56.47,58.17,56.33,57.5,12020000,1.23
2019-01-10 00:00:00,56.19,56.99,56.1,56.8,10960000,0.34
2019-01-09 00:00:00,56.26,57.11,56.14,56.61,10970000,1.18
2019-01-08 00:00:00,56.71,56.88,55.61,55.95,12110000,-0.87
2019-01-07 00:00:00,56.39,57.16,55.95,56.44,12350000,-0.28
2019-01-04 00:00:00,56.5,56.83,55.21,56.6,14180000,1.62
2019-01-03 00:00:00,55.95,56.84,55.52,55.7,14420000,-2.96
2019-01-02 00:00:00,56.2,58.0,55.92,57.4,9900000,0.86
2018-12-31 00:00:00,57.12,57.41,56.28,56.91,8880000,0.18
2018-12-28 00:00:00,56.33,57.53,56.24,56.81,12750000,1.28
2018-12-27 00:00:00,55.54,56.39,54.77,56.09,15800000,0.23
2018-12-26 00:00:00,54.25,56.0,53.51,55.96,18450000,4.31
2018-12-24 00:00:00,53.7,54.89,53.57,53.65,8270000,-2.19
2018-12-21 00:00:00,56.26,57.28,54.69,54.85,38200000,-2.7
2018-12-20 00:00:00,57.22,57.94,56.06,56.37,21740000,-0.56
2018-12-19 00:00:00,57.54,58.5,56.06,56.69,17380000,-1.89
2018-12-18 00:00:00,57.69,58.54,57.4,57.78,12380000,1.37
2018-12-17 00:00:00,57.59,58.34,56.67,57.0,16649999,-1.08
2018-12-14 00:00:00,57.56,59.0,57.36,57.62,13550000,-0.81
2018-12-13 00:00:00,58.14,58.38,57.56,58.09,8950000,0.64
2018-12-12 00:00:00,58.44,58.58,57.53,57.72,13250000,0.65
2018-12-11 00:00:00,58.45,58.66,56.83,57.35,13120000,0.19
2018-12-10 00:00:00,57.77,58.25,56.64,57.24,20480000,2.23
2018-12-07 00:00:00,56.61,57.12,55.73,55.99,17050000,-1.96
2018-12-06 00:00:00,56.01,57.21,55.69,57.11,18200000,-1.07
2018-12-04 00:00:00,58.99,59.48,57.22,57.73,15840000,-2.38
2018-12-03 00:00:00,60.51,60.51,58.4,59.14,17110000,1.51
2018-11-30 00:00:00,58.22,58.47,57.02,58.26,18200000,0.26
2018-11-29 00:00:00,57.89,59.05,57.77,58.11,26950000,2.58
2018-11-28 00:00:00,55.89,56.72,54.69,56.65,17480000,1.94
2018-11-27 00:00:00,55.59,56.23,55.35,55.57,9720000,-0.29
2018-11-26 00:00:00,55.79,56.38,55.17,55.73,10370000,0.87
2018-11-23 00:00:00,54.77,55.74,54.75,55.25,4670000,-0.04
2018-11-21 00:00:00,55.21,56.5,55.18,55.27,13020000,0.64
2018-11-20 00:00:00,54.2,55.43,54.07,54.92,20660000,0.04
2018-11-19 00:00:00,55.85,56.62,54.87,54.9,20320000,-1.75
2018-11-16 00:00:00,55.12,57.04,54.99,55.88,57300000,0.88
2018-11-15 00:00:00,53.83,55.54,53.53,55.39,18860000,2.69
2018-11-14 00:00:00,54.84,54.89,53.67,53.94,14070000,-0.41
2018-11-13 00:00:00,54.74,55.49,54.05,54.16,20880000,-0.61
2018-11-12 00:00:00,56.37,56.5,54.43,54.49,24450000,-3.93
2018-11-09 00:00:00,57.78,58.24,56.19,56.72,21750000,-2.29
2018-11-08 00:00:00,58.0,60.15,57.6,58.05,32159999,-8.16
2018-11-07 00:00:00,63.5,63.75,62.28,63.21,18490000,-0.66
2018-11-06 00:00:00,63.35,64.34,62.41,63.63,8770000,0.25
2018-11-05 00:00:00,63.08,63.8,62.66,63.47,13370000,0.22
2018-11-02 00:00:00,63.94,63.95,62.34,63.33,13710000,-0.6
2018-11-01 00:00:00,63.2,64.31,62.88,63.71,11000000,1.3
2018-10-31 00:00:00,62.91,63.52,62.07,62.89,12920000,-0.46
2018-10-30 00:00:00,62.36,63.72,62.17,63.18,18870000,1.62
2018-10-29 00:00:00,63.5,63.69,61.27,62.17,14780000,-0.5
2018-10-26 00:00:00,61.5,63.64,61.18,62.48,17050000,-1.14
2018-10-25 00:00:00,63.81,63.83,62.35,63.2,20390000,0.93
2018-10-24 00:00:00,65.87,66.39,62.5,62.62,23380000,-5.66
2018-10-23 00:00:00,63.66,66.92,63.57,66.38,13440000,0.39
2018-10-22 00:00:00,65.69,66.6,65.22,66.12,12890000,1.16
2018-10-19 00:00:00,65.45,66.21,65.0,65.36,10670000,0.32
2018-10-18 00:00:00,65.68,66.32,64.87,65.15,12220000,-1.44
2018-10-17 00:00:00,66.38,66.61,65.29,66.1,14780000,-0.03
2018-10-16 00:00:00,64.78,66.39,64.62,66.12,15930000,3.04
2018-10-15 00:00:00,64.23,65.2,64.01,64.17,12320000,-0.19
2018-10-12 00:00:00,65.55,65.65,63.27,64.29,15760000,0.0
2018-10-11 00:00:00,66.35,66.99,63.61,64.29,25850000,-3.66
2018-10-10 00:00:00,68.77,69.56,66.62,66.73,22300000,-4.85
