date,open,high,low,close,volume,volumePrice,dailyReturn
2006-01-02,"36,100","37,650","35,850","37,600","13,366,196","493,527,368,480",6.52
2006-01-03,"38,100","38,400","36,850","38,100","13,834,043","520,842,229,050",1.33
2006-01-04,"38,250","39,050","35,300","35,300","23,140,068","865,540,052,150",-7.35
2006-01-05,"35,900","36,000","33,600","34,600","21,566,179","743,173,105,950",-1.98
2006-01-06,"34,950","35,850","34,850","35,050","12,707,206","449,664,717,000",1.30
2006-01-09,"35,600","36,750","35,450","36,750","13,652,495","492,862,850,250",4.85
2006-01-10,"37,600","38,600","37,450","38,000","16,155,952","614,472,731,600",3.40
2006-01-11,"37,950","38,150","36,600","37,350","9,532,302","355,474,444,050",-1.71
2006-01-12,"37,950","38,450","37,400","37,700","9,289,258","352,240,586,700",0.94
2006-01-13,"36,900","38,100","36,400","38,100","10,008,442","374,919,213,650",1.06
2006-01-16,"38,700","38,750","37,450","37,750","8,045,638","305,572,176,500",-0.92
2006-01-17,"37,650","38,100","35,650","36,200","10,257,599","379,713,782,050",-4.11
2006-01-18,"35,200","35,700","32,850","33,000","19,665,484","666,672,041,930",-8.84
2006-01-19,"33,300","34,650","33,250","34,400","18,428,496","627,401,662,350",4.24
2006-01-20,"34,400","35,200","32,100","32,300","16,771,296","566,148,714,400",-6.10
2006-01-23,"31,300","32,600","29,600","31,150","15,530,465","488,701,273,050",-3.56
2006-01-24,"31,850","33,500","30,700","33,500","15,974,226","511,058,433,000",7.54
2006-01-25,"35,300","35,850","34,000","34,000","15,537,952","543,099,657,700",1.49
2006-01-26,"34,900","36,750","34,300","36,750","18,925,359","673,491,633,600",8.09
2006-01-27,"37,350","37,750","36,250","37,500","14,503,649","536,271,106,050",2.04
2006-01-31,"37,700","38,700","36,750","37,300","18,154,320","684,922,098,300",-0.53
2006-02-01,"36,850","37,250","34,900","35,500","14,930,820","539,096,420,950",-4.83
2006-02-02,"36,350","36,650","34,950","36,250","14,279,598","512,882,376,650",2.11
2006-02-03,"35,150","36,050","34,950","35,000","11,244,571","398,618,552,050",-3.45
2006-02-06,"34,300","35,650","33,700","35,450","12,325,246","425,448,909,600",1.29
2006-02-07,"35,500","36,300","35,250","35,250","12,338,416","442,712,068,130",-0.56
2006-02-08,"35,050","35,900","34,650","34,700","9,523,601","335,860,795,850",-1.56
2006-02-09,"35,400","35,500","34,550","34,900","7,423,868","260,262,714,450",0.58
2006-02-10,"34,850","35,150","33,750","34,400","8,404,537","288,632,352,750",-1.43
2006-02-13,"34,100","34,400","32,800","33,000","10,805,711","359,311,595,800",-4.07
2006-02-14,"32,450","33,100","32,000","33,000","9,133,012","296,466,353,800",0.00
2006-02-15,"33,000","33,100","28,950","28,950","30,750,375","950,608,469,150",-12.27
2006-02-16,"29,500","30,750","29,300","30,350","15,694,423","471,353,937,650",4.84
2006-02-17,"30,700","31,500","30,600","31,200","11,828,324","367,218,080,050",2.80
2006-02-20,"30,600","31,400","30,600","31,000","7,060,460","218,485,921,900",-0.64
2006-02-21,"30,800","30,950","30,100","30,300","7,633,217","232,332,675,850",-2.26
2006-02-22,"30,350","31,150","30,350","30,950","9,849,932","303,192,697,700",2.15
2006-02-23,"31,150","32,500","31,100","32,200","10,433,443","332,258,130,300",4.04
2006-02-24,"32,150","32,900","31,650","32,900","8,507,219","276,044,208,900",2.17
2006-02-27,"32,750","33,100","32,200","32,700","4,892,289","160,123,917,300",-0.61
2006-02-28,"33,000","33,600","32,950","33,250","6,471,233","215,006,299,350",1.68
2006-03-02,"33,750","33,850","31,850","32,050","7,713,450","252,942,374,750",-3.61
2006-03-03,"31,700","31,900","29,850","30,500","12,898,998","394,776,623,680",-4.84
2006-03-06,"30,350","31,150","29,950","31,000","8,609,534","264,491,735,950",1.64
2006-03-07,"30,100","30,250","28,850","29,150","13,968,020","410,420,876,750",-5.97
2006-03-08,"28,500","29,450","28,350","29,450","8,627,940","249,633,122,600",1.03
2006-03-09,"29,400","29,750","29,000","29,100","8,551,943","251,195,024,850",-1.19
2006-03-10,"28,800","30,050","28,800","29,400","10,007,237","295,140,533,700",1.03
2006-03-13,"29,700","29,850","28,750","29,050","8,109,698","237,569,949,200",-1.19
2006-03-14,"28,950","29,150","27,950","28,350","8,784,830","249,566,438,350",-2.41
2006-03-15,"28,700","28,850","28,050","28,350","7,609,587","215,935,025,600",0.00
2006-03-16,"28,300","28,600","26,850","27,700","12,307,477","340,650,912,700",-2.29
2006-03-17,"27,550","28,850","27,550","28,600","7,943,736","224,794,074,300",3.25
2006-03-20,"28,650","29,300","28,400","28,700","5,194,601","150,045,340,450",0.35
2006-03-21,"28,800","29,500","28,300","28,400","6,547,257","189,484,719,750",-1.05
2006-03-22,"27,600","27,950","27,000","27,350","8,765,386","239,751,969,100",-3.70
2006-03-23,"27,700","27,800","26,450","27,200","7,147,856","193,939,615,150",-0.55
2006-03-24,"26,350","27,150","26,200","26,550","7,564,695","201,464,777,850",-2.39
2006-03-27,"26,600","27,550","26,600","27,450","7,095,042","193,463,304,550",3.39
2006-03-28,"27,050","27,850","26,850","27,650","5,474,390","150,180,302,700",0.73
2006-03-29,"27,300","27,800","26,950","27,650","4,554,153","125,205,530,100",0.00
2006-03-30,"28,200","28,800","28,100","28,300","6,601,655","187,599,697,600",2.35
2006-03-31,"28,300","29,600","28,150","28,900","8,036,603","232,543,087,450",2.12
2006-04-03,"29,300","29,600","29,150","29,600","4,496,960","132,248,920,700",2.42
2006-04-04,"30,100","31,100","29,900","30,850","11,517,886","353,003,981,000",4.22
2006-04-05,"31,100","31,250","30,000","30,600","7,730,877","236,393,974,900",-0.81
2006-04-06,"31,450","31,650","30,800","30,800","7,380,624","230,416,819,400",0.65
2006-04-07,"30,900","31,150","30,350","30,900","5,856,184","179,819,046,300",0.32
2006-04-10,"30,550","30,950","30,050","30,350","5,323,793","162,457,683,100",-1.78
2006-04-11,"29,950","30,200","29,300","29,700","5,852,860","173,283,975,850",-2.14
2006-04-12,"29,500","30,500","29,450","30,400","5,377,226","161,992,144,100",2.36
2006-04-13,"30,300","31,150","30,300","31,100","5,768,549","178,299,307,900",2.30
2006-04-14,"31,450","32,500","30,950","32,500","9,628,229","306,915,009,750",4.50
2006-04-17,"32,750","33,150","32,300","33,000","6,812,613","222,837,236,350",1.54
2006-04-18,"32,650","33,300","32,500","32,950","6,400,912","210,564,612,900",-0.15
2006-04-19,"33,800","34,550","33,450","33,550","11,248,553","383,008,648,150",1.82
2006-04-20,"33,900","34,200","33,550","33,550","6,055,923","204,711,651,050",0.00
2006-04-21,"34,300","34,500","34,000","34,250","7,224,497","247,312,799,450",2.09
2006-04-24,"34,300","34,350","33,100","33,900","5,915,064","198,926,830,750",-1.02
2006-04-25,"32,800","33,500","32,800","33,250","6,627,562","219,228,807,500",-1.92
2006-04-26,"33,300","33,400","32,600","33,250","5,080,201","167,393,117,650",0.00
2006-04-27,"33,100","34,050","32,950","33,900","7,117,880","239,859,686,900",1.95
2006-04-28,"33,600","33,750","32,650","32,950","6,174,477","203,987,814,150",-2.80
2006-05-02,"32,600","32,900","30,150","31,100","13,177,549","409,205,489,350",-5.61
2006-05-03,"31,400","31,700","31,000","31,000","4,496,568","141,339,918,050",-0.32
2006-05-04,"30,800","31,200","30,100","31,200","5,370,080","164,630,996,200",0.65
2006-05-08,"32,000","32,000","31,400","31,500","4,747,563","150,580,888,400",0.96
2006-05-09,"32,000","33,500","31,800","32,850","9,169,933","303,108,032,200",4.29
2006-05-10,"31,750","32,300","31,250","32,000","6,035,374","191,572,333,850",-2.59
2006-05-11,"31,800","32,850","31,800","32,250","4,563,593","147,987,592,300",0.78
2006-05-12,"31,650","33,000","31,300","32,850","5,895,158","189,001,789,050",1.86
2006-05-15,"32,400","33,500","32,050","33,500","5,394,732","177,327,126,400",1.98
2006-05-16,"33,500","33,550","32,200","32,800","5,206,313","170,930,405,130",-2.09
2006-05-17,"33,300","34,700","33,150","34,300","11,315,562","386,396,085,400",4.57
2006-05-18,"33,000","34,850","32,800","34,600","9,386,109","317,736,285,850",0.87
2006-05-19,"34,300","34,500","33,350","34,100","5,226,466","177,053,388,600",-1.45
2006-05-22,"34,600","34,650","32,600","32,650","5,921,693","197,543,551,100",-4.25
2006-05-23,"32,000","33,500","32,000","32,900","6,855,214","225,618,757,550",0.77
2006-05-24,"32,600","33,250","31,950","33,150","5,112,066","166,985,299,350",0.76
2006-05-25,"33,400","33,500","31,700","31,900","5,038,621","163,090,726,600",-3.77
2006-05-26,"32,400","33,050","32,400","32,400","4,966,475","162,655,646,550",1.57
2006-05-29,"32,650","33,100","32,000","32,200","3,461,484","112,426,196,500",-0.62
2006-05-30,"32,400","32,900","31,400","32,000","3,825,151","122,261,697,200",-0.62
2006-06-01,"31,800","32,300","31,050","31,250","3,390,518","106,862,831,950",-2.34
2006-06-02,"31,950","32,300","31,300","31,750","4,473,018","142,455,714,450",1.60
2006-06-05,"32,150","32,200","31,200","31,500","2,457,601","77,366,700,350",-0.79
2006-06-07,"30,600","30,950","30,300","30,600","4,594,225","140,383,347,000",-2.86
2006-06-08,"30,100","30,700","29,900","30,100","4,330,415","130,819,209,000",-1.63
2006-06-09,"30,600","30,650","29,200","30,050","4,039,837","121,084,594,800",-0.17
2006-06-12,"29,700","30,050","29,350","29,950","2,484,328","73,962,821,900",-0.33
2006-06-13,"29,300","29,400","28,750","28,900","4,780,389","138,365,012,600",-3.51
2006-06-14,"28,750","29,200","28,450","29,050","5,382,382","155,697,817,500",0.52
2006-06-15,"29,400","29,550","28,750","28,850","3,790,955","110,554,943,100",-0.69
2006-06-16,"30,150","30,350","29,700","29,700","5,537,337","166,390,912,900",2.95
2006-06-19,"29,450","29,450","28,750","29,100","4,836,852","140,279,210,100",-2.02
2006-06-20,"28,500","28,700","27,900","28,250","5,644,553","158,898,587,430",-2.92
2006-06-21,"28,350","28,450","26,800","27,350","7,006,583","191,897,096,350",-3.19
2006-06-22,"27,100","27,450","26,150","26,200","19,015,537","508,315,755,250",-4.20
