DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
2019-10-31 00:00:00,27.9,28.04,28.24,27.77,53810,-0.5
2019-10-30 00:00:00,28.04,28.01,28.22,27.85,26450,-0.11
2019-10-29 00:00:00,28.07,27.67,28.24,27.67,35090,2.52
2019-10-28 00:00:00,27.38,27.33,27.55,27.31,86680,-2.49
2019-10-25 00:00:00,28.08,27.94,28.16,27.86,32650,1.08
2019-10-24 00:00:00,27.78,27.99,27.99,27.72,25230,-0.39
2019-10-23 00:00:00,27.89,27.6,27.99,27.6,32920,0.18
2019-10-22 00:00:00,27.84,28.15,28.15,27.82,32680,0.11
2019-10-21 00:00:00,27.81,28.21,28.21,27.53,45860,-0.89
2019-10-18 00:00:00,28.06,27.68,28.23,27.68,88100,0.79
2019-10-17 00:00:00,27.84,27.73,28.15,27.7,91230,0.11
2019-10-16 00:00:00,27.81,27.78,28.07,27.58,42060,-0.25
2019-10-15 00:00:00,27.88,27.73,28.04,27.71,45860,2.35
2019-10-14 00:00:00,27.24,27.18,27.24,27.16,22870,-0.55
2019-10-11 00:00:00,27.39,27.25,27.51,27.22,30600,1.75
2019-10-10 00:00:00,26.92,26.85,26.93,26.75,41900,3.54
2019-10-09 00:00:00,26.0,26.02,26.02,25.63,334640,2.36
2019-10-08 00:00:00,25.4,26.11,26.11,25.24,399550,-3.68
2019-10-07 00:00:00,26.37,26.01,26.55,26.01,24470,-1.46
2019-10-04 00:00:00,26.76,26.5,26.76,26.41,27720,1.29
2019-10-03 00:00:00,26.42,26.21,26.42,26.12,58150,0.53
2019-10-02 00:00:00,26.28,26.83,26.83,26.22,32250,-2.34
2019-10-01 00:00:00,26.91,26.95,27.28,26.77,31160,0.07
2019-09-30 00:00:00,26.89,26.75,27.04,26.68,141220,-0.74
2019-09-27 00:00:00,27.09,27.61,27.61,26.98,32229,-0.81
2019-09-26 00:00:00,27.31,27.96,27.96,27.13,55020,-0.29
2019-09-25 00:00:00,27.39,26.83,27.58,26.83,68820,-0.65
2019-09-24 00:00:00,27.57,28.22,28.22,27.55,28120,0.77
2019-09-23 00:00:00,27.36,27.14,27.62,27.14,33020,0.18
2019-09-20 00:00:00,27.31,27.6,27.6,27.23,20940,-0.44
2019-09-19 00:00:00,27.43,27.85,27.85,27.09,21720,0.92
2019-09-18 00:00:00,27.18,26.98,27.25,26.98,35680,0.55
2019-09-17 00:00:00,27.03,26.27,27.3,26.27,37270,0.07
2019-09-16 00:00:00,27.01,27.25,27.25,27.01,22800,-1.06
2019-09-13 00:00:00,27.3,27.14,27.43,27.05,32590,1.68
2019-09-12 00:00:00,26.85,26.7,27.08,26.7,40450,1.44
2019-09-11 00:00:00,26.47,26.88,26.88,26.19,32680,0.68
2019-09-10 00:00:00,26.29,26.69,26.69,26.14,36960,-0.79
2019-09-09 00:00:00,26.5,26.88,26.88,26.29,28410,1.18
2019-09-06 00:00:00,26.19,26.11,26.37,26.1,192520,-0.04
2019-09-05 00:00:00,26.2,25.7,26.25,25.7,29100,3.8
2019-09-04 00:00:00,25.24,25.09,25.24,25.0,62410,0.56
2019-09-03 00:00:00,25.1,25.16,25.32,25.1,32740,-0.32
2019-08-30 00:00:00,25.18,25.28,25.29,25.1,23050,0.28
2019-08-29 00:00:00,25.11,25.14,25.14,24.98,25210,1.5
2019-08-28 00:00:00,24.74,25.12,25.12,24.5,72790,-0.24
2019-08-27 00:00:00,24.8,24.7,24.8,24.67,67140,-0.16
2019-08-26 00:00:00,24.84,24.93,24.93,24.65,34450,0.98
2019-08-23 00:00:00,24.6,25.26,25.26,24.54,52010,-1.05
2019-08-22 00:00:00,24.86,24.93,24.96,24.65,41470,0.44
2019-08-21 00:00:00,24.75,24.66,24.8,24.66,233660,1.39
2019-08-20 00:00:00,24.41,24.77,24.77,24.4,255230,-1.45
2019-08-19 00:00:00,24.77,24.99,24.99,24.6,38640,-0.6
2019-08-16 00:00:00,24.92,24.61,25.03,24.61,43000,-3.04
2019-08-15 00:00:00,25.7,25.03,25.7,24.97,111380,3.92
2019-08-14 00:00:00,24.73,24.9,24.99,24.6,68940,-2.41
2019-08-13 00:00:00,25.34,24.9,25.4,24.9,88910,1.36
2019-08-12 00:00:00,25.0,24.9,25.41,24.9,48780,0.0
2019-08-09 00:00:00,25.0,25.2,25.71,24.84,37320,-1.19
2019-08-08 00:00:00,25.3,25.11,25.47,24.73,62580,1.08
2019-08-07 00:00:00,25.03,24.8,25.14,24.61,58200,0.0
2019-08-06 00:00:00,25.03,25.5,25.51,24.8,170230,-0.95
2019-08-05 00:00:00,25.27,25.57,25.8,25.08,45000,-0.98
2019-08-02 00:00:00,25.52,26.31,26.31,25.31,34810,0.47
2019-08-01 00:00:00,25.4,25.61,25.62,25.25,30010,-0.31
2019-07-31 00:00:00,25.48,25.84,25.89,25.32,42400,0.04
2019-07-30 00:00:00,25.47,25.19,25.48,25.19,204280,0.12
2019-07-29 00:00:00,25.44,25.71,25.71,25.42,75290,0.16
2019-07-26 00:00:00,25.4,25.59,25.59,25.3,54140,0.0
2019-07-25 00:00:00,25.4,25.06,25.76,25.06,761320,-0.12
2019-07-24 00:00:00,25.43,24.5,25.62,24.26,573610,8.63
2019-07-23 00:00:00,23.41,23.05,23.44,23.05,46750,0.04
2019-07-22 00:00:00,23.4,23.02,23.53,23.02,86270,1.3
2019-07-19 00:00:00,23.1,22.9,23.14,22.89,71830,2.12
2019-07-18 00:00:00,22.62,22.37,22.68,22.25,70020,0.89
2019-07-17 00:00:00,22.42,22.2,22.61,22.2,68150,0.58
2019-07-16 00:00:00,22.29,22.05,22.64,22.05,49010,-1.28
2019-07-15 00:00:00,22.58,22.31,22.58,22.27,144330,0.13
2019-07-12 00:00:00,22.55,22.05,22.74,22.05,479740,-0.27
2019-07-11 00:00:00,22.61,22.2,22.69,22.2,98570,1.48
2019-07-10 00:00:00,22.28,21.91,22.56,21.91,45190,-0.8
2019-07-09 00:00:00,22.46,22.55,22.77,22.45,44830,-2.35
2019-07-08 00:00:00,23.0,23.42,23.42,22.82,437780,-1.54
2019-07-05 00:00:00,23.36,23.66,23.66,23.2,345630,-1.02
2019-07-03 00:00:00,23.6,23.79,23.79,23.48,780380,-0.76
2019-07-02 00:00:00,23.78,23.88,23.88,23.27,663210,-0.71
2019-07-01 00:00:00,23.95,23.93,24.08,23.8,875270,2.57
2019-06-28 00:00:00,23.35,23.51,23.51,23.25,454170,2.19
2019-06-27 00:00:00,22.85,23.06,23.06,22.78,23620,3.07
2019-06-26 00:00:00,22.17,22.4,22.41,22.09,21450,-0.49
2019-06-25 00:00:00,22.28,22.19,22.42,22.19,24910,0.32
