DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
2019-10-31 00:00:00,85.22,87.56,87.56,84.14,306250,-1.96
2019-10-30 00:00:00,86.92,86.82,89.08,86.26,261730,0.07
2019-10-29 00:00:00,86.86,86.5,88.14,86.3,241380,0.79
2019-10-28 00:00:00,86.18,84.08,87.8,83.72,228390,2.89
2019-10-25 00:00:00,83.76,82.12,84.16,80.12,331280,-0.52
2019-10-24 00:00:00,84.2,78.78,84.6,77.94,375910,6.23
2019-10-23 00:00:00,79.26,75.14,79.8,74.4,288170,1.69
2019-10-22 00:00:00,77.94,79.08,79.82,76.74,203960,-1.59
2019-10-21 00:00:00,79.2,76.76,79.4,76.3,207410,3.34
2019-10-18 00:00:00,76.64,75.42,76.98,74.5,216540,1.56
2019-10-17 00:00:00,75.46,75.18,76.18,74.18,153470,-0.71
2019-10-16 00:00:00,76.0,76.0,76.5,72.78,306360,-1.55
2019-10-15 00:00:00,77.2,73.8,77.58,73.04,297130,5.01
2019-10-14 00:00:00,73.52,73.36,73.58,70.96,157430,0.05
2019-10-11 00:00:00,73.48,69.42,73.7,69.2,197990,6.8
2019-10-10 00:00:00,68.8,66.58,69.0,66.02,150960,4.12
2019-10-09 00:00:00,66.08,64.86,66.56,63.58,129830,2.39
2019-10-08 00:00:00,64.54,67.88,67.9,63.78,163250,-3.33
2019-10-07 00:00:00,66.76,68.48,68.6,66.46,120130,-1.1
2019-10-04 00:00:00,67.5,67.7,67.98,66.02,236740,1.47
2019-10-02 00:00:00,66.52,70.66,71.08,66.46,250200,-5.97
2019-10-01 00:00:00,70.74,70.64,72.42,70.22,162060,1.49
2019-09-30 00:00:00,69.7,68.84,69.74,68.16,102070,0.69
2019-09-27 00:00:00,69.22,67.5,70.72,65.6,200800,0.06
2019-09-26 00:00:00,69.18,70.02,71.84,68.98,134770,-1.54
2019-09-25 00:00:00,70.26,71.5,71.5,68.72,165540,-3.17
2019-09-24 00:00:00,72.56,73.26,73.6,72.2,131820,1.4
2019-09-23 00:00:00,71.56,73.0,73.0,69.82,148030,-2.56
2019-09-20 00:00:00,73.44,74.0,74.0,72.22,147390,-1.08
2019-09-19 00:00:00,74.24,72.2,74.24,71.28,188470,3.48
2019-09-18 00:00:00,71.74,70.58,73.22,70.58,106760,0.67
2019-09-17 00:00:00,71.26,72.22,72.4,70.38,167960,-2.17
2019-09-16 00:00:00,72.84,70.0,73.22,69.5,227380,2.33
2019-09-13 00:00:00,71.18,69.3,72.26,69.0,203930,2.3
2019-09-12 00:00:00,69.58,71.58,73.4,69.12,252560,-2.36
2019-09-11 00:00:00,71.26,70.6,72.02,69.9,152700,1.97
2019-09-10 00:00:00,69.88,67.68,70.4,66.16,275440,3.8
2019-09-09 00:00:00,67.32,66.46,67.8,66.44,174830,1.08
2019-09-06 00:00:00,66.6,65.76,66.78,64.84,201170,1.71
2019-09-05 00:00:00,65.48,61.82,65.9,61.8,343450,7.87
2019-09-04 00:00:00,60.7,60.0,61.26,59.62,117970,2.95
2019-09-03 00:00:00,58.96,59.0,59.78,58.22,79970,-0.17
2019-09-02 00:00:00,59.06,58.62,59.98,58.28,77360,0.85
2019-08-30 00:00:00,58.56,58.6,60.58,58.28,174440,0.86
2019-08-29 00:00:00,58.06,56.26,58.64,55.34,207910,3.27
2019-08-28 00:00:00,56.22,57.32,57.32,55.62,96880,-0.85
2019-08-27 00:00:00,56.7,57.0,57.68,55.2,141540,0.53
2019-08-26 00:00:00,56.4,56.06,57.4,54.62,203320,0.82
2019-08-23 00:00:00,55.94,60.88,61.8,55.8,289630,-7.69
2019-08-22 00:00:00,60.6,60.52,62.1,59.76,72830,-1.01
2019-08-21 00:00:00,61.22,60.22,62.66,60.22,91770,2.0
2019-08-20 00:00:00,60.02,60.72,62.12,60.02,96420,-1.19
2019-08-19 00:00:00,60.74,60.5,61.62,60.04,86300,2.88
2019-08-16 00:00:00,59.04,57.32,59.48,57.0,171020,3.91
2019-08-15 00:00:00,56.82,58.1,58.66,55.8,177520,-1.63
2019-08-14 00:00:00,57.76,61.5,61.5,57.46,122760,-5.87
2019-08-13 00:00:00,61.36,58.58,62.54,57.36,287410,5.25
2019-08-12 00:00:00,58.3,60.2,60.58,58.3,139370,-1.65
2019-08-09 00:00:00,59.28,61.8,61.86,58.88,255300,-3.89
2019-08-08 00:00:00,61.68,61.58,62.16,60.88,166340,1.85
2019-08-07 00:00:00,60.56,62.08,62.56,59.98,206050,-0.46
2019-08-06 00:00:00,60.84,64.66,65.72,60.5,248400,-4.76
2019-08-05 00:00:00,63.88,66.12,66.74,63.48,240860,-6.66
2019-08-02 00:00:00,68.44,69.5,70.12,67.98,284720,-5.89
2019-08-01 00:00:00,72.72,70.06,72.84,70.06,143570,2.86
2019-07-31 00:00:00,70.7,69.66,71.9,69.0,205450,1.17
2019-07-30 00:00:00,69.88,71.56,72.72,68.32,207870,-2.32
2019-07-29 00:00:00,71.54,73.26,73.3,71.04,140210,-2.61
2019-07-26 00:00:00,73.46,71.62,74.5,71.62,175580,2.37
2019-07-25 00:00:00,71.76,73.8,75.92,69.16,398050,-3.39
2019-07-24 00:00:00,74.28,71.1,75.3,71.1,341300,5.12
2019-07-23 00:00:00,70.66,69.0,71.06,68.94,241940,3.67
2019-07-22 00:00:00,68.16,66.36,68.44,66.06,150780,2.34
2019-07-19 00:00:00,66.6,65.0,66.84,65.0,210830,3.26
2019-07-18 00:00:00,64.5,62.2,64.72,61.62,193000,2.38
2019-07-17 00:00:00,63.0,63.42,63.82,62.44,101010,-0.82
2019-07-16 00:00:00,63.52,62.76,64.34,62.26,164900,1.79
2019-07-15 00:00:00,62.4,60.68,62.6,60.36,143690,3.69
2019-07-12 00:00:00,60.18,59.74,60.6,59.16,96150,0.7
2019-07-11 00:00:00,59.76,61.12,61.72,59.02,143220,-1.39
2019-07-10 00:00:00,60.6,60.22,62.06,60.22,208160,1.1
2019-07-09 00:00:00,59.94,61.32,61.8,59.66,166580,-3.23
2019-07-08 00:00:00,61.94,61.74,62.88,61.18,135850,-0.03
