DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
2019-10-31,9.8393,9.8885,9.7901,9.7901,43123512,-0.5431
2019-10-30,9.8107,9.8436,9.745,9.8436,32370342,0.6417
2019-10-29,9.7316,9.7808,9.7153,9.7808,37130132,1.5243
2019-10-28,9.6503,9.6667,9.6176,9.6339,20216560,0.3932
2019-10-25,9.6289,9.6289,9.5635,9.5962,25082712,0.2132
2019-10-24,9.6248,9.6248,9.5104,9.5758,29040828,-0.0196
2019-10-23,9.594,9.594,9.4959,9.5777,30382408,-0.3401
2019-10-22,9.5613,9.6104,9.5286,9.6104,26525020,1.1838
2019-10-21,9.5307,9.5307,9.4488,9.4979,35860364,-0.9915
2019-10-18,9.593,9.6749,9.5276,9.593,45460984,0.0879
2019-10-17,9.6336,9.6499,9.5356,9.5846,41920940,-0.8308
2019-10-16,9.7138,9.7138,9.5671,9.6649,42917144,0.874
2019-10-15,9.5812,9.6628,9.5322,9.5812,54754832,1.088
2019-10-14,9.5271,9.5271,9.429,9.4781,53403520,3.4755
2019-10-09,9.2084,9.2896,9.1597,9.1597,34895456,-1.4716
2019-10-08,9.1992,9.2965,9.1667,9.2965,39868552,3.3552
2019-10-07,9.0271,9.0433,8.9785,8.9947,17750230,0.4579
2019-10-04,9.0509,9.0671,8.9052,8.9537,35814612,0.3497
2019-10-03,8.8418,8.9548,8.8418,8.9225,35874864,-0.8786
2019-10-02,9.0177,9.0499,8.9855,9.0016,30572954,-0.0693
2019-10-01,8.7827,9.0239,8.7827,9.0078,75248888,2.8286
2019-09-27,8.744,8.7762,8.7279,8.7601,44242816,1.4827
2019-09-26,8.6643,8.6804,8.5838,8.6321,34128104,0.7551
2019-09-25,8.4547,8.5674,8.4385,8.5674,23244164,0.4065
2019-09-24,8.4844,8.5488,8.4361,8.5327,24304944,0.1881
2019-09-23,8.5167,8.5167,8.4844,8.5167,14220209,-0.1129
2019-09-20,8.5909,8.607,8.5263,8.5263,44555864,-0.2969
2019-09-19,8.6485,8.6485,8.5194,8.5517,27165568,-0.8804
2019-09-18,8.6277,8.7084,8.6115,8.6277,51360760,0.7449
2019-09-17,8.6123,8.6123,8.5477,8.5639,30069844,-0.3464
2019-09-16,8.4803,8.5936,8.4642,8.5936,38913968,1.0807
2019-09-12,8.5827,8.5827,8.4694,8.5017,38792292,0.6439
2019-09-11,8.4795,8.4955,8.3671,8.4474,36266016,0.8514
2019-09-10,8.4401,8.4561,8.344,8.376,30019866,-1.3429
2019-09-09,8.5061,8.5221,8.442,8.4901,17317832,0.4726
2019-09-06,8.4982,8.4982,8.4341,8.4501,26609516,0.415
2019-09-05,8.4152,8.4152,8.3352,8.4152,49041728,2.1784
2019-09-04,8.1238,8.2518,8.1238,8.2358,23697732,1.78
2019-09-03,8.1714,8.2192,8.0599,8.0917,26086496,-1.3435
2019-09-02,8.2179,8.2179,8.1542,8.2019,14776854,-0.8167
2019-08-30,8.1897,8.2695,8.1737,8.2695,35299200,1.949
2019-08-29,8.0795,8.1114,8.0156,8.1114,19587768,1.1123
2019-08-28,7.9744,8.054,7.9744,8.0222,15280882,0.8064
2019-08-27,7.9739,7.9898,7.9102,7.958,53664952,0.5524
2019-08-26,7.9302,7.978,7.9143,7.9143,31740620,-2.0376
2019-08-23,8.063,8.0948,8.0471,8.0789,14772877,-0.2735
2019-08-22,8.1967,8.2127,8.101,8.101,22136840,-0.2729
2019-08-21,8.1232,8.1392,8.0753,8.1232,20269296,0.1085
2019-08-20,8.0985,8.1144,8.0506,8.1144,20620494,1.0017
2019-08-19,8.018,8.0658,7.9861,8.0339,25098514,0.5011
2019-08-16,7.9779,8.0578,7.9299,7.9939,25696716,0.9547
2019-08-15,7.8863,7.9342,7.8544,7.9183,28277412,-0.2838
2019-08-14,8.0363,8.084,7.9408,7.9408,36336704,0.2893
2019-08-13,7.9982,8.0143,7.9179,7.9179,25045106,-0.8622
2019-08-12,8.0981,8.0981,7.9868,7.9868,24732600,-1.5502
2019-08-08,7.9365,8.1285,7.9365,8.1125,30140266,2.9897
2019-08-07,7.9405,7.9564,7.8294,7.877,29435460,-0.1378
2019-08-06,7.6181,7.9355,7.6181,7.8879,58916880,1.237
2019-08-05,7.9337,7.9654,7.7599,7.7915,52835720,-2.5581
2019-08-02,8.012,8.0596,7.9643,7.9961,54165644,-2.9157
2019-08-01,8.2683,8.2683,8.2041,8.2362,30107526,-1.3243
2019-07-31,8.3628,8.3628,8.2663,8.3467,36365604,-0.1859
2019-07-30,8.4427,8.4588,8.3623,8.3623,22895612,-0.3735
2019-07-29,8.3615,8.4258,8.3454,8.3936,18473320,-0.1029
