DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
2019-10-31 00:00:00,2078,2101,2103,2062,60700,-4.2
2019-10-30 00:00:00,2169,2129,2169,2121,40600,2.31
2019-10-29 00:00:00,2120,2110,2120,2091,25000,1.73
2019-10-28 00:00:00,2084,2109,2110,2072,22300,-0.67
2019-10-25 00:00:00,2098,2097,2100,2073,15200,0.05
2019-10-24 00:00:00,2097,2097,2099,2064,16400,0.24
2019-10-23 00:00:00,2092,2097,2097,2069,17600,0.67
2019-10-21 00:00:00,2078,2080,2089,2072,7100,0.0
2019-10-18 00:00:00,2078,2094,2100,2072,14800,0.14
2019-10-17 00:00:00,2075,2063,2076,2055,15200,-0.19
2019-10-16 00:00:00,2079,2081,2085,2060,23400,1.76
2019-10-15 00:00:00,2043,2046,2066,2040,16200,1.39
2019-10-11 00:00:00,2015,2018,2020,2003,10300,0.0
2019-10-10 00:00:00,2015,2020,2027,2009,4900,-0.3
2019-10-09 00:00:00,2021,2014,2024,2005,7300,0.35
2019-10-08 00:00:00,2014,2015,2026,2005,9300,0.8
2019-10-07 00:00:00,1998,2027,2027,1988,11300,-0.6
2019-10-04 00:00:00,2010,2009,2011,1984,21000,-0.15
2019-10-03 00:00:00,2013,2030,2036,2006,28000,-2.89
2019-10-02 00:00:00,2073,2058,2075,2050,13400,0.63
2019-10-01 00:00:00,2060,2047,2081,2047,17000,1.63
2019-09-30 00:00:00,2027,2074,2075,2022,16000,-3.11
2019-09-27 00:00:00,2092,2066,2099,2065,18800,-2.29
2019-09-26 00:00:00,2141,2150,2158,2132,28800,0.05
2019-09-25 00:00:00,2140,2077,2149,2066,48300,2.59
2019-09-24 00:00:00,2086,2095,2100,2074,15800,-0.43
2019-09-20 00:00:00,2095,2100,2100,2083,22500,-0.24
2019-09-19 00:00:00,2100,2078,2117,2078,28400,1.06
2019-09-18 00:00:00,2078,2086,2091,2071,13000,-0.38
2019-09-17 00:00:00,2086,2084,2097,2063,19400,-0.05
2019-09-13 00:00:00,2087,2087,2093,2063,23500,0.53
2019-09-12 00:00:00,2076,2084,2100,2075,30800,0.05
2019-09-11 00:00:00,2075,2056,2075,2056,27800,1.07
2019-09-10 00:00:00,2053,2038,2054,2038,15000,0.88
2019-09-09 00:00:00,2035,2015,2041,2015,18400,1.04
2019-09-06 00:00:00,2014,1987,2035,1987,27500,1.16
2019-09-05 00:00:00,1991,1969,1999,1967,19700,1.63
2019-09-04 00:00:00,1959,1954,1979,1940,18500,0.26
2019-09-03 00:00:00,1954,1933,1960,1915,12300,1.35
2019-09-02 00:00:00,1928,1944,1945,1926,8300,-0.72
2019-08-30 00:00:00,1942,1894,1945,1894,15900,2.97
2019-08-29 00:00:00,1886,1880,1889,1869,7400,-0.11
2019-08-28 00:00:00,1888,1881,1904,1865,22500,-0.16
2019-08-27 00:00:00,1891,1892,1900,1883,9000,0.75
2019-08-26 00:00:00,1877,1882,1884,1859,33600,-1.68
2019-08-23 00:00:00,1909,1917,1918,1904,4800,-0.42
2019-08-22 00:00:00,1917,1913,1919,1897,12500,1.0
2019-08-21 00:00:00,1898,1911,1911,1896,11800,-1.66
2019-08-20 00:00:00,1930,1905,1931,1900,7200,1.42
2019-08-19 00:00:00,1903,1925,1925,1895,20300,-0.89
2019-08-16 00:00:00,1920,1911,1925,1900,5600,0.63
2019-08-15 00:00:00,1908,1906,1913,1890,18900,-1.8
2019-08-14 00:00:00,1943,1950,1950,1932,10300,1.25
2019-08-13 00:00:00,1919,1921,1926,1904,15800,-1.74
2019-08-09 00:00:00,1953,1977,1977,1949,8700,-0.1
2019-08-08 00:00:00,1955,1935,1964,1928,15700,0.51
