DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
2019-10-31 00:00:00,2.26,2.28,2.29,2.25,361590,-2.16
2019-10-30 00:00:00,2.31,2.35,2.35,2.3,133140,-1.28
2019-10-29 00:00:00,2.34,2.32,2.34,2.32,356310,1.3
2019-10-28 00:00:00,2.31,2.32,2.32,2.3,142450,-0.86
2019-10-25 00:00:00,2.33,2.31,2.33,2.3,198880,0.0
2019-10-24 00:00:00,2.33,2.3,2.33,2.3,394390,3.56
2019-10-23 00:00:00,2.25,2.26,2.27,2.25,168400,0.9
2019-10-22 00:00:00,2.23,2.27,2.27,2.23,263890,-1.76
2019-10-21 00:00:00,2.27,2.24,2.29,2.24,535480,0.44
2019-10-18 00:00:00,2.26,2.22,2.26,2.213,418960,3.2
2019-10-17 00:00:00,2.19,2.22,2.22,2.19,304920,-0.45
2019-10-16 00:00:00,2.2,2.21,2.22,2.18,469880,0.0
2019-10-15 00:00:00,2.2,2.19,2.21,2.19,253550,1.85
2019-10-14 00:00:00,2.16,2.17,2.18,2.16,520789,-1.37
2019-10-11 00:00:00,2.19,2.16,2.2,2.15,572830,1.39
2019-10-10 00:00:00,2.16,2.12,2.16,2.115,419790,1.89
2019-10-09 00:00:00,2.12,2.09,2.12,2.085,791500,1.44
2019-10-08 00:00:00,2.09,2.12,2.12,2.08,775000,-1.42
2019-10-07 00:00:00,2.12,2.13,2.13,2.095,750270,-0.47
2019-10-04 00:00:00,2.13,2.13,2.14,2.11,529020,1.43
2019-10-03 00:00:00,2.1,2.1,2.12,2.08,423790,0.48
2019-10-02 00:00:00,2.09,2.09,2.095,2.08,802030,-1.88
2019-10-01 00:00:00,2.13,2.12,2.14,2.11,648180,1.91
2019-09-30 00:00:00,2.09,2.13,2.13,2.08,575050,0.0
2019-09-27 00:00:00,2.09,2.13,2.14,2.09,467230,-2.34
2019-09-26 00:00:00,2.14,2.16,2.16,2.13,596100,-1.38
2019-09-25 00:00:00,2.17,2.15,2.19,2.145,685010,3.33
2019-09-24 00:00:00,2.1,2.16,2.17,2.09,1220000,-2.33
2019-09-23 00:00:00,2.15,2.14,2.165,2.13,546610,2.38
2019-09-20 00:00:00,2.1,2.19,2.2,2.1,2260000,-4.11
2019-09-19 00:00:00,2.19,2.17,2.19,2.17,302800,0.92
2019-09-18 00:00:00,2.17,2.16,2.18,2.16,212060,0.0
2019-09-17 00:00:00,2.17,2.17,2.1790000000000003,2.15,306750,-0.46
2019-09-16 00:00:00,2.18,2.22,2.22,2.18,253400,-1.8
2019-09-13 00:00:00,2.22,2.18,2.27,2.175,1980000,1.83
2019-09-12 00:00:00,2.18,2.17,2.19,2.17,225140,0.0
2019-09-11 00:00:00,2.18,2.17,2.18,2.16,226810,0.93
2019-09-10 00:00:00,2.16,2.13,2.17,2.13,312310,0.47
2019-09-09 00:00:00,2.15,2.16,2.165,2.136,140760,0.47
2019-09-06 00:00:00,2.14,2.15,2.15,2.13,194180,-0.47
2019-09-05 00:00:00,2.15,2.16,2.18,2.14,365330,0.0
2019-09-04 00:00:00,2.15,2.11,2.15,2.09,675280,4.37
2019-09-03 00:00:00,2.06,2.06,2.08,2.05,317560,-2.37
2019-08-30 00:00:00,2.11,2.11,2.11,2.1,187510,0.96
2019-08-29 00:00:00,2.09,2.05,2.09,2.046,339100,2.45
2019-08-28 00:00:00,2.04,2.05,2.05,2.02,144100,0.0
2019-08-27 00:00:00,2.04,2.05,2.05,2.02,205630,0.0
2019-08-26 00:00:00,2.04,2.04,2.05,2.03,241810,0.49
2019-08-23 00:00:00,2.03,2.06,2.07,2.03,447810,-1.46
2019-08-22 00:00:00,2.06,2.08,2.08,2.04,110330,-2.37
2019-08-21 00:00:00,2.11,2.12,2.12,2.1,197380,0.0
2019-08-20 00:00:00,2.11,2.1,2.11,2.09,361920,0.96
2019-08-19 00:00:00,2.09,2.1,2.1,2.07,1670000,0.97
2019-08-16 00:00:00,2.07,2.07,2.09,2.045,2220000,3.5
2019-08-15 00:00:00,2.0,2.01,2.02,1.99,618020,-1.48
2019-08-14 00:00:00,2.03,2.03,2.05,2.021,379220,-0.49
2019-08-13 00:00:00,2.04,2.02,2.05,2.02,950640,0.49
2019-08-12 00:00:00,2.03,2.02,2.041,2.02,637210,-0.98
2019-08-09 00:00:00,2.05,2.08,2.08,2.04,639070,-1.44
2019-08-08 00:00:00,2.08,2.07,2.09,2.07,139240,2.46
2019-08-07 00:00:00,2.03,2.03,2.06,2.02,414290,0.5
2019-08-06 00:00:00,2.02,2.03,2.06,2.02,219470,0.5
2019-08-05 00:00:00,2.01,2.04,2.04,1.99,629920,-2.9
2019-08-02 00:00:00,2.07,2.08,2.1,2.04,591860,-0.96
2019-08-01 00:00:00,2.09,2.13,2.14,2.09,353980,-4.13
2019-07-31 00:00:00,2.18,2.17,2.18,2.14,809970,1.4
2019-07-30 00:00:00,2.15,2.15,2.16,2.14,395170,0.94
2019-07-29 00:00:00,2.13,2.09,2.13,2.09,421430,2.9
2019-07-26 00:00:00,2.07,2.1,2.1,2.04,691850,-2.82
2019-07-25 00:00:00,2.13,2.15,2.15,2.13,249340,-3.18
2019-07-24 00:00:00,2.2,2.19,2.22,2.16,677660,3.29
2019-07-23 00:00:00,2.13,2.14,2.15,2.11,452570,-0.47
2019-07-22 00:00:00,2.14,2.15,2.15,2.13,179820,-0.47
2019-07-19 00:00:00,2.15,2.19,2.19,2.14,389170,-1.38
2019-07-18 00:00:00,2.18,2.18,2.18,2.16,215370,0.93
2019-07-17 00:00:00,2.16,2.18,2.18,2.135,392490,-1.37
2019-07-16 00:00:00,2.19,2.22,2.22,2.17,550720,-2.67
2019-07-15 00:00:00,2.25,2.28,2.29,2.23,950490,-2.17
2019-07-12 00:00:00,2.3,2.32,2.32,2.27,720500,-1.29
2019-07-11 00:00:00,2.33,2.35,2.38,2.32,1400000,0.43
2019-07-10 00:00:00,2.32,2.28,2.33,2.28,2530000,5.94
2019-07-09 00:00:00,2.19,2.2,2.21,2.18,184980,0.92
2019-07-08 00:00:00,2.17,2.18,2.2,2.17,214200,-1.81
2019-07-05 00:00:00,2.21,2.2,2.22,2.19,324170,-0.45
2019-07-03 00:00:00,2.22,2.21,2.23,2.21,145150,-0.45
2019-07-02 00:00:00,2.23,2.27,2.27,2.23,356400,-1.76
2019-07-01 00:00:00,2.27,2.26,2.28,2.26,600310,2.71
2019-06-28 00:00:00,2.21,2.21,2.22,2.19,152200,-0.45
2019-06-27 00:00:00,2.22,2.19,2.22,2.19,291400,1.37
2019-06-26 00:00:00,2.19,2.15,2.19,2.15,437500,1.86
2019-06-25 00:00:00,2.15,2.14,2.19,2.13,974170,0.0
2019-06-24 00:00:00,2.15,2.13,2.15,2.13,1170000,3.37
2019-06-21 00:00:00,2.08,2.13,2.16,2.08,3050000,-2.35
2019-06-20 00:00:00,2.13,2.13,2.14,2.11,233340,0.0
2019-06-19 00:00:00,2.13,2.12,2.14,2.11,221210,1.91
2019-06-18 00:00:00,2.09,2.07,2.09,2.05,534970,-0.48
2019-06-17 00:00:00,2.1,2.12,2.12,2.09,192430,-0.94
2019-06-14 00:00:00,2.12,2.12,2.12,2.105,277600,-0.47
2019-06-13 00:00:00,2.13,2.12,2.13,2.11,401220,2.4
2019-06-12 00:00:00,2.08,2.12,2.13,2.08,264410,-0.48
2019-06-11 00:00:00,2.09,2.09,2.1,2.08,225170,1.46
2019-06-10 00:00:00,2.06,2.08,2.1,2.06,436880,0.49
2019-06-07 00:00:00,2.05,2.05,2.05,2.03,404580,0.49
2019-06-06 00:00:00,2.04,2.02,2.05,2.02,561320,3.03
2019-06-05 00:00:00,1.98,2.02,2.02,1.96,879940,-1.98
2019-06-04 00:00:00,2.02,2.03,2.03,2.005,884220,-0.98
2019-06-03 00:00:00,2.04,2.06,2.06,2.02,929750,3.55
2019-05-31 00:00:00,1.97,1.99,1.99,1.965,459680,-0.51
2019-05-30 00:00:00,1.98,1.97,1.99,1.96,228690,1.54
2019-05-29 00:00:00,1.95,1.93,1.96,1.92,308260,3.72
2019-05-28 00:00:00,1.88,1.96,1.96,1.87,1340000,-6.93
2019-05-24 00:00:00,2.02,2.02,2.03,2.0,167570,1.0
2019-05-23 00:00:00,2.0,1.98,2.0,1.97,441490,0.5
2019-05-22 00:00:00,1.99,2.01,2.03,1.99,319100,-1.0
2019-05-21 00:00:00,2.01,2.03,2.03,1.99,1110000,2.03
2019-05-20 00:00:00,1.97,2.0,2.0,1.96,655030,-2.96
2019-05-17 00:00:00,2.03,2.02,2.04,2.02,371430,-0.49
2019-05-16 00:00:00,2.04,2.08,2.08,2.04,182650,-0.49
2019-05-15 00:00:00,2.05,2.06,2.07,2.05,114960,-0.97
2019-05-14 00:00:00,2.07,2.07,2.09,2.05,397440,0.49
2019-05-13 00:00:00,2.06,2.06,2.08,2.02,386990,-2.83
2019-05-10 00:00:00,2.12,2.09,2.14,2.075,493720,0.95
2019-05-09 00:00:00,2.1,2.12,2.12,2.075,732220,-3.67
2019-05-08 00:00:00,2.18,2.14,2.18,2.14,357460,1.4
2019-05-07 00:00:00,2.15,2.16,2.17,2.15,426260,-0.92
2019-05-06 00:00:00,2.17,2.14,2.18,2.1,1290000,-2.25
2019-05-03 00:00:00,2.22,2.21,2.23,2.21,359640,2.3
2019-05-02 00:00:00,2.17,2.16,2.18,2.16,282220,0.0
2019-05-01 00:00:00,2.17,2.18,2.18,2.16,187520,0.0
2019-04-30 00:00:00,2.17,2.18,2.19,2.15,303340,0.0
2019-04-29 00:00:00,2.17,2.18,2.18,2.16,382260,-0.46
2019-04-26 00:00:00,2.18,2.21,2.28,2.18,1340000,2.35
2019-04-25 00:00:00,2.13,2.11,2.14,2.1,863340,6.5
2019-04-24 00:00:00,2.0,1.89,2.07,1.89,2049999,3.63
2019-04-23 00:00:00,1.93,1.91,1.93,1.905,441190,1.58
2019-04-22 00:00:00,1.9,1.92,1.92,1.89,224220,-1.55
2019-04-18 00:00:00,1.93,1.94,1.95,1.91,303940,-1.53
2019-04-17 00:00:00,1.96,1.95,1.97,1.95,285200,1.03
2019-04-16 00:00:00,1.94,1.94,1.96,1.93,174120,0.52
2019-04-15 00:00:00,1.93,1.95,1.955,1.925,427780,-2.03
2019-04-12 00:00:00,1.97,1.95,1.98,1.95,194790,1.55
2019-04-11 00:00:00,1.94,1.95,1.96,1.935,710150,-2.02
2019-04-10 00:00:00,1.98,1.98,1.99,1.96,313370,-0.5
2019-04-09 00:00:00,1.99,1.94,2.01,1.94,1370000,4.19
2019-04-08 00:00:00,1.91,1.9,1.91,1.89,325040,2.14
2019-04-05 00:00:00,1.87,1.87,1.87,1.86,139720,0.0
2019-04-04 00:00:00,1.87,1.87,1.88,1.86,348880,0.0
2019-04-03 00:00:00,1.87,1.86,1.87,1.86,254400,0.0
2019-04-02 00:00:00,1.87,1.87,1.89,1.85,270020,-0.53
2019-04-01 00:00:00,1.88,1.88,1.88,1.85,342100,0.0
2019-03-29 00:00:00,1.88,1.88,1.88,1.86,193950,0.0
2019-03-28 00:00:00,1.88,1.86,1.88,1.85,489890,1.08
2019-03-27 00:00:00,1.86,1.86,1.87,1.855,370360,-0.53
2019-03-26 00:00:00,1.87,1.87,1.89,1.86,282770,-0.53
2019-03-25 00:00:00,1.88,1.87,1.89,1.86,397110,0.0
2019-03-22 00:00:00,1.88,1.88,1.91,1.86,332990,-0.53
2019-03-21 00:00:00,1.89,1.85,1.89,1.845,473570,1.61
2019-03-20 00:00:00,1.86,1.84,1.88,1.82,602440,0.0
2019-03-19 00:00:00,1.86,1.86,1.87,1.85,229470,0.54
2019-03-18 00:00:00,1.85,1.85,1.87,1.84,701630,1.09
2019-03-15 00:00:00,1.83,1.87,1.88,1.825,2710000,-0.54
2019-03-14 00:00:00,1.84,1.85,1.86,1.83,1100000,-1.08
2019-03-13 00:00:00,1.86,1.87,1.88,1.86,600650,-1.59
2019-03-12 00:00:00,1.89,1.88,1.89,1.87,363220,1.07
2019-03-11 00:00:00,1.87,1.86,1.88,1.85,632820,-0.53
2019-03-08 00:00:00,1.88,1.88,1.88,1.87,432540,-2.08
2019-03-07 00:00:00,1.92,1.9,1.92,1.88,825860,1.59
2019-03-06 00:00:00,1.89,1.89,1.905,1.87,515190,-0.53
2019-03-05 00:00:00,1.9,1.87,1.9,1.87,263120,2.15
2019-03-04 00:00:00,1.86,1.86,1.87,1.841,517140,0.0
2019-03-01 00:00:00,1.86,1.85,1.87,1.84,379580,0.54
2019-02-28 00:00:00,1.85,1.86,1.87,1.84,518750,-0.54
2019-02-27 00:00:00,1.86,1.86,1.86,1.84,321830,-1.59
2019-02-26 00:00:00,1.89,1.88,1.89,1.87,203500,0.0
2019-02-25 00:00:00,1.89,1.88,1.915,1.87,1280000,1.07
2019-02-22 00:00:00,1.87,1.85,1.87,1.85,221580,1.63
2019-02-21 00:00:00,1.84,1.84,1.86,1.83,332580,0.0
2019-02-20 00:00:00,1.84,1.84,1.865,1.83,636970,0.0
2019-02-19 00:00:00,1.84,1.84,1.87,1.83,390520,-1.08
2019-02-15 00:00:00,1.86,1.82,1.87,1.815,1110000,2.76
2019-02-14 00:00:00,1.81,1.78,1.82,1.78,686000,1.69
2019-02-13 00:00:00,1.78,1.78,1.8,1.77,823960,0.0
2019-02-12 00:00:00,1.78,1.76,1.78,1.74,665090,5.33
2019-02-11 00:00:00,1.69,1.76,1.78,1.69,854430,-7.65
2019-02-08 00:00:00,1.83,1.82,1.84,1.8,1320000,0.0
2019-02-07 00:00:00,1.83,1.85,1.85,1.83,237730,-1.61
2019-02-06 00:00:00,1.86,1.84,1.86,1.83,1980000,1.09
2019-02-05 00:00:00,1.84,1.85,1.85,1.82,611090,-0.54
2019-02-04 00:00:00,1.85,1.86,1.86,1.84,571340,-1.07
2019-02-01 00:00:00,1.87,1.88,1.88,1.86,545060,-1.06
2019-01-31 00:00:00,1.89,1.88,1.89,1.87,319920,1.07
2019-01-30 00:00:00,1.87,1.82,1.87,1.811,407120,0.0
2019-01-29 00:00:00,1.87,1.88,1.911,1.87,351820,-1.58
2019-01-28 00:00:00,1.9,1.92,1.93,1.89,1680000,-1.55
2019-01-25 00:00:00,1.93,1.92,1.95,1.91,484930,2.12
2019-01-24 00:00:00,1.89,1.85,1.9,1.85,501740,2.72
2019-01-23 00:00:00,1.84,1.86,1.87,1.84,393000,-0.54
2019-01-22 00:00:00,1.85,1.85,1.88,1.84,309260,0.0
2019-01-18 00:00:00,1.85,1.84,1.86,1.82,352690,1.65
2019-01-17 00:00:00,1.82,1.8,1.83,1.79,529320,0.55
2019-01-16 00:00:00,1.81,1.8,1.835,1.8,2410000,0.56
2019-01-15 00:00:00,1.8,1.78,1.8,1.77,576960,1.12
2019-01-14 00:00:00,1.78,1.79,1.8,1.77,1690000,-1.11
