DATE,OPEN,HIGH,LOW,CLOSE,CHANGE
2019년 12월 04일,10.9398,11.004,10.9377,10.9981,0.53%
2019년 12월 03일,10.8673,10.9964,10.8435,10.9398,0.56%
2019년 12월 02일,10.7884,10.8932,10.7434,10.8792,0.82%
2019년 11월 29일,10.7658,10.8076,10.752,10.7903,0.24%
2019년 11월 28일,10.7417,10.7979,10.7354,10.764,0.19%
2019년 11월 27일,10.7598,10.8014,10.7323,10.7432,-0.16%
2019년 11월 26일,10.7762,10.8252,10.7223,10.7599,-0.17%
2019년 11월 25일,10.8699,10.8699,10.7678,10.7782,-0.78%
2019년 11월 22일,10.8376,10.8779,10.8183,10.8631,0.29%
2019년 11월 21일,10.7741,10.8698,10.7741,10.8322,0.49%
2019년 11월 20일,10.7637,10.8179,10.7559,10.7795,0.15%
2019년 11월 19일,10.7406,10.7955,10.7165,10.7637,0.22%
2019년 11월 18일,10.6928,10.7616,10.6801,10.7406,0.38%
2019년 11월 15일,10.7843,10.7948,10.6889,10.6997,-0.77%
2019년 11월 14일,10.7695,10.8342,10.7407,10.7824,0.16%
2019년 11월 13일,10.6953,10.8001,10.6853,10.7651,0.60%
2019년 11월 12일,10.6859,10.7144,10.6233,10.7006,0.13%
2019년 11월 11일,10.6205,10.7201,10.6081,10.6868,0.78%
2019년 11월 08일,10.5648,10.6236,10.5467,10.6041,0.31%
2019년 11월 07일,10.6575,10.6969,10.5333,10.5715,-0.82%
2019년 11월 06일,10.6005,10.6843,10.591,10.6591,0.58%
2019년 11월 05일,10.7188,10.721,10.5869,10.598,-1.06%
2019년 11월 04일,10.7669,10.768,10.6893,10.7111,-0.52%
2019년 11월 01일,10.824,10.8442,10.7455,10.7667,-0.60%
2019년 10월 31일,10.7072,10.8517,10.6723,10.8321,1.17%
2019년 10월 30일,10.7304,10.7548,10.7025,10.7071,-0.15%
2019년 10월 29일,10.718,10.736,10.6663,10.7227,-0.03%
2019년 10월 28일,10.7925,10.7925,10.7172,10.7256,-0.54%
2019년 10월 25일,10.8221,10.8284,10.7676,10.7843,-0.33%
2019년 10월 24일,10.7609,10.8227,10.7424,10.82,0.46%
2019년 10월 23일,10.8144,10.8712,10.7677,10.7702,-0.40%
2019년 10월 22일,10.8036,10.8242,10.7649,10.8134,0.16%
2019년 10월 21일,10.8603,10.8915,10.7581,10.7959,-0.71%
2019년 10월 18일,10.855,10.9004,10.849,10.8726,0.20%
2019년 10월 17일,10.903,10.9333,10.7918,10.8505,-0.53%
2019년 10월 16일,10.8938,10.9643,10.8812,10.9084,0.22%
2019년 10월 15일,10.921,10.9684,10.8721,10.8849,-0.40%
2019년 10월 14일,10.9243,10.9841,10.9016,10.9284,0.11%
2019년 10월 11일,11.0242,11.061,10.8511,10.9162,-0.99%
2019년 10월 10일,11.1514,11.2159,11.0188,11.0253,-1.13%
2019년 10월 09일,11.2061,11.2241,11.1331,11.1515,-0.49%
2019년 10월 08일,11.1593,11.2303,11.1071,11.2062,0.42%
2019년 10월 07일,11.1481,11.2294,11.1319,11.1593,0.10%
2019년 10월 04일,11.2416,11.2652,11.1483,11.1483,-0.83%
2019년 10월 03일,11.2468,11.2964,11.221,11.2416,-0.04%
2019년 10월 02일,11.1693,11.267,11.1438,11.2462,0.70%
2019년 10월 01일,11.094,11.186,11.0549,11.1677,0.67%
2019년 09월 30일,11.1459,11.1565,11.0868,11.0939,-0.46%
2019년 09월 27일,11.1395,11.1744,11.0723,11.1455,0.12%
2019년 09월 26일,11.1326,11.1842,11.118,11.1324,0.00%
2019년 09월 25일,11.1663,11.2166,11.1217,11.1326,-0.30%
2019년 09월 24일,11.111,11.1956,11.0821,11.1664,0.49%
2019년 09월 23일,11.1066,11.1696,11.0528,11.112,0.10%
2019년 09월 20일,11.0665,11.1128,10.996,11.1014,0.32%
2019년 09월 19일,10.9883,11.1082,10.9774,11.0665,0.71%
2019년 09월 18일,10.9827,11.0292,10.9794,10.9883,0.05%
2019년 09월 17일,10.9587,11.0224,10.9467,10.9827,0.22%
2019년 09월 16일,10.9593,11.0315,10.9309,10.9587,0.40%
2019년 09월 13일,10.9389,10.9519,10.8798,10.9147,-0.21%
2019년 09월 12일,11.0427,11.0553,10.9106,10.9379,-0.95%
2019년 09월 11일,11.0869,11.1017,11.0288,11.0427,-0.33%
2019년 09월 10일,11.1156,11.1283,11.0587,11.0792,-0.40%
2019년 09월 09일,11.1684,11.1995,11.1148,11.1234,-0.29%
2019년 09월 06일,11.2101,11.2182,11.1266,11.1562,-0.41%
2019년 09월 05일,11.3207,11.3313,11.1602,11.2022,-1.06%
2019년 09월 04일,11.4355,11.4579,11.318,11.3222,-1.00%
2019년 09월 03일,11.437,11.4963,11.4125,11.4361,0.01%
2019년 09월 02일,11.3935,11.4558,11.382,11.4353,0.42%
2019년 08월 30일,11.3517,11.4058,11.3338,11.3871,0.31%
2019년 08월 29일,11.4326,11.5051,11.3287,11.3516,-0.71%
2019년 08월 28일,11.4695,11.5052,11.4206,11.4327,-0.32%
2019년 08월 27일,11.4265,11.5022,11.4155,11.4696,0.38%
2019년 08월 26일,11.5437,11.6426,11.4071,11.4264,-0.76%
2019년 08월 23일,11.3726,11.5642,11.3338,11.5143,1.25%
2019년 08월 22일,11.2773,11.4021,11.2763,11.3724,0.84%
2019년 08월 21일,11.3569,11.3819,11.2617,11.2773,-0.70%
2019년 08월 20일,11.3712,11.3946,11.328,11.3565,-0.13%
2019년 08월 19일,11.3658,11.415,11.3318,11.3717,0.10%
2019년 08월 16일,11.433,11.4708,11.3357,11.3605,-0.63%
2019년 08월 15일,11.4901,11.5349,11.375,11.433,-0.50%
2019년 08월 14일,11.3041,11.5331,11.3029,11.4901,1.65%
2019년 08월 13일,11.577,11.6503,11.2937,11.304,-2.36%
2019년 08월 12일,11.502,11.6187,11.4868,11.5772,0.74%
2019년 08월 09일,11.389,11.5645,11.3858,11.4923,0.91%
2019년 08월 08일,11.4221,11.4726,11.3576,11.3889,-0.22%
2019년 08월 07일,11.3872,11.5534,11.3863,11.4139,0.16%
2019년 08월 06일,11.4996,11.5598,11.3052,11.3953,-0.90%
2019년 08월 05일,11.3115,11.529,11.2827,11.4985,1.75%
2019년 08월 02일,11.1368,11.3316,11.1044,11.3008,1.40%
2019년 08월 01일,10.9268,11.1632,10.864,11.1452,2.00%
2019년 07월 31일,10.8838,10.9411,10.8651,10.9266,0.45%
2019년 07월 30일,10.8742,10.895,10.8445,10.8778,-0.03%
2019년 07월 29일,10.8949,10.9307,10.8759,10.8812,-0.15%
2019년 07월 26일,10.9003,10.9256,10.8633,10.8971,-0.03%
