DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
2019년 12월 02일,39.35,39.4,38.45,38.73,37.94M,-1.07%
2019년 11월 29일,39.1,39.52,39.02,39.15,17.61M,-0.66%
2019년 11월 27일,39.46,39.76,39.07,39.41,33.73M,1.08%
2019년 11월 26일,39.3,39.48,38.81,38.99,43.76M,-2.01%
2019년 11월 25일,39.5,40.17,39.49,39.79,45.88M,1.63%
2019년 11월 22일,39.36,39.89,38.19,39.15,56.93M,-0.94%
2019년 11월 21일,40.42,40.71,38.64,39.52,88.07M,-3.56%
2019년 11월 20일,40.96,41.75,40.07,40.98,79.97M,-0.75%
2019년 11월 19일,40.14,41.79,39.69,41.29,94.60M,3.54%
2019년 11월 18일,38.65,39.98,38.6,39.88,66.33M,3.42%
2019년 11월 15일,38.94,39.37,38.34,38.56,63.02M,0.55%
2019년 11월 14일,37.51,38.5,37.36,38.35,65.94M,2.21%
2019년 11월 13일,36.65,37.96,36.58,37.52,69.18M,2.21%
2019년 11월 12일,36.43,37.13,36.4,36.71,58.67M,1.10%
2019년 11월 11일,35.96,36.66,35.58,36.31,43.57M,0.06%
2019년 11월 08일,36.06,36.58,36,36.29,39.40M,0.03%
2019년 11월 07일,36.52,36.99,36.03,36.28,54.35M,0.97%
2019년 11월 06일,36.06,36.48,35.52,35.93,51.68M,-0.61%
2019년 11월 05일,36.56,37.18,35.98,36.15,84.85M,-0.39%
2019년 11월 04일,35.19,36.45,34.76,36.29,83.34M,4.01%
2019년 11월 01일,34.37,35,34.1,34.89,64.24M,2.83%
2019년 10월 31일,32.98,34.34,32.82,33.93,67.88M,2.41%
2019년 10월 30일,32.93,33.34,32.03,33.13,78.23M,0.30%
2019년 10월 29일,33.73,33.9,32.7,33.03,78.70M,-1.96%
2019년 10월 28일,33.16,33.91,33.15,33.69,51.22M,3.00%
2019년 10월 25일,31.9,32.86,31.83,32.71,45.37M,3.12%
2019년 10월 24일,31.58,31.86,31.34,31.72,28.45M,1.15%
2019년 10월 23일,31.09,31.65,30.83,31.36,26.86M,-0.48%
2019년 10월 22일,32.06,32.15,31.5,31.51,36.86M,-1.62%
2019년 10월 21일,31.5,32.26,31.41,32.03,52.65M,3.42%
2019년 10월 18일,31.06,31.33,30.29,30.97,39.71M,-0.55%
2019년 10월 17일,31.3,31.4,30.86,31.14,37.01M,1.07%
2019년 10월 16일,30.6,31.41,30.53,30.81,43.06M,0.29%
2019년 10월 15일,30.7,30.92,30.17,30.72,42.14M,0.62%
2019년 10월 14일,29.71,30.61,29.38,30.53,44.82M,2.62%
2019년 10월 11일,28.83,30.2,28.81,29.75,66.63M,4.83%
2019년 10월 10일,28.52,28.89,28,28.38,41.17M,-0.28%
2019년 10월 09일,28.8,28.95,28.35,28.46,36.32M,0.81%
2019년 10월 08일,28.55,28.64,27.92,28.23,44.43M,-2.42%
2019년 10월 07일,28.9,29.63,28.84,28.93,39.75M,-0.28%
2019년 10월 04일,28.83,29.06,28.57,29.01,34.61M,1.15%
2019년 10월 03일,28.28,28.78,27.43,28.68,56.91M,1.31%
2019년 10월 02일,28.5,28.85,28.03,28.31,44.05M,-1.56%
2019년 10월 01일,29.05,29.54,28.64,28.76,37.37M,-0.79%
