DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
2019년 12월 03일,45.12,45.4,44.55,45.23,20.32M,-2.50%
2019년 12월 02일,47.57,47.95,46.34,46.39,16.09M,-2.36%
2019년 11월 29일,47.94,47.95,47.44,47.51,7.34M,-1.35%
2019년 11월 27일,47.35,48.27,47.11,48.16,15.44M,3.08%
2019년 11월 26일,47.65,47.67,46.54,46.72,12.92M,-1.68%
2019년 11월 25일,46.1,47.55,45.94,47.52,18.83M,3.60%
2019년 11월 22일,45.93,46.38,45.75,45.87,11.25M,0.70%
2019년 11월 21일,45.3,46.18,45.04,45.55,14.19M,-0.04%
2019년 11월 20일,46.15,46.5,45.23,45.57,24.70M,-2.17%
2019년 11월 19일,48.11,48.18,46.28,46.58,18.39M,-2.59%
2019년 11월 18일,47.95,48.41,47.47,47.82,12.64M,0.23%
2019년 11월 15일,47.6,48.52,47.34,47.71,17.87M,1.94%
2019년 11월 14일,46.12,46.83,45.77,46.8,11.83M,1.08%
2019년 11월 13일,46.5,46.55,45.81,46.3,15.84M,-1.28%
2019년 11월 12일,46.8,47.68,46.68,46.9,15.17M,1.38%
2019년 11월 11일,46.72,46.74,45.85,46.26,14.65M,-1.97%
2019년 11월 08일,47.56,48.01,46.95,47.19,18.53M,-2.50%
2019년 11월 07일,48.52,49.08,48,48.4,19.25M,1.51%
2019년 11월 06일,48.15,48.3,47.1,47.68,21.80M,-2.05%
2019년 11월 05일,49.62,49.72,48.6,48.68,13.68M,-1.84%
2019년 11월 04일,49.39,49.9,49.25,49.59,16.02M,2.50%
2019년 11월 01일,47.48,48.54,47.25,48.38,18.31M,1.75%
2019년 10월 31일,47.28,47.88,46.46,47.55,15.45M,-0.69%
2019년 10월 30일,48.22,48.34,47.26,47.88,12.93M,-0.48%
2019년 10월 29일,48.8,49.17,48.06,48.11,12.18M,-1.19%
2019년 10월 28일,48.5,48.75,48.23,48.69,15.24M,1.37%
2019년 10월 25일,47.28,48.27,46.92,48.03,19.86M,1.97%
2019년 10월 24일,45.9,47.16,45.58,47.1,25.99M,5.46%
2019년 10월 23일,44.05,44.81,43.95,44.66,14.13M,0.00%
2019년 10월 22일,45.3,45.7,44.62,44.66,14.01M,-1.24%
2019년 10월 21일,43.96,45.3,43.92,45.22,15.75M,4.03%
2019년 10월 18일,44.83,44.98,43.23,43.47,26.22M,-4.46%
2019년 10월 17일,45.77,46.12,45.28,45.5,12.09M,0.75%
2019년 10월 16일,45.99,46.55,45.08,45.16,16.87M,-2.78%
2019년 10월 15일,45.21,46.55,45.04,46.45,18.05M,3.54%
2019년 10월 14일,44.96,45.33,44.8,44.86,12.50M,-0.53%
2019년 10월 11일,44.39,45.81,44.28,45.1,27.60M,4.21%
2019년 10월 10일,42.87,43.79,42.61,43.28,16.05M,0.93%
2019년 10월 09일,43.18,43.38,42.83,42.88,13.78M,0.59%
2019년 10월 08일,43.6,43.84,42.62,42.63,22.71M,-3.46%
