DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
2019년 12월 03일,201.87,207.82,200.37,207.66,11.63M,-0.76%
2019년 12월 02일,216.46,217,208.64,209.25,9.35M,-3.46%
2019년 11월 29일,217,218.14,215.78,216.74,3.54M,-0.69%
2019년 11월 27일,218.67,220.05,217.18,218.24,5.41M,0.57%
2019년 11월 26일,220.5,220.69,216.74,217,9.64M,-1.90%
2019년 11월 25일,216.04,221.41,215.52,221.21,12.68M,4.89%
2019년 11월 22일,211.09,212.96,209.94,210.89,5.60M,0.34%
2019년 11월 21일,211,213.24,209.31,210.18,7.21M,-0.47%
2019년 11월 20일,207.07,214.55,206.56,211.18,11.83M,1.53%
2019년 11월 19일,211.03,211.98,205.65,207.99,10.38M,-2.02%
2019년 11월 18일,203.89,213.35,203.77,212.28,14.38M,3.96%
2019년 11월 15일,209.7,211.78,200.64,204.19,26.36M,-2.67%
2019년 11월 14일,208.93,209.88,206.52,209.79,13.18M,0.58%
2019년 11월 13일,208.35,209.46,205.9,208.57,7.56M,-0.50%
2019년 11월 12일,209.72,211.86,208.31,209.61,7.10M,0.69%
2019년 11월 11일,207.75,209.11,204.28,208.18,6.09M,0.19%
2019년 11월 08일,207.66,209.05,206.15,207.78,4.74M,-0.27%
2019년 11월 07일,211.11,211.7,206.54,208.34,7.01M,0.34%
2019년 11월 06일,208.64,209.67,204.11,207.63,6.73M,-0.94%
2019년 11월 05일,210.49,211.54,207.68,209.61,7.52M,-0.42%
2019년 11월 04일,205.85,211,204.92,210.5,9.42M,3.90%
2019년 11월 01일,199.6,203.89,198.59,202.59,7.09M,0.78%
2019년 10월 31일,202.16,203,197.81,201.02,5.24M,-0.98%
2019년 10월 30일,204,204.23,200.26,203,5.15M,0.04%
2019년 10월 29일,206.23,206.49,202.14,202.92,5.28M,-1.87%
2019년 10월 28일,206.3,208.9,205.12,206.79,8.27M,1.10%
2019년 10월 25일,200.1,205.38,199.79,204.54,10.58M,3.90%
2019년 10월 24일,196.75,198.21,195.38,196.86,5.98M,0.91%
2019년 10월 23일,192.31,195.66,191.03,195.09,7.14M,-0.27%
2019년 10월 22일,198.3,202.53,195.3,195.61,8.43M,-0.20%
2019년 10월 21일,192.96,196.55,192.2,196.01,6.67M,2.90%
2019년 10월 18일,194.31,195.62,187.5,190.49,7.69M,-1.96%
2019년 10월 17일,196,197.81,192.1,194.29,6.61M,0.04%
2019년 10월 16일,195,199.22,193.75,194.21,10.82M,-1.10%
2019년 10월 15일,190.16,199.29,189.6,196.37,16.70M,5.28%
2019년 10월 14일,185.64,187.37,184.38,186.53,5.26M,0.29%
2019년 10월 11일,186.41,189.34,185.65,185.99,11.27M,1.62%
2019년 10월 10일,180.62,185.08,180.41,183.03,8.19M,1.28%
2019년 10월 09일,180.32,182.7,179.16,180.71,7.70M,1.96%
2019년 10월 08일,180.64,180.64,176.5,177.23,11.23M,-3.85%
2019년 10월 07일,184.58,188.34,184.23,184.33,12.21M,1.30%
2019년 10월 04일,181.4,183.15,178.78,181.97,6.70M,0.36%
2019년 10월 03일,173.22,181.56,172,181.31,11.57M,4.78%
2019년 10월 02일,173.12,173.6,170.13,173.04,7.39M,-0.55%
2019년 10월 01일,175,181,173.81,174,9.19M,-0.04%
2019년 09월 30일,172.8,174.48,171.54,174.07,4.83M,1.34%
2019년 09월 27일,175.66,177.7,169.32,171.76,9.15M,-3.15%
2019년 09월 26일,177.84,178.19,175.29,177.34,5.95M,-0.50%
2019년 09월 25일,172.51,179.02,170.71,178.23,7.83M,3.30%
2019년 09월 24일,176.1,177.29,171.1,172.53,8.03M,-1.32%
2019년 09월 23일,172.7,176.67,172.55,174.84,6.40M,1.25%
2019년 09월 20일,176.9,177.85,172.28,172.69,8.93M,-2.40%
2019년 09월 19일,180.22,180.96,176.51,176.94,6.41M,-1.69%
2019년 09월 18일,180.79,181.42,176.5,179.98,6.60M,-0.60%
2019년 09월 17일,180.48,181.24,178.61,181.07,5.71M,0.48%
2019년 09월 16일,178.92,181.6,178.5,180.21,5.80M,-0.95%
2019년 09월 13일,181.59,183.08,180.18,181.94,8.11M,-1.26%
2019년 09월 12일,186.2,188.4,183.95,184.27,8.20M,-0.03%
2019년 09월 11일,183.77,186.27,182.6,184.33,9.04M,0.63%
2019년 09월 10일,179.18,184.25,178.79,183.18,8.82M,1.48%
2019년 09월 09일,179.9,183.98,179.84,180.5,10.44M,1.04%
2019년 09월 06일,178.8,181.09,177.12,178.65,9.42M,-0.61%
2019년 09월 05일,172.87,179.99,172.8,179.74,17.41M,6.51%
2019년 09월 04일,166.61,169.06,166.61,168.76,5.70M,2.80%
2019년 09월 03일,164.58,165.91,163.25,164.17,7.41M,-1.99%
2019년 08월 30일,168.86,170.86,166.78,167.51,7.27M,0.31%
2019년 08월 29일,164.9,168.3,164.76,167,8.96M,3.59%
2019년 08월 28일,160.58,163.34,159,161.22,6.40M,-0.36%
2019년 08월 27일,166.99,167.1,160.62,161.8,7.29M,-2.21%
