DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
2019년 12월 02일,267.55,268.22,263.5,264.16,23.69M,-1.16%
2019년 11월 29일,266.6,268,265.9,267.25,11.65M,-0.22%
2019년 11월 27일,265.58,267.98,265.31,267.84,16.39M,1.34%
2019년 11월 26일,266.94,267.16,262.5,264.29,26.33M,-0.78%
2019년 11월 25일,262.71,266.44,262.52,266.37,21.03M,1.75%
2019년 11월 22일,262.59,263.18,260.84,261.78,16.33M,-0.09%
2019년 11월 21일,263.69,264,261.18,262.01,30.35M,-0.45%
2019년 11월 20일,265.54,266.08,260.4,263.19,26.61M,-1.16%
2019년 11월 19일,267.9,268,265.39,266.29,19.07M,-0.30%
2019년 11월 18일,265.8,267.43,264.23,267.1,21.70M,0.50%
2019년 11월 15일,263.68,265.78,263.01,265.76,25.09M,1.19%
2019년 11월 14일,263.75,264.88,262.1,262.64,22.40M,-0.69%
2019년 11월 13일,261.13,264.78,261.07,264.47,25.82M,0.96%
2019년 11월 12일,261.55,262.79,260.92,261.96,21.85M,-0.09%
2019년 11월 11일,258.3,262.47,258.28,262.2,20.51M,0.79%
2019년 11월 08일,258.69,260.44,256.85,260.14,17.52M,0.27%
2019년 11월 07일,258.74,260.35,258.11,259.43,23.74M,0.85%
2019년 11월 06일,256.77,257.49,255.37,257.24,18.97M,0.04%
2019년 11월 05일,257.05,258.19,256.32,257.13,19.97M,-0.14%
2019년 11월 04일,257.33,257.85,255.38,257.5,25.82M,0.66%
2019년 11월 01일,249.54,255.93,249.16,255.82,37.78M,2.84%
2019년 10월 31일,247.24,249.17,237.26,248.76,34.79M,2.26%
2019년 10월 30일,244.76,245.3,241.21,243.26,31.13M,-0.01%
2019년 10월 29일,248.97,249.75,242.57,243.29,35.71M,-2.31%
2019년 10월 28일,247.42,249.25,246.72,249.05,24.14M,1.00%
2019년 10월 25일,243.16,246.73,242.88,246.58,18.37M,1.23%
2019년 10월 24일,244.51,244.8,241.81,243.58,17.92M,0.16%
2019년 10월 23일,242.1,243.24,241.22,243.18,19.93M,1.34%
2019년 10월 22일,241.16,242.2,239.62,239.96,22.68M,-0.23%
2019년 10월 21일,237.52,240.99,237.32,240.51,22.37M,1.73%
2019년 10월 18일,234.59,237.58,234.29,236.41,24.38M,0.48%
2019년 10월 17일,235.09,236.15,233.52,235.28,17.27M,0.39%
2019년 10월 16일,233.37,235.24,233.2,234.37,19.29M,-0.40%
2019년 10월 15일,236.39,237.65,234.88,235.32,23.04M,-0.23%
2019년 10월 14일,234.9,238.13,234.67,235.87,24.41M,-0.14%
2019년 10월 11일,232.95,237.64,232.31,236.21,41.99M,2.66%
2019년 10월 10일,227.93,230.44,227.3,230.09,28.96M,1.35%
2019년 10월 09일,227.03,227.79,225.64,227.03,19.03M,1.17%
2019년 10월 08일,225.82,228.06,224.33,224.4,29.28M,-1.17%
2019년 10월 07일,226.27,229.93,225.84,227.06,30.89M,0.02%
2019년 10월 04일,225.64,227.49,223.89,227.01,34.76M,2.80%
2019년 10월 03일,218.43,220.96,215.13,220.82,30.35M,0.85%
2019년 10월 02일,223.06,223.58,217.93,218.96,35.77M,-2.51%
2019년 10월 01일,225.07,228.22,224.2,224.59,36.19M,0.28%
2019년 09월 30일,220.9,224.58,220.79,223.97,26.32M,2.35%
2019년 09월 27일,220.54,220.96,217.28,218.82,25.36M,-0.49%
2019년 09월 26일,220,220.94,218.83,219.89,19.09M,-0.52%
2019년 09월 25일,218.55,221.5,217.14,221.03,22.48M,1.54%
2019년 09월 24일,221.03,222.49,217.19,217.68,31.43M,-0.48%
2019년 09월 23일,218.95,219.84,217.65,218.72,19.42M,0.45%
2019년 09월 20일,221.38,222.56,217.47,217.73,57.98M,-1.46%
2019년 09월 19일,222.01,223.76,220.37,220.96,22.19M,-0.81%
2019년 09월 18일,221.06,222.85,219.44,222.77,25.64M,0.94%
2019년 09월 17일,219.96,220.82,219.12,220.7,18.39M,0.36%
2019년 09월 16일,217.73,220.13,217.56,219.9,21.16M,0.53%
2019년 09월 13일,220,220.79,217.02,218.75,39.76M,-1.95%
2019년 09월 12일,224.8,226.42,222.86,223.09,32.23M,-0.22%
2019년 09월 11일,218.07,223.71,217.73,223.59,44.29M,3.18%
2019년 09월 10일,213.86,216.78,211.71,216.7,31.78M,1.18%
2019년 09월 09일,214.84,216.44,211.07,214.17,27.31M,0.43%
2019년 09월 06일,214.05,214.42,212.51,213.26,19.36M,-0.01%
2019년 09월 05일,212,213.97,211.51,213.28,23.95M,1.96%
2019년 09월 04일,208.39,209.48,207.32,209.19,19.22M,1.70%
2019년 09월 03일,206.43,206.98,204.22,205.7,20.06M,-1.46%
2019년 08월 30일,210.16,210.45,207.2,208.74,21.16M,-0.13%
2019년 08월 29일,208.5,209.32,206.66,209.01,21.01M,1.69%
2019년 08월 28일,204.1,205.72,203.32,205.53,15.96M,0.67%
2019년 08월 27일,207.86,208.55,203.53,204.16,25.90M,-1.13%
2019년 08월 26일,205.86,207.19,205.06,206.49,26.07M,1.90%
2019년 08월 23일,209.43,212.05,201,202.64,46.88M,-4.62%
2019년 08월 22일,213.19,214.44,210.75,212.46,22.27M,-0.08%
2019년 08월 21일,212.99,213.65,211.6,212.64,21.56M,1.08%
2019년 08월 20일,210.88,213.35,210.32,210.36,26.92M,0.00%
2019년 08월 19일,210.62,212.73,210.03,210.35,24.43M,1.86%
2019년 08월 16일,204.28,207.16,203.84,206.5,28.81M,2.36%
2019년 08월 15일,203.46,205.14,199.67,201.74,27.88M,-0.50%
2019년 08월 14일,203.16,206.44,202.59,202.75,36.55M,-2.98%
2019년 08월 13일,201.02,212.14,200.83,208.97,47.54M,4.23%
2019년 08월 12일,199.62,202.05,199.15,200.48,22.48M,-0.25%
2019년 08월 09일,201.3,202.76,199.29,200.99,24.62M,-1.20%
2019년 08월 08일,200.2,203.53,199.39,203.43,27.01M,2.21%
2019년 08월 07일,195.41,199.56,193.82,199.04,33.36M,1.04%
2019년 08월 06일,196.31,198.07,194.04,197,35.82M,1.89%
2019년 08월 05일,197.99,198.65,192.58,193.34,52.39M,-5.23%
2019년 08월 02일,205.53,206.43,201.63,204.02,40.86M,-2.12%
2019년 08월 01일,213.9,218.03,206.74,208.43,54.02M,-2.16%
2019년 07월 31일,216.42,221.37,211.3,213.04,69.28M,2.04%
2019년 07월 30일,208.76,210.16,207.31,208.78,33.94M,-0.43%
2019년 07월 29일,208.46,210.64,208.44,209.68,21.67M,0.93%
2019년 07월 26일,207.48,209.73,207.14,207.74,17.62M,0.35%
2019년 07월 25일,208.89,209.24,206.73,207.02,13.91M,-0.79%
2019년 07월 24일,207.67,209.15,207.17,208.67,14.99M,-0.08%
2019년 07월 23일,208.46,208.91,207.29,208.84,18.36M,0.78%
2019년 07월 22일,203.65,207.23,203.61,207.22,22.28M,2.29%
2019년 07월 19일,205.79,206.5,202.36,202.59,20.93M,-1.49%
2019년 07월 18일,204,205.88,203.7,205.66,18.58M,1.14%
2019년 07월 17일,204.05,205.09,203.27,203.35,14.11M,-0.56%
2019년 07월 16일,204.59,206.11,203.5,204.5,16.87M,-0.35%
2019년 07월 15일,204.09,205.87,204,205.21,16.95M,0.94%
2019년 07월 12일,202.45,204,202.2,203.3,17.60M,0.77%
2019년 07월 11일,203.31,204.39,201.71,201.75,20.19M,-0.73%
2019년 07월 10일,201.85,203.73,201.56,203.23,17.90M,0.99%
2019년 07월 09일,199.2,201.51,198.81,201.24,20.58M,0.61%
2019년 07월 08일,200.81,201.4,198.41,200.02,25.34M,-2.06%
2019년 07월 05일,203.35,205.08,202.9,204.23,17.27M,-0.09%
2019년 07월 03일,203.28,204.44,202.69,204.41,11.36M,0.83%
2019년 07월 02일,201.41,203.13,201.36,202.73,16.94M,0.59%
2019년 07월 01일,203.17,204.49,200.65,201.55,27.32M,1.83%
2019년 06월 28일,198.68,199.5,197.05,197.92,31.11M,-0.91%
2019년 06월 27일,200.29,201.57,199.57,199.74,20.90M,-0.03%
2019년 06월 26일,197.77,200.99,197.35,199.8,26.07M,2.16%
2019년 06월 25일,198.43,199.26,195.29,195.57,21.07M,-1.52%
2019년 06월 24일,198.54,200.16,198.17,198.58,18.22M,-0.10%
2019년 06월 21일,198.8,200.85,198.15,198.78,47.80M,-0.34%
2019년 06월 20일,200.37,200.61,198.03,199.46,21.51M,0.80%
2019년 06월 19일,199.68,199.88,197.31,197.87,21.12M,-0.29%
2019년 06월 18일,196.05,200.29,195.21,198.45,26.55M,2.35%
2019년 06월 17일,192.9,194.96,192.17,193.89,14.67M,0.60%
2019년 06월 14일,191.54,193.59,190.3,192.74,18.76M,-0.73%
2019년 06월 13일,194.7,196.79,193.6,194.15,21.67M,-0.02%
2019년 06월 12일,193.95,195.97,193.38,194.19,18.25M,-0.32%
2019년 06월 11일,194.86,196,193.6,194.81,26.93M,1.16%
2019년 06월 10일,191.81,195.37,191.62,192.58,26.22M,1.28%
2019년 06월 07일,186.51,191.92,185.77,190.15,30.68M,2.66%
2019년 06월 06일,183.08,185.47,182.15,185.22,22.53M,1.47%
2019년 06월 05일,184.28,184.99,181.14,182.54,29.77M,1.61%
2019년 06월 04일,175.44,179.83,174.52,179.64,30.97M,3.66%
2019년 06월 03일,175.6,177.92,170.27,173.3,40.40M,-1.01%
2019년 05월 31일,176.23,177.99,174.99,175.07,27.04M,-1.81%
2019년 05월 30일,177.95,179.23,176.67,178.3,21.22M,0.52%
2019년 05월 29일,176.42,179.35,176,177.38,28.48M,-0.48%
2019년 05월 28일,178.92,180.59,177.91,178.23,27.95M,-0.41%
2019년 05월 24일,180.2,182.14,178.62,178.97,23.71M,-0.38%
2019년 05월 23일,179.8,180.54,177.81,179.66,36.53M,-1.71%
2019년 05월 22일,184.66,185.71,182.55,182.78,29.75M,-2.05%
2019년 05월 21일,185.22,188,184.7,186.6,28.36M,1.92%
2019년 05월 20일,183.52,184.35,180.28,183.09,38.61M,-3.13%
2019년 05월 17일,186.93,190.9,186.76,189,32.88M,-0.57%
2019년 05월 16일,189.91,192.47,188.84,190.08,33.03M,-0.44%
2019년 05월 15일,186.27,191.75,186.02,190.92,26.54M,1.20%
2019년 05월 14일,186.41,189.7,185.41,188.66,36.53M,1.58%
2019년 05월 13일,187.71,189.48,182.85,185.72,57.43M,-5.81%
2019년 05월 10일,197.42,198.85,192.77,197.18,41.21M,-1.76%
2019년 05월 09일,200.4,201.68,196.66,200.72,34.91M,-1.07%
2019년 05월 08일,201.9,205.34,201.75,202.9,26.34M,0.02%
2019년 05월 07일,205.88,207.42,200.82,202.86,38.76M,-2.70%
2019년 05월 06일,204.29,208.84,203.5,208.48,32.44M,-1.54%
2019년 05월 03일,210.89,211.84,210.23,211.75,20.89M,1.24%
2019년 05월 02일,209.84,212.65,208.13,209.15,32.00M,-0.65%
2019년 05월 01일,209.88,215.31,209.23,210.52,64.83M,4.91%
2019년 04월 30일,203.06,203.4,199.11,200.67,46.53M,-1.93%
2019년 04월 29일,204.4,205.97,203.86,204.61,22.20M,0.15%
2019년 04월 26일,204.9,205,202.12,204.3,18.65M,-0.48%
2019년 04월 25일,206.83,207.76,205.12,205.28,18.54M,-0.91%
2019년 04월 24일,207.36,208.48,207.05,207.16,17.54M,-0.15%
2019년 04월 23일,204.43,207.75,203.9,207.48,23.32M,1.44%
2019년 04월 22일,202.83,204.94,202.34,204.53,19.44M,0.33%
2019년 04월 18일,203.12,204.15,202.52,203.86,24.20M,0.36%
2019년 04월 17일,199.54,203.38,198.61,203.13,28.91M,1.95%
2019년 04월 16일,199.46,201.37,198.56,199.25,25.70M,0.01%
2019년 04월 15일,198.58,199.85,198.01,199.23,17.54M,0.18%
2019년 04월 12일,199.2,200.14,196.21,198.87,27.76M,-0.04%
2019년 04월 11일,200.85,201,198.44,198.95,20.90M,-0.83%
2019년 04월 10일,198.68,200.74,198.18,200.62,21.70M,0.56%
2019년 04월 09일,200.32,202.85,199.23,199.5,35.77M,-0.30%
2019년 04월 08일,196.42,200.23,196.34,200.1,25.88M,1.57%
2019년 04월 05일,196.45,197.1,195.93,197,18.53M,0.67%
2019년 04월 04일,194.79,196.37,193.14,195.69,19.11M,0.17%
2019년 04월 03일,193.25,196.5,193.15,195.35,23.27M,0.69%
2019년 04월 02일,191.09,194.46,191.05,194.02,22.77M,1.45%
2019년 04월 01일,191.64,191.68,188.38,191.24,27.86M,0.68%
2019년 03월 29일,189.83,190.08,188.54,189.95,23.56M,0.65%
2019년 03월 28일,188.95,189.56,187.53,188.72,20.78M,0.13%
2019년 03월 27일,188.75,189.76,186.55,188.47,29.85M,0.90%
2019년 03월 26일,191.66,192.88,184.58,186.79,49.80M,-1.03%
2019년 03월 25일,191.51,191.98,186.6,188.74,43.85M,-1.21%
2019년 03월 22일,195.34,197.69,190.78,191.05,42.41M,-2.07%
2019년 03월 21일,190.02,196.33,189.81,195.09,51.03M,3.68%
2019년 03월 20일,186.23,189.49,184.73,188.16,31.04M,0.87%
2019년 03월 19일,188.35,188.99,185.92,186.53,31.65M,-0.79%
2019년 03월 18일,185.8,188.39,185.79,188.02,26.22M,1.02%
2019년 03월 15일,184.85,187.33,183.74,186.12,39.04M,1.30%
2019년 03월 14일,183.9,184.1,182.56,183.73,23.58M,1.11%
2019년 03월 13일,182.25,183.3,180.92,181.71,31.03M,0.44%
2019년 03월 12일,180,182.67,179.37,180.91,32.47M,1.12%
2019년 03월 11일,175.49,179.12,175.35,178.9,32.01M,3.46%
2019년 03월 08일,170.32,173.07,169.5,172.91,24.00M,0.24%
2019년 03월 07일,173.87,174.44,172.02,172.5,24.80M,-1.16%
2019년 03월 06일,174.67,175.49,173.94,174.52,20.81M,-0.58%
2019년 03월 05일,175.94,176,174.54,175.53,19.74M,-0.18%
2019년 03월 04일,175.69,177.75,173.97,175.85,27.44M,0.50%
2019년 03월 01일,174.28,175.15,172.89,174.97,25.89M,1.05%
2019년 02월 28일,174.32,174.91,172.92,173.15,28.22M,-0.98%
2019년 02월 27일,173.21,175,172.73,174.87,27.84M,0.31%
2019년 02월 26일,173.71,175.3,173.17,174.33,17.07M,0.06%
2019년 02월 25일,174.16,175.87,173.95,174.23,21.87M,0.73%
2019년 02월 22일,171.58,173,171.38,172.97,18.91M,1.12%
2019년 02월 21일,171.8,172.37,170.3,171.06,17.25M,-0.56%
2019년 02월 20일,171.19,173.32,170.99,172.03,26.11M,0.64%
2019년 02월 19일,169.71,171.44,169.49,170.93,18.97M,0.30%
2019년 02월 15일,171.25,171.7,169.75,170.42,24.63M,-0.22%
2019년 02월 14일,169.71,171.26,169.38,170.8,21.84M,0.36%
2019년 02월 13일,171.39,172.48,169.92,170.18,22.49M,-0.42%
2019년 02월 12일,170.1,171,169.7,170.89,22.28M,0.86%
2019년 02월 11일,171.05,171.21,169.25,169.43,20.99M,-0.58%
2019년 02월 08일,168.99,170.66,168.42,170.41,23.82M,-0.31%
2019년 02월 07일,172.4,173.94,170.34,170.94,31.74M,-1.89%
2019년 02월 06일,174.65,175.57,172.85,174.24,28.24M,0.03%
2019년 02월 05일,172.86,175.08,172.35,174.18,36.10M,1.71%
2019년 02월 04일,167.41,171.66,167.28,171.25,31.50M,2.84%
2019년 02월 01일,166.96,168.98,165.93,166.52,32.67M,0.05%
2019년 01월 31일,166.11,169,164.56,166.44,40.74M,0.72%
2019년 01월 30일,163.25,166.15,160.23,165.25,61.11M,6.83%
2019년 01월 29일,156.25,158.13,154.11,154.68,41.59M,-1.04%
2019년 01월 28일,155.79,156.33,153.66,156.3,26.19M,-0.93%
2019년 01월 25일,155.48,158.13,154.32,157.76,33.55M,3.31%
2019년 01월 24일,154.11,154.48,151.74,152.7,25.44M,-0.79%
2019년 01월 23일,154.15,155.14,151.7,153.92,23.13M,0.40%
2019년 01월 22일,156.41,156.73,152.62,153.3,30.39M,-2.24%
2019년 01월 18일,157.5,157.88,155.98,156.82,33.75M,0.62%
2019년 01월 17일,154.2,157.66,153.26,155.86,29.82M,0.59%
2019년 01월 16일,153.08,155.88,153,154.94,30.57M,1.22%
2019년 01월 15일,150.27,153.39,150.05,153.07,28.71M,2.05%
2019년 01월 14일,150.85,151.27,149.22,150,32.44M,-1.50%
2019년 01월 11일,152.88,153.7,151.51,152.29,27.02M,-0.98%
2019년 01월 10일,152.5,153.97,150.86,153.8,35.78M,0.32%
2019년 01월 09일,151.29,154.53,149.63,153.31,45.10M,1.70%
2019년 01월 08일,149.56,151.82,148.52,150.75,41.03M,1.91%
2019년 01월 07일,148.7,148.83,145.9,147.93,54.78M,-0.22%
2019년 01월 04일,144.53,148.55,143.8,148.26,58.61M,4.27%
2019년 01월 03일,143.98,145.72,142,142.19,91.31M,-9.96%
2019년 01월 02일,154.89,158.85,154.23,157.92,37.04M,0.11%
2018년 12월 31일,158.53,159.36,156.48,157.74,35.00M,0.97%
2018년 12월 28일,157.5,158.52,154.55,156.23,42.29M,0.05%
2018년 12월 27일,155.84,156.77,150.07,156.15,53.12M,-0.65%
2018년 12월 26일,148.3,157.23,146.72,157.17,58.58M,7.04%
2018년 12월 24일,148.15,151.55,146.59,146.83,37.17M,-2.59%
2018년 12월 21일,156.86,158.16,149.63,150.73,95.74M,-3.89%
2018년 12월 20일,160.4,162.11,155.3,156.83,64.77M,-2.52%
2018년 12월 19일,166,167.45,159.09,160.89,49.05M,-3.12%
2018년 12월 18일,165.38,167.53,164.39,166.07,33.84M,1.30%
2018년 12월 17일,165.45,168.35,162.73,163.94,44.29M,-0.93%
2018년 12월 14일,169,169.08,165.28,165.48,40.70M,-3.20%
2018년 12월 13일,170.49,172.57,169.55,170.95,31.90M,1.09%
2018년 12월 12일,170.4,171.92,169.02,169.1,35.63M,0.28%
2018년 12월 11일,171.66,171.79,167,168.63,47.28M,-0.57%
2018년 12월 10일,165,170.09,163.33,169.6,62.03M,0.66%
2018년 12월 07일,173.49,174.49,168.3,168.49,42.28M,-3.57%
2018년 12월 06일,171.76,174.78,170.42,174.72,43.10M,-1.11%
2018년 12월 04일,180.95,182.39,176.27,176.69,41.34M,-4.40%
2018년 12월 03일,184.46,184.94,181.21,184.82,40.80M,3.49%
