DATE,OPEN,HIGH,LOW,CLOSE,CHANGE
2019년 12월 04일,"1,317.33","1,322.76","1,317.21","1,322.39",0.38%
2019년 12월 03일,"1,313.00","1,323.20","1,311.41","1,317.33",0.28%
2019년 12월 02일,"1,301.54","1,315.89","1,298.19","1,313.72",0.91%
2019년 11월 29일,"1,298.06","1,303.64","1,295.56","1,301.88",0.32%
2019년 11월 28일,"1,294.25","1,300.02","1,294.04","1,297.76",0.25%
2019년 11월 27일,"1,293.11","1,297.74","1,292.35","1,294.55",0.12%
2019년 11월 26일,"1,292.83","1,299.02","1,289.06","1,293.00",0.01%
2019년 11월 25일,"1,301.54","1,302.13","1,291.35","1,292.93",-0.63%
2019년 11월 22일,"1,302.13","1,307.04","1,299.73","1,301.19",-0.01%
2019년 11월 21일,"1,295.79","1,306.20","1,295.36","1,301.37",0.38%
2019년 11월 20일,"1,294.41","1,298.55","1,293.37","1,296.44",0.16%
2019년 11월 19일,"1,292.24","1,296.56","1,290.33","1,294.41",0.16%
2019년 11월 18일,"1,286.07","1,294.29","1,285.60","1,292.36",0.49%
2019년 11월 15일,"1,288.67","1,290.15","1,284.34","1,286.07",-0.20%
2019년 11월 14일,"1,290.01","1,292.38","1,286.36","1,288.67",-0.06%
2019년 11월 13일,"1,283.48","1,292.24","1,282.54","1,289.48",0.41%
2019년 11월 12일,"1,285.84","1,287.23","1,280.28","1,284.23",-0.13%
2019년 11월 11일,"1,278.11","1,288.82","1,276.85","1,285.84",0.70%
2019년 11월 08일,"1,275.91","1,279.67","1,274.32","1,276.95",0.03%
2019년 11월 07일,"1,285.33","1,287.99","1,273.06","1,276.62",-0.68%
2019년 11월 06일,"1,281.32","1,287.31","1,279.71","1,285.35",0.33%
2019년 11월 05일,"1,294.88","1,295.29","1,279.58","1,281.12",-1.01%
2019년 11월 04일,"1,300.41","1,301.35","1,292.64","1,294.13",-0.51%
2019년 11월 01일,"1,304.08","1,306.05","1,297.44","1,300.73",-0.33%
2019년 10월 31일,"1,299.43","1,306.56","1,295.36","1,305.05",0.43%
2019년 10월 30일,"1,298.32","1,302.18","1,295.75","1,299.43",0.16%
2019년 10월 29일,"1,296.23","1,298.41","1,289.21","1,297.38",0.02%
2019년 10월 28일,"1,299.55","1,300.37","1,295.24","1,297.15",-0.09%
2019년 10월 25일,"1,305.27","1,305.90","1,297.07","1,298.38",-0.51%
2019년 10월 24일,"1,301.89","1,307.88","1,300.05","1,305.02",0.15%
2019년 10월 23일,"1,305.01","1,309.21","1,301.35","1,303.02",-0.16%
2019년 10월 22일,"1,308.14","1,310.36","1,302.80","1,305.06",-0.16%
2019년 10월 21일,"1,312.61","1,317.16","1,305.14","1,307.20",-0.74%
2019년 10월 18일,"1,312.42","1,318.69","1,311.59","1,316.96",0.41%
2019년 10월 17일,"1,313.12","1,316.50","1,305.86","1,311.60",-0.16%
2019년 10월 16일,"1,308.29","1,316.31","1,306.55","1,313.70",0.49%
2019년 10월 15일,"1,305.71","1,309.02","1,303.24","1,307.27",0.05%
2019년 10월 14일,"1,306.91","1,310.43","1,302.08","1,306.61",-0.01%
2019년 10월 11일,"1,310.22","1,314.20","1,300.77","1,306.80",-0.26%
2019년 10월 10일,"1,314.88","1,320.74","1,308.75","1,310.22",-0.35%
2019년 10월 09일,"1,314.74","1,318.19","1,312.35","1,314.88",0.01%
2019년 10월 08일,"1,313.59","1,318.93","1,309.62","1,314.74",0.09%
2019년 10월 07일,"1,308.50","1,317.29","1,308.08","1,313.59",0.36%
2019년 10월 04일,"1,317.76","1,321.16","1,308.63","1,308.86",-0.69%
2019년 10월 03일,"1,321.09","1,323.38","1,316.80","1,317.99",-0.22%
2019년 10월 02일,"1,315.40","1,322.54","1,313.87","1,320.96",0.41%
2019년 10월 01일,"1,307.02","1,317.17","1,302.88","1,315.53",0.65%
2019년 09월 30일,"1,316.00","1,317.86","1,304.34","1,307.01",-0.68%
2019년 09월 27일,"1,310.90","1,317.60","1,307.85","1,315.95",0.37%
2019년 09월 26일,"1,312.84","1,317.69","1,309.47","1,311.14",-0.14%
2019년 09월 25일,"1,317.46","1,321.34","1,312.15","1,312.96",-0.34%
2019년 09월 24일,"1,313.71","1,320.82","1,310.98","1,317.47",0.29%
2019년 09월 23일,"1,315.45","1,318.69","1,310.79","1,313.71",-0.15%
2019년 09월 20일,"1,319.78","1,321.43","1,307.50","1,315.69",-0.31%
2019년 09월 19일,"1,314.37","1,322.59","1,312.94","1,319.79",0.40%
2019년 09월 18일,"1,314.93","1,320.29","1,313.76","1,314.48",-0.04%
2019년 09월 17일,"1,303.70","1,315.91","1,302.57","1,314.99",0.86%
2019년 09월 16일,"1,307.95","1,314.41","1,301.80","1,303.76",-0.21%
2019년 09월 13일,"1,308.25","1,311.13","1,302.49","1,306.54",-0.12%
2019년 09월 12일,"1,311.07","1,312.09","1,291.91","1,308.13",-0.21%
2019년 09월 11일,"1,316.83","1,319.35","1,308.34","1,310.94",-0.37%
2019년 09월 10일,"1,316.85","1,318.59","1,312.97","1,315.85",-0.16%
2019년 09월 09일,"1,314.99","1,320.89","1,311.55","1,317.95",0.19%
2019년 09월 06일,"1,322.57","1,324.30","1,312.71","1,315.51",-0.49%
2019년 09월 05일,"1,328.63","1,329.84","1,319.74","1,322.02",-0.56%
2019년 09월 04일,"1,329.54","1,331.40","1,323.30","1,329.43",-0.01%
2019년 09월 03일,"1,332.25","1,333.89","1,327.55","1,329.54",-0.20%
2019년 09월 02일,"1,330.35","1,336.04","1,327.68","1,332.18",0.13%
2019년 08월 30일,"1,336.92","1,340.01","1,326.53","1,330.46",-0.48%
2019년 08월 29일,"1,344.19","1,350.11","1,335.34","1,336.92",-0.53%
2019년 08월 28일,"1,344.99","1,349.10","1,343.44","1,344.02",-0.07%
2019년 08월 27일,"1,346.20","1,351.19","1,343.29","1,344.99",-0.10%
2019년 08월 26일,"1,352.87","1,361.48","1,345.53","1,346.38",-0.46%
2019년 08월 23일,"1,340.97","1,357.59","1,336.48","1,352.57",0.86%
2019년 08월 22일,"1,332.85","1,343.85","1,332.85","1,341.09",0.61%
2019년 08월 21일,"1,339.21","1,343.12","1,331.57","1,332.90",-0.47%
2019년 08월 20일,"1,343.40","1,346.48","1,335.64","1,339.16",-0.31%
2019년 08월 19일,"1,340.43","1,346.27","1,339.95","1,343.34",0.24%
2019년 08월 16일,"1,347.64","1,350.98","1,335.67","1,340.19",-0.55%
2019년 08월 15일,"1,355.52","1,360.60","1,345.88","1,347.59",-0.58%
2019년 08월 14일,"1,347.82","1,360.22","1,347.69","1,355.46",0.56%
2019년 08월 13일,"1,367.08","1,375.42","1,347.22","1,347.88",-1.40%
2019년 08월 12일,"1,360.39","1,370.23","1,359.17","1,367.03",0.50%
2019년 08월 09일,"1,350.76","1,366.02","1,350.21","1,360.18",0.71%
2019년 08월 08일,"1,359.41","1,363.45","1,349.96","1,350.63",-0.58%
2019년 08월 07일,"1,358.09","1,370.92","1,355.96","1,358.45",-0.04%
2019년 08월 06일,"1,364.89","1,373.27","1,353.77","1,359.04",-0.42%
2019년 08월 05일,"1,338.32","1,368.91","1,336.07","1,364.84",1.99%
2019년 08월 02일,"1,325.19","1,341.08","1,320.71","1,338.20",0.91%
2019년 08월 01일,"1,316.19","1,328.80","1,311.08","1,326.19",0.76%
2019년 07월 31일,"1,318.67","1,321.74","1,311.64","1,316.18",-0.13%
2019년 07월 30일,"1,318.51","1,319.59","1,313.59","1,317.83",-0.10%
2019년 07월 29일,"1,317.62","1,320.68","1,314.88","1,319.18",0.11%
2019년 07월 26일,"1,319.98","1,323.64","1,314.91","1,317.70",-0.17%
2019년 07월 25일,"1,312.76","1,322.17","1,309.61","1,319.98",0.55%
2019년 07월 24일,"1,315.69","1,316.94","1,310.03","1,312.75",-0.24%
2019년 07월 23일,"1,319.27","1,322.00","1,314.57","1,315.93",-0.25%
2019년 07월 22일,"1,319.36","1,323.89","1,317.87","1,319.28",-0.04%
2019년 07월 19일,"1,322.54","1,324.74","1,316.14","1,319.83",-0.21%
2019년 07월 18일,"1,325.26","1,331.35","1,319.28","1,322.55",-0.19%
2019년 07월 17일,"1,322.44","1,327.58","1,320.78","1,325.13",0.20%
2019년 07월 16일,"1,328.37","1,331.16","1,320.52","1,322.48",-0.48%
2019년 07월 15일,"1,326.61","1,332.68","1,326.13","1,328.90",0.15%
2019년 07월 12일,"1,322.64","1,331.03","1,321.22","1,326.96",0.33%
2019년 07월 11일,"1,323.64","1,327.60","1,320.08","1,322.53",-0.09%
2019년 07월 10일,"1,326.16","1,327.92","1,322.41","1,323.76",-0.18%
2019년 07월 09일,"1,324.54","1,327.68","1,321.79","1,326.15",0.14%
2019년 07월 08일,"1,319.37","1,328.17","1,318.78","1,324.31",0.41%
