DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
2019년 12월 03일,81.38,81.39,79.81,80.58,11.13M,-2.27%
2019년 12월 02일,83.98,84.29,82.31,82.45,7.68M,-1.32%
2019년 11월 29일,84.51,85.1,83.42,83.55,3.88M,-1.47%
2019년 11월 27일,85.16,85.31,84.47,84.8,5.22M,0.20%
2019년 11월 26일,85.25,85.55,84.14,84.63,11.59M,-0.77%
2019년 11월 25일,85.76,86.29,85.08,85.29,8.97M,0.47%
2019년 11월 22일,85.29,85.82,84.53,84.89,6.17M,-0.26%
2019년 11월 21일,84.79,86.3,84.55,85.11,10.18M,-0.60%
2019년 11월 20일,87.82,88.36,85.31,85.62,13.05M,-2.66%
2019년 11월 19일,91.25,91.39,86.68,87.96,18.10M,-2.79%
2019년 11월 18일,90.81,91.97,89.28,90.48,10.37M,-0.36%
2019년 11월 15일,92.6,93.94,90.58,90.81,25.49M,0.36%
2019년 11월 14일,90.31,90.58,89.43,90.48,8.79M,0.01%
2019년 11월 13일,90.7,91.9,89.62,90.47,9.52M,-0.55%
2019년 11월 12일,92.18,92.25,90.17,90.97,9.34M,-0.95%
2019년 11월 11일,91.71,92.52,90.89,91.84,11.30M,-2.33%
2019년 11월 08일,89.98,94.11,89.6,94.03,16.38M,4.50%
2019년 11월 07일,89.83,92.5,88.32,89.98,30.25M,6.32%
2019년 11월 06일,85.34,85.61,84.22,84.63,9.76M,-0.97%
2019년 11월 05일,85.2,85.74,84.73,85.46,7.28M,0.43%
2019년 11월 04일,84.54,85.87,84.31,85.09,8.39M,1.81%
2019년 11월 01일,81.59,83.65,81.25,83.58,8.62M,3.90%
2019년 10월 31일,81.44,81.47,79.84,80.44,5.69M,-1.23%
2019년 10월 30일,82.1,82.25,80.85,81.44,3.97M,-0.27%
2019년 10월 29일,82.75,82.85,81.44,81.66,4.99M,-1.67%
2019년 10월 28일,80.55,83.13,80.54,83.05,9.95M,3.59%
2019년 10월 25일,79,80.23,78.91,80.17,6.71M,1.49%
2019년 10월 24일,78.06,79.02,77.59,78.99,5.42M,2.27%
2019년 10월 23일,77.21,78.13,76.87,77.24,5.94M,-1.57%
2019년 10월 22일,78.93,79.07,78.24,78.47,5.11M,-0.65%
