DATE,OPEN,HIGH,LOW,CLOSE,CHANGE
2019년 12월 04일,"1,188.77","1,193.99","1,188.71","1,193.88",0.43%
2019년 12월 03일,"1,185.50","1,193.80","1,183.95","1,188.77",0.25%
2019년 12월 02일,"1,181.96","1,187.61","1,178.35","1,185.78",0.35%
2019년 11월 29일,"1,179.13","1,183.16","1,177.91","1,181.70",0.24%
2019년 11월 28일,"1,176.71","1,181.10","1,175.98","1,178.82",0.16%
2019년 11월 27일,"1,173.42","1,179.19","1,172.63","1,176.97",0.31%
2019년 11월 26일,"1,173.80","1,179.21","1,170.70","1,173.32",-0.05%
2019년 11월 25일,"1,180.75","1,180.77","1,173.10","1,173.90",-0.54%
2019년 11월 22일,"1,177.65","1,181.42","1,175.52","1,180.33",0.29%
2019년 11월 21일,"1,170.23","1,179.31","1,169.56","1,176.86",0.52%
2019년 11월 20일,"1,168.35","1,172.71","1,167.73","1,170.82",0.21%
2019년 11월 19일,"1,167.23","1,171.23","1,165.83","1,168.35",0.10%
2019년 11월 18일,"1,163.90","1,168.56","1,162.93","1,167.23",0.31%
2019년 11월 15일,"1,169.08","1,170.31","1,163.41","1,163.65",-0.46%
2019년 11월 14일,"1,172.39","1,173.17","1,168.62","1,169.08",-0.21%
2019년 11월 13일,"1,165.95","1,173.91","1,164.71","1,171.51",0.43%
2019년 11월 12일,"1,165.46","1,167.34","1,160.68","1,166.53",0.09%
2019년 11월 11일,"1,159.25","1,167.68","1,158.45","1,165.45",0.58%
2019년 11월 08일,"1,154.47","1,159.37","1,153.74","1,158.76",0.30%
2019년 11월 07일,"1,161.43","1,163.60","1,153.11","1,155.31",-0.54%
2019년 11월 06일,"1,156.99","1,162.98","1,155.99","1,161.58",0.41%
2019년 11월 05일,"1,163.86","1,163.94","1,154.35","1,156.82",-0.53%
2019년 11월 04일,"1,164.53","1,164.53","1,157.51","1,162.95",-0.16%
2019년 11월 01일,"1,169.37","1,171.13","1,163.49","1,164.80",-0.46%
2019년 10월 31일,"1,165.41","1,171.72","1,159.80","1,170.24",0.41%
2019년 10월 30일,"1,168.39","1,171.00","1,164.91","1,165.41",-0.18%
2019년 10월 29일,"1,167.78","1,169.74","1,162.47","1,167.55",-0.09%
2019년 10월 28일,"1,172.10","1,172.20","1,168.01","1,168.61",-0.27%
2019년 10월 25일,"1,175.28","1,175.96","1,170.91","1,171.82",-0.29%
2019년 10월 24일,"1,169.77","1,175.21","1,166.99","1,175.21",0.39%
2019년 10월 23일,"1,173.07","1,177.30","1,170.48","1,170.67",-0.21%
