DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
2019년 12월 04일,97.71,97.73,97.7,97.7,-,-0.03%
2019년 12월 03일,97.89,97.94,97.65,97.73,-,-0.16%
2019년 12월 02일,98.3,98.38,97.82,97.89,-,-0.42%
2019년 12월 01일,98.27,98.31,98.27,98.3,-,0.03%
2019년 11월 29일,98.35,98.54,98.23,98.27,-,-0.05%
2019년 11월 28일,98.33,98.39,98.26,98.32,-,-0.05%
2019년 11월 27일,98.3,98.44,98.28,98.37,-,0.12%
2019년 11월 26일,98.33,98.38,98.23,98.25,-,-0.07%
2019년 11월 25일,98.27,98.38,98.17,98.32,-,0.05%
2019년 11월 22일,97.93,98.31,97.84,98.27,-,0.29%
2019년 11월 21일,97.86,98.03,97.73,97.99,-,0.06%
2019년 11월 20일,97.84,98.04,97.84,97.93,-,0.07%
2019년 11월 19일,97.81,97.89,97.75,97.86,-,0.07%
2019년 11월 18일,97.98,97.98,97.68,97.79,-,-0.21%
2019년 11월 15일,98.17,98.23,97.96,98,-,-0.16%
2019년 11월 14일,98.34,98.42,98.11,98.16,-,-0.21%
2019년 11월 13일,98.33,98.45,98.29,98.37,-,0.06%
2019년 11월 12일,98.21,98.42,98.21,98.31,-,0.11%
2019년 11월 11일,98.37,98.38,98.13,98.2,-,-0.15%
2019년 11월 08일,98.14,98.4,98.1,98.35,-,0.21%
2019년 11월 07일,97.95,98.23,97.82,98.14,-,0.19%
2019년 11월 06일,97.94,97.98,97.78,97.95,-,-0.03%
2019년 11월 05일,97.55,98.01,97.47,97.98,-,0.49%
2019년 11월 04일,97.22,97.58,97.17,97.5,-,0.27%
2019년 11월 01일,97.3,97.45,97.11,97.24,-,-0.11%
2019년 10월 31일,97.44,97.45,97.22,97.35,-,-0.31%
2019년 10월 30일,97.67,98,97.45,97.65,-,-0.04%
2019년 10월 29일,97.75,97.93,97.61,97.69,-,-0.07%
2019년 10월 28일,97.85,97.89,97.67,97.76,-,-0.07%
2019년 10월 25일,97.69,97.9,97.57,97.83,-,0.20%
2019년 10월 24일,97.46,97.78,97.28,97.63,-,0.14%
2019년 10월 23일,97.49,97.65,97.42,97.49,-,-0.04%
2019년 10월 22일,97.31,97.57,97.26,97.53,-,0.21%
2019년 10월 21일,97.34,97.4,97.15,97.33,-,0.05%
2019년 10월 18일,97.6,97.66,97.14,97.28,-,-0.34%
2019년 10월 17일,97.99,98.11,97.5,97.61,-,-0.40%
2019년 10월 16일,98.32,98.42,97.9,98,-,-0.30%
2019년 10월 15일,98.45,98.64,98.21,98.29,-,-0.16%
2019년 10월 14일,98.36,98.53,98.34,98.45,-,0.15%
2019년 10월 11일,98.7,98.74,98.2,98.3,-,-0.41%
2019년 10월 10일,98.98,99.07,98.62,98.7,-,-0.42%
2019년 10월 09일,99.09,99.16,98.9,99.12,-,-0.01%
2019년 10월 08일,98.98,99.25,98.85,99.13,-,0.16%
2019년 10월 07일,98.82,99,98.74,98.97,-,0.16%
2019년 10월 04일,98.87,99,98.73,98.81,-,-0.05%
2019년 10월 03일,99.03,99.19,98.64,98.86,-,-0.16%
2019년 10월 02일,99.16,99.42,98.96,99.02,-,-0.11%
2019년 10월 01일,99.4,99.67,99.07,99.13,-,-0.25%
