,date,KRXsemiconductor_close,FDTRIndex_x,FDTRIndex_y,USGG3MIndex,USGG10YRIndex,USTW$Index,INJCJCIndex,INJCSPIndex,USEMNCHGIndex,NFPPCHIndex,NFPTCHIndex,USMMMNCHIndex,OUTFGAFIndex,KOIMTOTYIndex,KOFETOT%Index,KOEXTOTYIndex,KOCPIMOMIndex,SKCIMOMIndex,USHETOT%Index,KOCPIYOYIndex,SKCIYOYIndex,USHEYOYIndex,USURTOTIndex,KOFETOTIndex,SAARTOTLIndex,NAPMPRICIndex,KOCPIIndex,CONCCONFIndex,NAPMNEWOIndex,SKCITTLIndex,CHPMINDXIndex,USWHTOTIndex,NAPMPMIIndex,SKBSICIndex,CONSSENTIndex,USERTOTIndex,LEIWKIJIndex,KOEXTOTIndex,KOIMTOTIndex,NFPTIndex,USEMTOTIndex,KOIVCONYIndex,KOEXPTIYIndex,KOIMPTIYIndex,KOIPMYIndex,KOIPIYIndex,KOPSIYIndex,LEIYOYIndex,KOPIIYIndex,IPYOYIndex,KOIPOPSMIndex,KOEXPTIMIndex,KOIPMSMIndex,KOIPIMOMIndex,TMNOCHNGIndex,KOIPMCYIndex,KOIMPTIMIndex,LEIIRTEIndex,PITLYOYIndex,CFNAIIndex,PITLCHNGIndex,KOPPIYOYIndex,IPCHNGIndex,CFNAIMA3Index,LEICHNGIndex,LEIACEIndex,SKLILYIndex,KOPPIMOMIndex,CPIYOYIndex,CPICHNGIndex,PCEDEFYIndex,CPUPXCHGIndex,CPIXYOYIndex,PCECYOYIndex,PIDSDPSIndex,KOIPMSIndex,KOIPISAIndex,SKLILIIndex,SKLILCIndex,SKLICIIndex,KOIPMCIndex,KOIMPTIIndex,LEIAVGWIndex,KOPPIIndex,IPIndex,LEITOTLIndex,KOEXPTIIndex,CPTICHNGIndex,LEISTKPIndex,LEIBPIndex,PIDSPINXIndex,LEIMNOIndex,LEINWCNIndex,KOBPCBIndex,KOBPFINIndex,KOBPTBIndex,KODIBALIndex,FRNTTNETIndex,FRNTTOTLIndex,KOBPCAIndex,KOMSMBYIndex,CICRTOTIndex,KOMSM1FYIndex,KOMSM1YIndex,MTIBCHNGIndex,MGT2TBIndex,MGT2REIndex,OEUSKLAPIndex,OEUSKLARIndex,OEKRN022Index,GPDITOC%Index,KOECGCPYIndex,KOECIMPYIndex,KOECGCSYIndex,KOECSIMQIndex,KOECPRCYIndex,KOECSPRQIndex,KOECFCSYIndex,KOECFCOYIndex,KOECSEMQIndex,GDPCQOQIndex,GPGSTOC%Index,KOECEXPYIndex,GDPCYOYIndex,GDPCTOT%Index,GDPCURYIndex,KOECSGVQIndex,KOECGVTYIndex,GDPPIQQIndex,GDPCPCECIndex,GDPCUR$Index,USCABALIndex,JNVNIYOYIndex,COSTNFR%Index,KOGNICNYIndex,KODFTOTYIndex,KOGNICUYIndex,EHCAUSIndex,KOGCGDPYIndex,PRODNFR%Index,KOGCSTOQIndex
0,2006-01-02,1000.0,4.25,4.25,4.0736,4.3911,86.0274,326.0,2561.0,398.0,310.0,278.0,17.0,5.4,18.7,8.63,3.6,0.6,0.2,0.4,2.2,1.3,3.3,4.7,216.93,17.63,65.0,79.306,106.78,58.9,79.1,60.9,33.9,55.0,102.6,91.2,62.9,295.6,23257.866,23089.304,135446.0,143150.0,10.9,-9.83,2.24,5.54,5.67,4.28,3.0,4.64,2.31,3.44,-2.43,4.86,3.93,-1.7,4.9,-0.93,0.13,8.2,0.73,1.7,0.8,0.12,0.71,0.8,0.1,5.3,0.3,4.0,0.6,3.2,0.2,2.1,2.06622,4.2,71.5,71.4,70.1,71.3,73.1,79.8,68.32,41.0,86.5,101.0627,102.8,88.22,80.655,1278.72,2212.0,10813.3,42934.0,154230.0,-78.3,1499.7,1665.2,96.6,232.248,70.98100000000001,-8.6,9.0,1.41,12.6,1.7,0.7,1.25,1.47,2.8992,87.029,10330.5,6.1,7.4,14.9,6.5,6.7,5.7,1.0,1.3,6.1,2.9,5.4,5.2,13.3,3.4,4.5,6.6,2.5,7.5,2.8,2.3,13603.93,-198.2,13.6,5.2,3.0,-0.7,5.2,-5.67,5.6,2.9,0.6
1,2006-01-03,1012.36,4.25,4.25,4.1144,4.3637,85.0983,326.0,2561.0,398.0,310.0,278.0,17.0,5.4,18.7,8.63,3.6,0.6,0.2,0.4,2.2,1.3,3.3,4.7,216.93,17.63,65.0,79.306,106.78,58.9,79.1,60.9,33.9,55.0,102.6,91.2,62.9,295.6,23257.866,23089.304,135446.0,143150.0,10.9,-9.83,2.24,5.54,5.67,4.28,3.0,4.64,2.31,3.44,-2.43,4.86,3.93,-1.7,4.9,-0.93,0.13,8.2,0.73,1.7,0.8,0.12,0.71,0.8,0.1,5.3,0.3,4.0,0.6,3.2,0.2,2.1,2.06622,4.2,71.5,71.4,70.1,71.3,73.1,79.8,68.32,41.0,86.5,101.0627,102.8,88.22,80.655,1278.72,2212.0,10813.3,42934.0,154230.0,-78.3,1499.7,1665.2,96.6,232.248,70.98100000000001,-8.6,9.0,1.41,12.6,1.7,0.7,1.25,1.47,2.8992,87.029,10330.5,6.1,7.4,14.9,6.5,6.7,5.7,1.0,1.3,6.1,2.9,5.4,5.2,13.3,3.4,4.5,6.6,2.5,7.5,2.8,2.3,13603.93,-198.2,13.6,5.2,3.0,-0.7,5.2,-5.67,5.6,2.9,0.6
2,2006-01-04,1007.17,4.25,4.25,4.1798,4.3422,84.5642,326.0,2561.0,398.0,310.0,278.0,17.0,5.4,18.7,8.63,3.6,0.6,0.2,0.4,2.2,1.3,3.3,4.7,216.93,17.63,65.0,79.306,106.78,58.9,79.1,60.9,33.9,55.0,102.6,91.2,62.9,295.6,23257.866,23089.304,135446.0,143150.0,10.9,-9.83,2.24,5.54,5.67,4.28,3.0,4.64,2.31,3.44,-2.43,4.86,3.93,-1.7,4.9,-0.93,0.13,8.2,0.73,1.7,0.8,0.12,0.71,0.8,0.1,5.3,0.3,4.0,0.6,3.2,0.2,2.1,2.06622,4.2,71.5,71.4,70.1,71.3,73.1,79.8,68.32,41.0,86.5,101.0627,102.8,88.22,80.655,1278.72,2212.0,10813.3,42934.0,154230.0,-78.3,1499.7,1665.2,96.6,232.248,70.98100000000001,-8.6,9.0,1.41,12.6,1.7,0.7,1.25,1.47,2.8992,87.029,10330.5,6.1,7.4,14.9,6.5,6.7,5.7,1.0,1.3,6.1,2.9,5.4,5.2,13.3,3.4,4.5,6.6,2.5,7.5,2.8,2.3,13603.93,-198.2,13.6,5.2,3.0,-0.7,5.2,-5.67,5.6,2.9,0.6
3,2006-01-05,991.68,4.25,4.25,4.1793,4.3519,84.7247,326.0,2561.0,398.0,310.0,278.0,17.0,5.4,18.7,8.63,3.6,0.6,0.2,0.4,2.2,1.3,3.3,4.7,216.93,17.63,65.0,79.306,106.78,58.9,79.1,60.9,33.9,55.0,102.6,91.2,62.9,295.6,23257.866,23089.304,135446.0,143150.0,10.9,-9.83,2.24,5.54,5.67,4.28,3.0,4.64,2.31,3.44,-2.43,4.86,3.93,-1.7,4.9,-0.93,0.13,8.2,0.73,1.7,0.8,0.12,0.71,0.8,0.1,5.3,0.3,4.0,0.6,3.2,0.2,2.1,2.06622,4.2,71.5,71.4,70.1,71.3,73.1,79.8,68.32,41.0,86.5,101.0627,102.8,88.22,80.655,1278.72,2212.0,10813.3,42934.0,154230.0,-78.3,1499.7,1665.2,96.6,232.248,70.98100000000001,-8.6,9.0,1.41,12.6,1.7,0.7,1.25,1.47,2.8992,87.029,10330.5,6.1,7.4,14.9,6.5,6.7,5.7,1.0,1.3,6.1,2.9,5.4,5.2,13.3,3.4,4.5,6.6,2.5,7.5,2.8,2.3,13603.93,-198.2,13.6,5.2,3.0,-0.7,5.2,-5.67,5.6,2.9,0.6
4,2006-01-06,1008.15,4.25,4.25,4.1985,4.3733,84.3844,326.0,2561.0,398.0,310.0,278.0,17.0,5.4,18.7,8.63,3.6,0.6,0.2,0.4,2.2,1.3,3.3,4.7,216.93,17.63,65.0,79.306,106.78,58.9,79.1,60.9,33.9,55.0,102.6,91.2,62.9,295.6,23257.866,23089.304,135446.0,143150.0,10.9,-9.83,2.24,5.54,5.67,4.28,3.0,4.64,2.31,3.44,-2.43,4.86,3.93,-1.7,4.9,-0.93,0.13,8.2,0.73,1.7,0.8,0.12,0.71,0.8,0.1,5.3,0.3,4.0,0.6,3.2,0.2,2.1,2.06622,4.2,71.5,71.4,70.1,71.3,73.1,79.8,68.32,41.0,86.5,101.0627,102.8,88.22,80.655,1278.72,2212.0,10813.3,42934.0,154230.0,-78.3,1499.7,1665.2,96.6,232.248,70.98100000000001,-8.6,9.0,1.41,12.6,1.7,0.7,1.25,1.47,2.8992,87.029,10330.5,6.1,7.4,14.9,6.5,6.7,5.7,1.0,1.3,6.1,2.9,5.4,5.2,13.3,3.4,4.5,6.6,2.5,7.5,2.8,2.3,13603.93,-198.2,13.6,5.2,3.0,-0.7,5.2,-5.67,5.6,2.9,0.6
5,2006-01-07,1008.15,4.25,4.25,4.1985,4.3733,84.3844,326.0,2561.0,398.0,310.0,278.0,17.0,5.4,18.7,8.63,3.6,0.6,0.2,0.4,2.2,1.3,3.3,4.7,216.93,17.63,65.0,79.306,106.78,58.9,79.1,60.9,33.9,55.0,102.6,91.2,62.9,295.6,23257.866,23089.304,135446.0,143150.0,10.9,-9.83,2.24,5.54,5.67,4.28,3.0,4.64,2.31,3.44,-2.43,4.86,3.93,-1.7,4.9,-0.93,0.13,8.2,0.73,1.7,0.8,0.12,0.71,0.8,0.1,5.3,0.3,4.0,0.6,3.2,0.2,2.1,2.06622,4.2,71.5,71.4,70.1,71.3,73.1,79.8,68.32,41.0,86.5,101.0627,102.8,88.22,80.655,1278.72,2212.0,10813.3,42934.0,154230.0,-78.3,1499.7,1665.2,96.6,232.248,70.98100000000001,-8.6,9.0,1.41,12.6,1.7,0.7,1.25,1.47,2.8992,87.029,10330.5,6.1,7.4,14.9,6.5,6.7,5.7,1.0,1.3,6.1,2.9,5.4,5.2,13.3,3.4,4.5,6.6,2.5,7.5,2.8,2.3,13603.93,-198.2,13.6,5.2,3.0,-0.7,5.2,-5.67,5.6,2.9,0.6
6,2006-01-08,1008.15,4.25,4.25,4.1985,4.3733,84.3844,326.0,2561.0,398.0,310.0,278.0,17.0,5.4,18.7,8.63,3.6,0.6,0.2,0.4,2.2,1.3,3.3,4.7,216.93,17.63,65.0,79.306,106.78,58.9,79.1,60.9,33.9,55.0,102.6,91.2,62.9,295.6,23257.866,23089.304,135446.0,143150.0,10.9,-9.83,2.24,5.54,5.67,4.28,3.0,4.64,2.31,3.44,-2.43,4.86,3.93,-1.7,4.9,-0.93,0.13,8.2,0.73,1.7,0.8,0.12,0.71,0.8,0.1,5.3,0.3,4.0,0.6,3.2,0.2,2.1,2.06622,4.2,71.5,71.4,70.1,71.3,73.1,79.8,68.32,41.0,86.5,101.0627,102.8,88.22,80.655,1278.72,2212.0,10813.3,42934.0,154230.0,-78.3,1499.7,1665.2,96.6,232.248,70.98100000000001,-8.6,9.0,1.41,12.6,1.7,0.7,1.25,1.47,2.8992,87.029,10330.5,6.1,7.4,14.9,6.5,6.7,5.7,1.0,1.3,6.1,2.9,5.4,5.2,13.3,3.4,4.5,6.6,2.5,7.5,2.8,2.3,13603.93,-198.2,13.6,5.2,3.0,-0.7,5.2,-5.67,5.6,2.9,0.6
7,2006-01-09,1030.83,4.25,4.25,4.2084,4.3654,84.7624,326.0,2561.0,398.0,310.0,278.0,17.0,5.4,18.7,8.63,3.6,0.6,0.2,0.4,2.2,1.3,3.3,4.7,216.93,17.63,65.0,79.306,106.78,58.9,79.1,60.9,33.9,55.0,102.6,91.2,62.9,295.6,23257.866,23089.304,135446.0,143150.0,10.9,-9.83,2.24,5.54,5.67,4.28,3.0,4.64,2.31,3.44,-2.43,4.86,3.93,-1.7,4.9,-0.93,0.13,8.2,0.73,1.7,0.8,0.12,0.71,0.8,0.1,5.3,0.3,4.0,0.6,3.2,0.2,2.1,2.06622,4.2,71.5,71.4,70.1,71.3,73.1,79.8,68.32,41.0,86.5,101.0627,102.8,88.22,80.655,1278.72,2212.0,10813.3,42934.0,154230.0,-78.3,1499.7,1665.2,96.6,232.248,70.98100000000001,-8.6,9.0,1.41,12.6,1.7,0.7,1.25,1.47,2.8992,87.029,10330.5,6.1,7.4,14.9,6.5,6.7,5.7,1.0,1.3,6.1,2.9,5.4,5.2,13.3,3.4,4.5,6.6,2.5,7.5,2.8,2.3,13603.93,-198.2,13.6,5.2,3.0,-0.7,5.2,-5.67,5.6,2.9,0.6
8,2006-01-10,1037.76,4.25,4.25,4.2838,4.4243,84.6375,326.0,2561.0,398.0,310.0,278.0,17.0,5.4,18.7,8.63,3.6,0.6,0.2,0.4,2.2,1.3,3.3,4.7,216.93,17.63,65.0,79.306,106.78,58.9,79.1,60.9,33.9,55.0,102.6,91.2,62.9,295.6,23257.866,23089.304,135446.0,143150.0,10.9,-9.83,2.24,5.54,5.67,4.28,3.0,4.64,2.31,3.44,-2.43,4.86,3.93,-1.7,4.9,-0.93,0.13,8.2,0.73,1.7,0.8,0.12,0.71,0.8,0.1,5.3,0.3,4.0,0.6,3.2,0.2,2.1,2.06622,4.2,71.5,71.4,70.1,71.3,73.1,79.8,68.32,41.0,86.5,101.0627,102.8,88.22,80.655,1278.72,2212.0,10813.3,42934.0,154230.0,-78.3,1499.7,1665.2,96.6,232.248,70.98100000000001,-8.6,9.0,1.41,12.6,1.7,0.7,1.25,1.47,2.8992,87.029,10330.5,6.1,7.4,14.9,6.5,6.7,5.7,1.0,1.3,6.1,2.9,5.4,5.2,13.3,3.4,4.5,6.6,2.5,7.5,2.8,2.3,13603.93,-198.2,13.6,5.2,3.0,-0.7,5.2,-5.67,5.6,2.9,0.6
9,2006-01-11,1032.09,4.25,4.25,4.2937,4.4518,84.2183,326.0,2561.0,398.0,310.0,278.0,17.0,5.4,18.7,8.63,3.6,0.6,0.2,0.4,2.2,1.3,3.3,4.7,216.93,17.63,65.0,79.306,106.78,58.9,79.1,60.9,33.9,55.0,102.6,91.2,62.9,295.6,23257.866,23089.304,135446.0,143150.0,10.9,-9.83,2.24,5.54,5.67,4.28,3.0,4.64,2.31,3.44,-2.43,4.86,3.93,-1.7,4.9,-0.93,0.13,8.2,0.73,1.7,0.8,0.12,0.71,0.8,0.1,5.3,0.3,4.0,0.6,3.2,0.2,2.1,2.06622,4.2,71.5,71.4,70.1,71.3,73.1,79.8,68.32,41.0,86.5,101.0627,102.8,88.22,80.655,1278.72,2212.0,10813.3,42934.0,154230.0,-78.3,1499.7,1665.2,96.6,232.248,70.98100000000001,-8.6,9.0,1.41,12.6,1.7,0.7,1.25,1.47,2.8992,87.029,10330.5,6.1,7.4,14.9,6.5,6.7,5.7,1.0,1.3,6.1,2.9,5.4,5.2,13.3,3.4,4.5,6.6,2.5,7.5,2.8,2.3,13603.93,-198.2,13.6,5.2,3.0,-0.7,5.2,-5.67,5.6,2.9,0.6
