,ticker,len_data
0,FDTR Index,9747
1,USGG3M Index,9786
2,USGG10YR Index,9790
3,USTW$ Index,9591
4,INJCJC Index,1983
5,INJCSP Index,1982
6,USEMNCHG Index,456
7,NFP PCH Index,456
8,NFP TCH Index,456
9,USMMMNCH Index,456
10,OUTFGAF Index,456
11,KOIMTOTY Index,456
12,KOFETOT% Index,456
13,KOEXTOTY Index,456
14,KOCPIMOM Index,456
15,SKCIMOM Index,456
16,USHETOT% Index,456
17,KOCPIYOY Index,456
18,SKCIYOY Index,456
19,USHEYOY Index,456
20,USURTOT Index,456
21,KOFETOT Index,456
22,SAARTOTL Index,456
23,NAPMPRIC Index,456
24,KOCPI Index,456
25,CONCCONF Index,456
26,NAPMNEWO Index,456
27,SKCITTL Index,456
28,CHPMINDX Index,456
29,USWHTOT Index,456
30,NAPMPMI Index,456
31,SKBSIC Index,456
32,CONSSENT Index,456
33,USERTOT Index,456
34,LEI WKIJ Index,456
35,KOEXTOT Index,456
36,KOIMTOT Index,456
37,NFP T Index,456
38,USEMTOT Index,456
39,KOIVCONY Index,455
40,KOEXPTIY Index,455
41,KOIMPTIY Index,455
42,KOIPMY Index,455
43,KOIPIY Index,455
44,KOPSIY Index,455
45,LEI YOY Index,455
46,KOPIIY Index,455
47,IP  YOY Index,455
48,KOIPOPSM Index,455
49,KOEXPTIM Index,455
50,KOIPMSM Index,455
51,KOIPIMOM Index,455
52,TMNOCHNG Index,455
53,KOIPMCY Index,455
54,KOIMPTIM Index,455
55,LEI IRTE Index,455
56,PITLYOY Index,455
57,CFNAI Index,455
58,PITLCHNG Index,455
59,KOPPIYOY Index,455
60,IP  CHNG Index,455
61,CFNAIMA3 Index,455
62,LEI CHNG Index,455
63,LEI ACE Index,455
64,SKLILY Index,455
65,KOPPIMOM Index,455
66,CPI YOY Index,455
67,CPI CHNG Index,455
68,PCE DEFY Index,455
69,CPUPXCHG Index,455
70,CPI XYOY Index,455
71,PCE CYOY Index,455
72,PIDSDPS Index,455
73,KOIPMS Index,455
74,KOIPISA Index,455
75,SKLILI Index,455
76,SKLILC Index,455
77,SKLICI Index,455
78,KOIPMC Index,455
79,KOIMPTI Index,455
80,LEI AVGW Index,455
81,KOPPI Index,455
82,IP Index,455
83,LEI TOTL Index,455
84,KOEXPTI Index,455
85,CPTICHNG Index,455
86,LEI STKP Index,455
87,LEI BP Index,455
88,PIDSPINX Index,455
89,LEI MNO Index,455
90,LEI NWCN Index,455
91,KOBPCB Index,454
92,KOBPFIN Index,454
93,KOBPTB Index,454
94,KODIBAL Index,454
95,FRNTTNET Index,454
96,FRNTTOTL Index,454
97,KOBPCA Index,454
98,KOMSMBY Index,454
99,CICRTOT Index,454
100,KOMSM1FY Index,454
101,KOMSM1Y Index,454
102,MTIBCHNG Index,454
103,MGT2TB Index,454
104,MGT2RE Index,454
105,OEUSKLAP Index,452
106,OEUSKLAR Index,452
107,OEKRN022 Index,152
108,GPDITOC% Index,152
109,KOECGCPY Index,152
110,KOECIMPY Index,152
111,KOECGCSY Index,152
112,KOECSIMQ Index,152
113,KOECPRCY Index,152
114,KOECSPRQ Index,152
115,KOECFCSY Index,152
116,KOECFCOY Index,152
117,KOECSEMQ Index,152
118,GDP CQOQ Index,152
119,GPGSTOC% Index,152
120,KOECEXPY Index,152
121,GDP CYOY Index,152
122,GDPCTOT% Index,152
123,GDP CURY Index,152
124,KOECSGVQ Index,152
125,KOECGVTY Index,152
126,GDP PIQQ Index,152
127,GDPCPCEC Index,152
128,GDP CUR$ Index,152
129,USCABAL Index,151
130,JNVNIYOY Index,151
131,COSTNFR% Index,151
132,KOGNICNY Index,151
133,KODFTOTY Index,151
134,KOGNICUY Index,151
135,EHCAUS Index,151
136,KOGCGDPY Index,151
137,PRODNFR% Index,151
138,KOGCSTOQ Index,151
