,ticker,index
0,SPXIndex,change
1,CCMPIndex,change
2,NKYIndex,change
3,CINDIndex,change
4,IXKIndex,change
5,XCIIndex,change
6,SOXIndex,change
7,MSERIndex,change
8,NMDPIndex,change
9,SZCOMPIndex,change
10,KOSPIIndex,change
11,CL1Comdty,change
12,LMAHDS03Comdty,change
13,LMCADS03Comdty,change
14,XAUCurncy,change
15,LMNIDS03Comdty,change
16,MSRUITIndex,change
17,MSRUMATIndex,change
18,MXWO0ITIndex,change
19,MXWO0MTIndex,change
20,MXUS0ITIndex,change
21,MXEF0ITIndex,change
22,MXEF0MTIndex,change
23,NU722094Index,change
24,NU721934Index,change
25,LT10TRUUIndex,change
26,USDJPYBGNCurncy,change
27,USDKRWBGNCurncy,change
28,FDTRIndex,default
29,GTUSD10YGovt,default
30,DXYCurncy,change
31,GDPCQOQIndex,default
32,GDPCYOYIndex,default
33,GDPCTOT%Index,default
34,GPDITOC%Index,default
35,GPGSTOC%Index,default
36,RGCDCIPIIndex,default
37,GDPCUR$Index,minus
38,GDPCURYIndex,default
39,GDPPIQQIndex,default
40,GDPCPCECIndex,default
41,CPIYOYIndex,default
42,CPIXYOYIndex,default
43,PCEDEFYIndex,default
44,PCECYOYIndex,default
45,CPICHNGIndex,default
46,CPUPXCHGIndex,default
47,FDIDFDMOIndex,default
48,FDIDSGMOIndex,default
49,FDIUFDYOIndex,default
50,FDIUSGYOIndex,default
51,USURTOTIndex,default
52,USUDMAERIndex,default
53,INJCJCIndex,minus
54,INJCSPIndex,minus
55,NFPTCHIndex,default
56,NFPPCHIndex,default
57,USMMMNCHIndex,default
58,AWHTOTLIndex,minus
59,USWHTOTIndex,minus
60,USEMTOTIndex,minus
61,USEMNCHGIndex,default
62,USERTOTIndex,default
63,EMDINP1MIndex,minus
64,JOLTOPENIndex,default
65,JOLTHIRSIndex,default
66,JOLTSEPSIndex,default
67,CHALYOY%Index,default
68,ADPCHNGIndex,default
69,USHEYOYIndex,default
70,USHETOT%Index,default
71,ECIYOYIndex,default
72,COSTNFR%Index,default
73,PRODNFR%Index,default
74,IPYOYIndex,default
75,IPCHNGIndex,default
76,CPTICHNGIndex,default
77,TMNOCHNGIndex,default
78,DGNOYOYIndex,default
79,DGNOCHNGIndex,default
80,MTIBCHNGIndex,default
81,MWINCHNGIndex,default
82,MGT2TBIndex,default
83,MGT2MAIndex,default
84,MGT2WHIndex,default
85,MGT2WHDUIndex,default
86,MGT2REIndex,default
87,IPIndex,minus
88,MTSLRL$Index,minus
89,AGWHTOTLIndex,minus
90,NFPTIndex,minus
91,PIDSPINXIndex,minus
92,NAPMPMIIndex,minus
93,NAPMNMIIndex,minus
94,NAPMPRICIndex,minus
95,MPMIUSCAIndex,minus
96,MPMIUSMAIndex,minus
97,MPMIUSSAIndex,minus
98,CFNAIIndex,minus
99,CFNAIMA3Index,default
100,OUTFGAFIndex,minus
101,EMPRGBCIIndex,minus
102,RCHSINDXIndex,default
103,CHPMINDXIndex,minus
104,MAPMINDXIndex,minus
105,OEUSKLARIndex,minus
106,OEUSKLAPIndex,default
107,LEITOTLIndex,minus
108,LEIYOYIndex,default
109,LEICHNGIndex,default
110,LEIAVGWIndex,minus
111,LEIWKIJIndex,minus
112,LEINWCNIndex,minus
113,NAPMNEWOIndex,minus
114,LEIMNOIndex,minus
115,LEIBPIndex,minus
116,LEISTKPIndex,minus
117,LEILCIIndex,minus
118,LEIIRTEIndex,default
119,LEIACEIndex,minus
120,RSTAMOMIndex,default
121,RSTAXMOMIndex,default
122,RSTAYOYIndex,default
123,RSTAXYOYIndex,default
124,MBRXYOYWIndex,default
125,SAARTOTLIndex,minus
126,SAARDTOTIndex,minus
127,CONCCONFIndex,minus
128,CONSSENTIndex,minus
129,COMFCOMFIndex,minus
130,COMFBTWRIndex,default
131,PITLYOYIndex,default
132,PITLCHNGIndex,default
133,PCECHY%Index,default
134,PCECHNCIndex,default
135,PIDSDPSIndex,default
136,CICRTOTIndex,minus
137,EHCAUSIndex,default
138,USCABALIndex,minus
139,USTBTOTIndex,minus
140,USTBEXPIndex,minus
141,USTBIMPIndex,minus
142,USTBEXPYIndex,default
143,USTBIMPYIndex,default
144,IMP1YOY%Index,default
145,IMP1CHNGIndex,default
146,FRNTTOTLIndex,minus
147,FRNTTNETIndex,minus
148,USGG3MIndex,default
149,USGG10YRIndex,default
150,USTW$Index,default
151,JNVNYOYSIndex,default
152,JNVNIYOYIndex,default
153,MPMIJPCAIndex,minus
154,MPMIJPMAIndex,minus
155,MPMIJPSAIndex,minus
156,CNGDPYOYIndex,default
157,GDPNTTLYIndex,default
158,CHEFTYOYIndex,default
159,CNPPIYIndex,default
160,CPMINDXIndex,minus
161,CPMINORDIndex,minus
162,CPMINEXOIndex,minus
163,CNCILIIndex,minus
164,CNFREXPYIndex,default
165,CNFRIMPYIndex,default
166,KOGDPYOYIndex,default
167,KOGDPQOQIndex,default
168,KOECPRCYIndex,default
169,KOECGCPYIndex,default
170,KOECGVTYIndex,default
171,KOECEXPYIndex,default
172,KOECIMPYIndex,default
173,KOECSPRQIndex,default
174,KOECGCSYIndex,default
175,KOECSGVQIndex,default
176,KOECSEMQIndex,default
177,KOECSIMQIndex,default
178,KOECFCOYIndex,default
179,KOECFCSYIndex,default
180,OEKRN022Index,minus
181,KOGNICNYIndex,default
182,KOGNICUYIndex,default
183,KOGCGDPYIndex,default
184,KOGCSTOQIndex,default
185,KODFTOTYIndex,default
186,KOCPIIndex,minus
187,KOCPIYOYIndex,default
188,KOCPIMOMIndex,default
189,SKCITTLIndex,minus
190,SKCIYOYIndex,default
191,SKCIMOMIndex,default
192,KOCLLNSIndex,minus
193,KOPPIIndex,minus
194,KOPPIYOYIndex,default
195,KOPPIMOMIndex,default
196,KOEAUERSIndex,default
197,KOEAEMPYIndex,default
198,KOUETTYIndex,default
199,KOEAPYIndex,default
200,KOEAEPRIndex,default
201,KOQEEYOYIndex,default
202,KOWDRIndex,minus
203,KOULMGFIndex,minus
204,KOULMGFYIndex,default
205,KOLPIIndex,default
206,KOLPIYIndex,default
207,SKLIOTARIndex,default
208,KOIPISAIndex,minus
209,KOIPIYIndex,default
210,KOIPIMOMIndex,default
211,KOIPMSIndex,minus
212,KOIPMYIndex,default
213,KOIPMSMIndex,default
214,KOPSIYIndex,default
215,KOPIIYIndex,default
216,KOIPMCIndex,minus
217,KOIPMCYIndex,default
218,KOIPOPSMIndex,default
219,KOIVCPEYIndex,default
220,KOIVCCYIndex,default
221,KOIVCONYIndex,default
222,KOCGCGYIndex,default
223,KOCGCGSMIndex,default
224,KOSVTOTYIndex,default
225,KOSVTOTMIndex,default
226,KOVMPRODIndex,minus
227,KOBSMCIndex,minus
228,KOBSNMCIndex,minus
229,SKBSICIndex,minus
230,SKBSICSAIndex,minus
231,MPMIKRMAIndex,default
232,OEKRKLARIndex,minus
233,OEKRKLAPIndex,default
234,SKLILIIndex,minus
235,SKLILYIndex,default
236,SKLILCIndex,minus
237,SKLICIIndex,minus
238,SKLIINVCIndex,default
239,SKLICONEIndex,minus
240,SKLIMORDIndex,minus
241,SKLICONTIndex,minus
242,SKLINBARIndex,minus
243,SKLISPRCIndex,minus
244,SKLIINTRIndex,default
245,SKLIIPALIndex,minus
246,SKLICNSTIndex,minus
247,SKLISVCIIndex,minus
248,SKLIWNRSIndex,minus
249,SKLISHPPIndex,minus
250,SKLIIMPTIndex,minus
251,SKLIEMPPIndex,minus
252,SKLILAPIndex,minus
253,SKLILAIIndex,minus
254,SKLINEIndex,minus
255,SKLICPYIndex,default
256,KOBONTLIndex,minus
257,KOHSTRIndex,default
258,KOHPTTLIndex,minus
259,KOHPTYOYIndex,default
260,KOHCTTLIndex,default
261,KOHCTYOYIndex,default
262,KOBLTHMLIndex,minus
263,KOBLTHMYIndex,default
264,KOUHTTLIndex,default
265,KORSTIndex,minus
266,KORSTYIndex,default
267,KODSDEPTIndex,default
268,KODSDISCIndex,default
269,KOVMTOTSIndex,minus
270,KOVMDOMSIndex,minus
271,KOVMEXPSIndex,minus
272,KOCCCSIIndex,minus
273,KOHOINCIndex,minus
274,KOHOINCYIndex,default
275,KOHEUINYIndex,default
276,KOHHDIndex,minus
277,KOHHDYIndex,default
278,KOHHLIndex,minus
279,KOHHLYIndex,default
280,EOKOS002Index,minus
281,KOBPCBIndex,minus
282,EHCAKRYIndex,default
283,KOBPFINIndex,minus
284,KOBPCAIndex,minus
285,KODIBALIndex,minus
286,KOBPTBIndex,minus
287,KOTRBALIndex,minus
288,KOEXTOTIndex,minus
289,KOIMTOTIndex,minus
290,KOEXTOTYIndex,default
291,KOIMTOTYIndex,default
292,KOEXPTIIndex,minus
293,KOEXPTIYIndex,default
294,KOEXPTIMIndex,default
295,KOIMPTIIndex,minus
296,KOIMPTIYIndex,default
297,KOIMPTIMIndex,default
298,KOFDITIndex,minus
299,KOFDITYIndex,default
300,KOELTOTIndex,minus
