table_name,ticker,field,var_name,frequency,start_date,end_date,normal_cnt,unique_cnt,len_BEndYear,len_BEndQrtr,len_BEndMon,len_BEndWeek,len_BEndDay,total_cnt,total_cnt-normal_cnt,결측률,min_value,median_value,mean_value,max_value,var_value,stdev_value,q5,q25,q75,q95,main_prop
moneymarket,cb020530_index,chg_pct_1d,cb020530_index__chg_pct_1d,emptyE,1990-12-11,2019-10-31,7487,6309,30,117,347,1508,7536,7536,49,0.650%,-22580745.47,0,-2536.733686,12826088.85,1.12362E+11,335205.0468,-42.6854,-5.2045,4.8625,35.2493,0.016294911
moneymarket,cb020305_index,chg_pct_1d,cb020305_index__chg_pct_1d,emptyE,1989-06-23,2019-10-31,7736,6666,31,123,365,1585,7921,7921,185,2.336%,-16666549.41,-0.001,-435.0599367,9791851.737,71687412994,267745.0522,-90.61575,-9.073,8.32575,80.02125,0.015641158
moneymarket,usduyu_bgn_curncy,px_mid,usduyu_bgn_curncy__px_mid,emptyE,1993-06-14,2019-10-31,6046,3089,27,107,317,1377,6881,6881,835,12.135%,-9999998,22.2,-4940.929756,37.5,49603355389,222718.1075,5.94,14.3,27.3,32.002115,0.005458154
moneymarket,usdgnf_bgn_curncy,px_mid,usdgnf_bgn_curncy__px_mid,emptyE,1994-06-20,2019-10-31,5646,1989,26,103,305,1324,6616,6616,970,14.661%,-9999998,5006.6885,1506.3851,9449.223,35460365202,188309.2276,1244.45,1980,7160,9204.6805,0.015409139
moneymarket,jp051030_index,chg_pct_1d,jp051030_index__chg_pct_1d,emptyE,2006-12-04,2019-10-31,3364,2760,14,53,155,674,3366,3366,2,0.059%,-9333446.902,0,-4561.321489,2099.865,36587773080,191279.3065,-13.8168,-2.64275,2.488,12.2441,0.057074911
moneymarket,cb051030_index,chg_pct_1d,cb051030_index__chg_pct_1d,emptyE,1990-12-11,2019-10-31,7477,6412,30,117,347,1508,7536,7536,59,0.783%,-8695551.981,0,-1170.981211,3999800.101,21281201155,145880.7772,-53.8002,-8.805,8.618,54.5684,0.019526548
moneymarket,uk020305_index,chg_pct_1d,uk020305_index__chg_pct_1d,emptyE,1992-01-03,2019-10-31,7173,6049,28,112,334,1453,7261,7261,88,1.212%,-4166510.269,0,640.1319357,7368538.71,13033262177,114163.3136,-45.0258,-6.25,5.715,48.2326,0.013522933
moneymarket,it020305_index,chg_pct_1d,it020305_index__chg_pct_1d,emptyE,1999-12-06,2019-10-31,5176,4699,21,81,239,1039,5191,5191,15,0.289%,-3958243.61,0,203.6871476,4782578.155,11185139334,105759.8191,-56.481,-7.60975,6.2975,46.22875,0.011591963
moneymarket,ad020515_index,chg_pct_1d,ad020515_index__chg_pct_1d,emptyE,1999-12-06,2019-10-31,5168,4464,21,81,239,1039,5191,5191,23,0.443%,-2916654.063,0,126.5818367,2553008.437,3403489306,58339.43183,-55.7665,-5.07775,4.7215,50.55865,0.018575851
moneymarket,usdrsd_bgn_curncy,chg_net_1d,usdrsd_bgn_curncy__chg_net_1d,emptyE,1993-06-22,2019-10-31,5459,3674,27,107,317,1376,6876,6876,1417,20.608%,-2379865.698,0,-19.83982777,987152.1181,1319639357,36326.84072,-0.79015,-0.2164,0.2322,0.82892,0.169078586
moneymarket,usdaoa_bgn_curncy,chg_net_1d,usdaoa_bgn_curncy__chg_net_1d,emptyE,1993-06-16,2019-10-31,4980,2099,27,107,317,1377,6881,6881,1901,27.627%,-2214698.08,0,-0.716853635,917828,1346006648,36687.96326,-0.63377,-0.000625,0.034175,1.3585,0.336947791
moneymarket,ad020510_index,chg_pct_1d,ad020510_index__chg_pct_1d,emptyE,1999-12-06,2019-10-31,5172,4531,21,81,239,1039,5191,5191,19,0.366%,-2083283.26,0,2074.315413,4255112.643,10137205626,100683.691,-63.8436,-7.895,7.31775,61.31735,0.015854602
moneymarket,de020530_index,chg_pct_1d,de020530_index__chg_pct_1d,emptyE,1994-01-04,2019-10-31,6690,5500,26,104,310,1348,6736,6736,46,0.683%,-2075511.33,-0.0095,-309.7820839,6200.585,643915442,25375.489,-11.87915,-2.7635,2.50725,11.02125,0.010313901
moneymarket,fb020305_index,chg_pct_1d,fb020305_index__chg_pct_1d,emptyE,1990-08-10,2019-10-31,7526,6224,30,118,351,1526,7626,7626,100,1.311%,-1458127.032,-0.0115,549.6304078,5312661.27,4045410673,63603.54293,-39.683,-5,4.4565,30.33325,0.020063779
