,date,SPXIndex,MSRUITIndex,MSRUMATIndex,MXWO0ITIndex,MXWO0MTIndex,MXUS0ITIndex,MXEF0ITIndex,MXEF0MTIndex,NU722094Index,NU721934Index,CL1Comdty,LMAHDS03Comdty,LMCADS03Comdty,XAUCurncy,LMNIDS03Comdty,CCMPIndex,NKYIndex,CINDIndex,IXKIndex,XCIIndex,SOXIndex,MSERIndex,NMDPIndex,SZCOMPIndex,KOSPIIndex
0,1981-01-02,136.34,,,,,,,,,,,,,,,203.55,,263.35,,,,,,,
1,1981-01-05,137.97,,,,,,,,,,,,,597.5,,204.17,7150.95,263.96,,,,,,,97.9
2,1981-01-06,138.12,,,,,,,,,,,,,599.25,,204.07,7137.59,262.64,,,,,,,93.1
3,1981-01-07,135.08,,,,,,,,,,,,,585,,197.35,7200.77,251.06,,,,,,,93.1
4,1981-01-08,133.06,,,,,,,,,,,,,574.75,,195.89,7222.14,248.5,,,,,,,96
5,1981-01-09,133.48,,,,,,,,,,,,,577.75,,197.66,7248.13,251.5,,,,,,,96.6
10120,1981-01-10,,,,,,,,,,,,,,,,,,,,,,,,,97.6
6,1981-01-12,133.52,,,,,,,,,,,,,562,,198.44,7251.88,252.38,,,,,,,99.5
7,1981-01-13,133.29,,,,,,,,,,,,,562.75,,198.05,7246.8,251.87,,,,,,,102.5
8,1981-01-14,133.47,,,,,,,,,,,,,556.5,,199.08,7244.78,253.59,,,,,,,107.4
9,1981-01-15,134.22,,,,,,,,,,,,,571.5,,199.85,,254.87,,,,,,,108.3
10,1981-01-16,134.77,,,,,,,,,,,,,560.75,,201.13,7255.85,256.9,,,,,,,107.8
10121,1981-01-17,,,,,,,,,,,,,,,,,,,,,,,,,106.7
11,1981-01-19,134.37,,,,,,,,,,,,,566.75,,201.58,7296.08,257.73,,,,,,,106.6
12,1981-01-20,131.65,,,,,,,,,,,,,562,,198.72,7289.98,253.07,,,,,,,104.9
13,1981-01-21,131.36,,,,,,,,,,,,,578,,198.09,7315.33,252.43,,,,,,,105.7
14,1981-01-22,130.26,,,,,,,,,,,,,564,,197.12,7293.28,251.06,,,,,,,105.8
15,1981-01-23,130.23,,,,,,,,,,,,,553,,197.52,7267.52,251.67,,,,,,,106.3
10122,1981-01-24,,,,,,,,,,,,,,,,,,,,,,,,,106.8
16,1981-01-26,129.84,,,,,,,,,,,,,528.5,,196.13,7249.42,249.4,,,,,,,106.2
17,1981-01-27,131.12,,,,,,,,,,,,,524,,197.18,7285.03,251.25,,,,,,,104.7
18,1981-01-28,130.34,,,,,,,,,,,,,523.5,,197.37,7279.41,251.38,,,,,,,104.2
19,1981-01-29,130.24,,,,,,,,,,,,,493.75,,197.88,7215.12,252.35,,,,,,,105.2
20,1981-01-30,129.55,,,,,,,,,,,,,506.5,,197.81,7254.01,251.76,,,,,,,105.3
10123,1981-01-31,,,,,,,,,,,,,,,,,,,,,,,,,105.7
21,1981-02-02,126.91,,,,,,,,,,,,,493.5,,193.09,7322.06,243.41,,,,,,,105.6
22,1981-02-03,128.46,,,,,,,,,,,,,486.25,,193.56,7291.31,244.07,,,,,,,104.9
23,1981-02-04,128.59,,,,,,,,,,,,,505,,194.57,7288.41,245.69,,,,,,,105.5
