,date,Amazon_close,Amazon_volume,Amazon_change,AMD_close,AMD_volume,AMD_change,APPLE_close,APPLE_volume,APPLE_change,AppliedMaterials_close,AppliedMaterials_volume,AppliedMaterials_change,Aspeed_close,Aspeed_volume,Aspeed_change,Dell_close,Dell_volume,Dell_change,EUR_KRW_close,EUR_KRW_volume,EUR_KRW_change,Facebook_close,Facebook_volume,Facebook_change,Google_close,Google_volume,Google_change,HPE_close,HPE_volume,HPE_change,Intel_close,Intel_volume,Intel_change,ISECloudComputingIndex_close,ISECloudComputingIndex_volume,ISECloudComputingIndex_change,JPY_KRW_close,JPY_KRW_volume,JPY_KRW_change,KOSPI200_close,KOSPI200_volume,KOSPI200_change,KRXsemiconductor_close,KRXsemiconductor_volume,KRXsemiconductor_change,LamResearch_close,LamResearch_volume,LamResearch_change,MediaTek_close,MediaTek_volume,MediaTek_change,Micron_close,Micron_volume,Micron_change,Microsoft_close,Microsoft_volume,Microsoft_change,Nuvoton_close,Nuvoton_volume,Nuvoton_change,Nvidia_close,Nvidia_volume,Nvidia_change,Philadelphia_close,Philadelphia_volume,Philadelphia_change,QCOM_close,QCOM_volume,QCOM_change,SamsungElectronics_close,SamsungElectronics_volume,SamsungElectronics_change,ShinEtsuChemical_close,ShinEtsuChemical_volume,ShinEtsuChemical_change,Siltronic_close,Siltronic_volume,Siltronic_change,SKhynix_close,SKhynix_volume,SKhynix_change,Sumco_close,Sumco_volume,Sumco_change,TokyoElectron_close,TokyoElectron_volume,TokyoElectron_change,TSMC_close,TSMC_volume,TSMC_change,UMC_close,UMC_volume,UMC_change,USDollarIndex_close,USDollarIndex_volume,USDollarIndex_change,USD_KRW_close,USD_KRW_volume,USD_KRW_change
0,2006-01-02,,,,,,,,,,,,,,,,,,,1197.7,0,0.38,,,,,,,,,,,,,,,,8.5868,0,0.54,178.29,"144,688,500",0.48,"1,000.00","19,901,799",,,,,,,,,,,,,,,,,,,,,,,,,,659000,419111,0.0,,,,,,,"37,600","13,366,196",6.52,,,,,,,,,,,,,,,,1012.82,0,0.53
1,2006-01-03,46.25,7580000,0.91,32.4,16649999,5.88,10.68,201850000,3.99,17.64,17130000,2.17,,,,,,,1206.76,0,0.76,,,,209.31,13140000,4.91,,,,25.57,56410000,2.44,,,,8.645,0,0.68,178.81,"155,926,600",0.29,"1,012.36","23,519,159",,35.44,2900000,2.83,,,,13.51,9710000,1.5,26.1,79970000,2.64,,,,12.74,11820000,4.51,493.13,90592272.0,2.845,44.0,15830000,2.14,665000,358018,0.91,,,,,,,"38,100","13,834,043",1.33,,,,,,,1.8433,71567648,3.6518,4.266,5350000,2.24,89.84,0,-1.46,1004.5,0,-0.82
2,2006-01-04,46.69,7440000,-0.69,32.56,11300000,0.49,10.71,155230000,0.28,18.21,17030000,0.87,,,,,,,1210.75,0,0.33,,,,220.09,15290000,2.3,,,,25.91,46190000,1.33,,,,8.6076,0,-0.43,179.91,"186,153,400",0.62,"1,007.17","35,951,797",,36.56,2720000,0.98,,,,14.05,12890000,4.0,26.77,57980000,0.48,,,,13.1,12750000,2.83,496.69,87057856.0,0.722,45.43,16830000,3.25,699000,785812,5.11,,,,,,,"35,300","23,140,068",-7.35,,,,2910,6600,0.69,1.8754,55472680,1.7457,4.212,3150000,-1.87,89.14,0,-0.78,998.35,0,-0.61
3,2006-01-05,47.11,5420000,0.85,33.68,13810000,3.44,10.63,112400000,-0.75,18.46,18380000,1.14,,,,,,,1203.85,0,-0.57,,,,220.96,10820000,1.35,,,,26.27,54890000,1.39,,,,8.5832,0,-0.28,178.82,"198,144,100",-0.61,991.68,"32,261,363",,37.26,2200000,1.86,,,,14.18,11510000,0.93,26.91,48250000,0.07,,,,13.39,16149999,2.21,508.54,99354176.0,2.386,45.21,10870000,-0.48,679000,710373,-2.86,,,,,,,"34,600","21,566,179",-1.98,,,,2930,27200,3.41,1.9125,45456860,1.9777,4.212,8760000,-0.33,89.33,0,0.21,994.75,0,-0.36
4,2006-01-06,47.32,6150000,0.46,33.78,13310000,0.3,10.9,176140000,2.54,18.79,27350000,3.58,,,,,,,1201.95,0,-0.16,,,,226.84,17760000,3.2,,,,26.31,45700000,0.15,,,,8.6462,0,0.73,180.87,"202,598,300",1.15,"1,008.15","21,152,418",,37.68,2790000,3.52,,,,14.47,10690000,2.05,26.49,100970000,-0.3,,,,13.61,15580000,1.64,519.57,101875800.0,2.169,47.36,26690000,4.76,687000,353915,1.18,,,,,,,"35,050","12,707,206",1.3,,,,3060,29100,2.64,1.9461,69380192,1.7525,4.239,13450000,4.48,88.85,0,-0.54,989.3,0,-0.55
5,2006-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2006-01-09,46.4,8950000,-1.65,33.25,9980000,-1.57,10.86,168860000,-0.37,19.32,18700000,0.77,,,,,,,1181.59,0,-1.69,,,,230.69,12800000,0.27,,,,26.47,39460000,0.61,,,,8.5531,0,-1.08,180.3,"188,414,700",-0.32,"1,030.83","23,734,346",,38.78,2620000,1.0,,,,14.7,6830000,1.59,26.76,55630000,-0.19,,,,13.99,14010000,2.79,524.33,85132528.0,0.9159999999999999,47.57,14560000,0.44,688000,325507,0.15,,,,,,,"36,750","13,652,495",4.85,,,,,,,2.0388,79241392,4.7635,4.4289999999999985,8920000,3.68,89.25,0,0.45,977.45,0,-1.2
8,2006-01-10,45.36,9690000,-3.04,34.93,16309999,5.05,11.55,570090000,6.35,19.43,26600000,1.38,,,,,,,1185.09,0,0.3,,,,231.24,9100000,0.61,,,,26.12,47030000,-1.32,,,,8.5904,0,0.44,178.98,"178,245,600",-0.73,"1,037.76","30,136,076",,38.37,2600000,-1.77,,,,14.57,7630000,-0.88,26.59,64920000,0.52,,,,14.0,8490000,0.07,527.75,96138800.0,0.652,47.38,12890000,-0.4,698000,485875,1.45,,,,,,,"38,000","16,155,952",3.4,,,,3120,12700,0.96,1.9925,46425000,-2.2669,4.375,5700000,-4.14,89.33,0,0.09,982.05,0,0.47
9,2006-01-11,44.26,8500000,-1.58,36.27,15880000,3.84,11.99,373550000,3.81,19.67,47630000,4.35,,,,,,,1194.0,0,0.75,,,,234.82,9010000,0.4,,,,26.14,53010000,0.08,,,,8.6271,0,0.43,178.67,"207,229,300",-0.17,"1,032.09","19,104,645",,38.09,2660000,2.3,,,,14.75,8220000,1.24,26.9,70120000,1.07,,,,14.5,15660000,3.57,536.44,119616496.0,1.6469999999999998,48.8,20010000,3.0,683000,356985,-2.15,,,,,,,"37,350","9,532,302",-1.71,,,,3100,17200,0.0,1.9626,70241520,-1.5031,4.294,8400000,0.32,88.99,0,-0.38,984.7,0,0.27
10,2006-01-12,44.09,5820000,-1.27,35.35,25450000,-2.54,12.04,320200000,0.42,20.26,49070000,0.82,,,,,,,1172.38,0,-1.81,,,,230.97,10130000,-1.69,,,,25.97,54030000,-0.65,,,,8.5227,0,-1.21,179.65,"171,742,200",0.55,"1,038.79","18,044,512",,39.03,2290000,-0.63,,,,14.57,8600000,-1.22,26.97,45990000,-0.55,,,,14.3,12390000,-1.38,529.28,117845504.0,-1.335,49.0,16640000,0.41,684000,405859,0.15,,,,,,,"37,700","9,289,258",0.94,,,,3130,27800,1.27,1.9654,48608504,0.1436,4.28,4530000,-2.15,89.44,0,0.51,974.1,0,-1.08
