,date,Amazon_close,Amazon_volume,Amazon_change,AMD_close,AMD_volume,AMD_change,APPLE_close,APPLE_volume,APPLE_change,AppliedMaterials_close,AppliedMaterials_volume,AppliedMaterials_change,Aspeed_close,Aspeed_volume,Aspeed_change,Dell_close,Dell_volume,Dell_change,EUR_KRW_close,EUR_KRW_volume,EUR_KRW_change,Facebook_close,Facebook_volume,Facebook_change,Google_close,Google_volume,Google_change,HPE_close,HPE_volume,HPE_change,Intel_close,Intel_volume,Intel_change,ISECloudComputingIndex_close,ISECloudComputingIndex_volume,ISECloudComputingIndex_change,JPY_KRW_close,JPY_KRW_volume,JPY_KRW_change,KOSPI200_close,KOSPI200_volume,KOSPI200_change,KRXsemiconductor_close,KRXsemiconductor_volume,KRXsemiconductor_change,LamResearch_close,LamResearch_volume,LamResearch_change,MediaTek_close,MediaTek_volume,MediaTek_change,Micron_close,Micron_volume,Micron_change,Microsoft_close,Microsoft_volume,Microsoft_change,Nuvoton_close,Nuvoton_volume,Nuvoton_change,Nvidia_close,Nvidia_volume,Nvidia_change,Philadelphia_close,Philadelphia_volume,Philadelphia_change,QCOM_close,QCOM_volume,QCOM_change,SamsungElectronics_close,SamsungElectronics_volume,SamsungElectronics_change,ShinEtsuChemical_close,ShinEtsuChemical_volume,ShinEtsuChemical_change,Siltronic_close,Siltronic_volume,Siltronic_change,SKhynix_close,SKhynix_volume,SKhynix_change,Sumco_close,Sumco_volume,Sumco_change,TokyoElectron_close,TokyoElectron_volume,TokyoElectron_change,TSMC_close,TSMC_volume,TSMC_change,UMC_close,UMC_volume,UMC_change,USDollarIndex_close,USDollarIndex_volume,USDollarIndex_change,USD_KRW_close,USD_KRW_volume,USD_KRW_change
0,2006-01-03,46.25,7580000.0,0.91,32.4,16649999.0,5.88,10.68,201850000.0,3.99,17.64,17130000.0,2.17,,,,,,,1206.76,0.0,0.76,,,,209.31,13140000.0,4.91,,,,25.57,56410000.0,2.44,,,,8.645,0.0,0.68,178.81,155926600.0,0.29,1012.36,23519159.0,,35.44,2900000.0,2.83,,,,13.51,9710000.0,1.5,26.1,79970000.0,2.64,,,,12.74,11820000.0,4.51,493.13,90592272.0,2.845,44.0,15830000.0,2.14,13300.0,17900900.0,0.91,,,,,,,38100.0,13834043.0,1.33,,,,,,,1.8433,71567648.0,3.6518,4.266,5350000.0,2.24,89.84,0.0,-1.46,1004.5,0.0,-0.82
1,2006-01-04,46.69,7440000.0,-0.69,32.56,11300000.0,0.49,10.71,155230000.0,0.28,18.21,17030000.0,0.87,,,,,,,1210.75,0.0,0.33,,,,220.09,15290000.0,2.3,,,,25.91,46190000.0,1.33,,,,8.6076,0.0,-0.43,179.91,186153400.0,0.62,1007.17,35951797.0,,36.56,2720000.0,0.98,,,,14.05,12890000.0,4.0,26.77,57980000.0,0.48,,,,13.1,12750000.0,2.83,496.69,87057856.0,0.722,45.43,16830000.0,3.25,13980.0,39290600.0,5.11,,,,,,,35300.0,23140068.0,-7.35,,,,2910.0,6600.0,0.69,1.8754,55472680.0,1.7457,4.212,3150000.0,-1.87,89.14,0.0,-0.78,998.35,0.0,-0.61
2,2006-01-05,47.11,5420000.0,0.85,33.68,13810000.0,3.44,10.63,112400000.0,-0.75,18.46,18380000.0,1.14,,,,,,,1203.85,0.0,-0.57,,,,220.96,10820000.0,1.35,,,,26.27,54890000.0,1.39,,,,8.5832,0.0,-0.28,178.82,198144100.0,-0.61,991.68,32261363.0,,37.26,2200000.0,1.86,,,,14.18,11510000.0,0.93,26.91,48250000.0,0.07,,,,13.39,16149999.0,2.21,508.54,99354176.0,2.386,45.21,10870000.0,-0.48,13580.0,35518650.0,-2.86,,,,,,,34600.0,21566179.0,-1.98,,,,2930.0,27200.0,3.41,1.9125,45456860.0,1.9777,4.212,8760000.0,-0.33,89.33,0.0,0.21,994.75,0.0,-0.36
3,2006-01-06,47.32,6150000.0,0.46,33.78,13310000.0,0.3,10.9,176140000.0,2.54,18.79,27350000.0,3.58,,,,,,,1201.95,0.0,-0.16,,,,226.84,17760000.0,3.2,,,,26.31,45700000.0,0.15,,,,8.6462,0.0,0.73,180.87,202598300.0,1.15,1008.15,21152418.0,,37.68,2790000.0,3.52,,,,14.47,10690000.0,2.05,26.49,100970000.0,-0.3,,,,13.61,15580000.0,1.64,519.57,101875800.0,2.169,47.36,26690000.0,4.76,13740.0,17695750.0,1.18,,,,,,,35050.0,12707206.0,1.3,,,,3060.0,29100.0,2.64,1.9461,69380192.0,1.7525,4.239,13450000.0,4.48,88.85,0.0,-0.54,989.3,0.0,-0.55
4,2006-01-09,46.4,8950000.0,-1.65,33.25,9980000.0,-1.57,10.86,168860000.0,-0.37,19.32,18700000.0,0.77,,,,,,,1181.59,0.0,-1.69,,,,230.69,12800000.0,0.27,,,,26.47,39460000.0,0.61,,,,8.5531,0.0,-1.08,180.3,188414700.0,-0.32,1030.83,23734346.0,,38.78,2620000.0,1.0,,,,14.7,6830000.0,1.59,26.76,55630000.0,-0.19,,,,13.99,14010000.0,2.79,524.33,85132528.0,0.9159999999999999,47.57,14560000.0,0.44,13760.0,16275350.0,0.15,,,,,,,36750.0,13652495.0,4.85,,,,3060.0,29100.0,2.64,2.0388,79241392.0,4.7635,4.4289999999999985,8920000.0,3.68,89.25,0.0,0.45,977.45,0.0,-1.2
5,2006-01-10,45.36,9690000.0,-3.04,34.93,16309999.0,5.05,11.55,570090000.0,6.35,19.43,26600000.0,1.38,,,,,,,1185.09,0.0,0.3,,,,231.24,9100000.0,0.61,,,,26.12,47030000.0,-1.32,,,,8.5904,0.0,0.44,178.98,178245600.0,-0.73,1037.76,30136076.0,,38.37,2600000.0,-1.77,,,,14.57,7630000.0,-0.88,26.59,64920000.0,0.52,,,,14.0,8490000.0,0.07,527.75,96138800.0,0.652,47.38,12890000.0,-0.4,13960.0,24293750.0,1.45,,,,,,,38000.0,16155952.0,3.4,,,,3120.0,12700.0,0.96,1.9925,46425000.0,-2.2669,4.375,5700000.0,-4.14,89.33,0.0,0.09,982.05,0.0,0.47
6,2006-01-11,44.26,8500000.0,-1.58,36.27,15880000.0,3.84,11.99,373550000.0,3.81,19.67,47630000.0,4.35,,,,,,,1194.0,0.0,0.75,,,,234.82,9010000.0,0.4,,,,26.14,53010000.0,0.08,,,,8.6271,0.0,0.43,178.67,207229300.0,-0.17,1032.09,19104645.0,,38.09,2660000.0,2.3,,,,14.75,8220000.0,1.24,26.9,70120000.0,1.07,,,,14.5,15660000.0,3.57,536.44,119616496.0,1.6469999999999998,48.8,20010000.0,3.0,13660.0,17849250.0,-2.15,,,,,,,37350.0,9532302.0,-1.71,,,,3100.0,17200.0,0.0,1.9626,70241520.0,-1.5031,4.294,8400000.0,0.32,88.99,0.0,-0.38,984.7,0.0,0.27
7,2006-01-12,44.09,5820000.0,-1.27,35.35,25450000.0,-2.54,12.04,320200000.0,0.42,20.26,49070000.0,0.82,,,,,,,1172.38,0.0,-1.81,,,,230.97,10130000.0,-1.69,,,,25.97,54030000.0,-0.65,,,,8.5227,0.0,-1.21,179.65,171742200.0,0.55,1038.79,18044512.0,,39.03,2290000.0,-0.63,,,,14.57,8600000.0,-1.22,26.97,45990000.0,-0.55,,,,14.3,12390000.0,-1.38,529.28,117845504.0,-1.335,49.0,16640000.0,0.41,13680.0,20292950.0,0.15,,,,,,,37700.0,9289258.0,0.94,,,,3130.0,27800.0,1.27,1.9654,48608504.0,0.1436,4.28,4530000.0,-2.15,89.44,0.0,0.51,974.1,0.0,-1.08
8,2006-01-13,44.0,4430000.0,0.09,34.13,23470000.0,-3.45,12.23,194150000.0,1.58,19.93,43560000.0,-3.22,,,,,,,1198.51,0.0,2.23,,,,231.03,7660000.0,0.56,,,,25.79,46310000.0,-0.69,,,,8.6465,0.0,1.45,181.71,161294900.0,1.15,1056.05,20342224.0,,37.9,2620000.0,-2.82,,,,14.51,7570000.0,-0.41,27.01,41450000.0,0.18,,,,14.17,10530000.0,-0.91,526.64,101078600.0,-0.499,48.64,11710000.0,-0.73,13880.0,24506200.0,1.46,,,,,,,38100.0,10008442.0,1.06,,,,3140.0,17500.0,0.31,1.9286,38642476.0,-1.8746,4.253,3340000.0,0.0,88.89,0.0,-0.61,987.65,0.0,1.39
9,2006-01-16,44.0,4430000.0,0.09,34.13,23470000.0,-3.45,12.23,194150000.0,1.58,19.93,43560000.0,-3.22,,,,,,,1190.88,0.0,-0.64,,,,231.03,7660000.0,0.56,,,,25.79,46310000.0,-0.69,,,,8.5516,0.0,-1.1,182.39,158787300.0,0.37,1067.71,18534051.0,,37.9,2620000.0,-2.82,,,,14.51,7570000.0,-0.41,27.01,41450000.0,0.18,,,,14.17,10530000.0,-0.91,526.64,101078600.0,-0.499,48.64,11710000.0,-0.73,14120.0,20168350.0,1.73,,,,,,,37750.0,8045638.0,-0.92,,,,3150.0,30200.0,0.94,1.9145,37639248.0,-0.7285,4.253,3340000.0,0.0,88.89,0.0,-0.61,982.45,0.0,-0.53
