DATE|Actual Value|Prediction Value
20161108|2.2986919400239646e-05|3.1225193611656214e-05
20161109|0.0003240577785568249|3.214255963414669e-05
20161110|2.623555954154874e-05|6.601210637374212e-05
20161111|4.041418831207608e-05|5.1052553787256725e-05
20161114|3.416228038688167e-05|4.7369738121596064e-05
20161115|2.6936070508123792e-05|4.479953103057958e-05
20161116|2.646145019923078e-05|3.93065702454258e-05
20161117|2.8081531263939634e-05|3.554372226355391e-05
20161118|2.339420415115225e-05|4.803600973354383e-05
20161121|1.8594316154522902e-05|3.196491793518899e-05
20161122|1.9361102663275823e-05|2.9725614624035986e-05
20161123|2.5867159912907482e-05|2.60395089933201e-05
20161124|3.936651277191978e-05|2.7785073846997072e-05
20161125|2.2142335414070547e-05|3.0092805035807625e-05
20161128|4.26758787104466e-05|3.1452216303731216e-05
20161129|3.125858554524064e-05|3.0352998817340492e-05
20161130|3.3087357845215025e-05|3.0809151277366315e-05
20161201|1.9486083491060947e-05|3.0429268569232693e-05
20161202|2.8267877575090426e-05|3.022739607323934e-05
20161205|2.3592890939390247e-05|3.4030471689983064e-05
20161206|2.2153433778089504e-05|2.9935455795768648e-05
20161207|1.7233423370575928e-05|2.7937713193218296e-05
20161208|5.5250376753287484e-05|2.772783691326923e-05
20161209|1.871896764315012e-05|2.6589622880338717e-05
20161212|1.9638703524290023e-05|2.948056357971308e-05
20161213|2.109201380202123e-05|2.6676038242062705e-05
20161214|1.5369904941274163e-05|2.7380524698896035e-05
20161215|2.4641753982342286e-05|2.800696827395358e-05
20161216|2.5858091239180133e-05|2.7837297624475685e-05
20161219|1.7011046148027447e-05|2.8318805903085723e-05
20161220|1.4472818753606403e-05|2.7889461089905145e-05
20161221|2.0016413217227375e-05|2.5248849671105744e-05
20161222|1.594000415453889e-05|2.5886747336978735e-05
20161223|2.457001741091602e-05|2.5473570490081172e-05
20161226|1.4900661477915528e-05|2.6031157566142187e-05
20161227|1.013363359594119e-05|2.4835255119152375e-05
20161228|2.603873660040136e-05|2.3117793109984618e-05
20161229|2.286119386373198e-05|2.6693193537394014e-05
20170102|2.547719196431521e-05|2.666622937255999e-05
20170103|1.6151647215224914e-05|2.6888396826595493e-05
20170104|1.3477165114879172e-05|2.504067908652815e-05
20170105|1.6584415007014457e-05|2.383677243959592e-05
20170106|9.039090716932699e-06|2.5483960330200547e-05
20170109|2.2499520633766248e-05|2.218357623294561e-05
20170110|1.6146638278638233e-05|2.340901579379673e-05
20170111|2.603417200415853e-05|2.34253676323518e-05
20170112|2.8099510330917515e-05|2.4919239247138414e-05
20170113|1.7296979115341466e-05|2.4915279898026768e-05
20170116|4.87561974565703e-05|2.4474328525491563e-05
20170117|3.0850000013405114e-05|2.893011790913105e-05
20170118|4.092133828994922e-05|2.7581592523067485e-05
20170119|3.7266968009235424e-05|3.2934618904703616e-05
20170120|2.3017501460006176e-05|3.0906696084787716e-05
20170123|4.3464570309902794e-05|2.8699052710546713e-05
20170124|2.6558582549943887e-05|2.98885010369448e-05
20170125|2.8040648504681544e-05|2.9107076222917468e-05
20170126|3.136138991242159e-05|2.8614783062880666e-05
20170131|2.315529275196695e-05|2.8631532684592722e-05
20170201|1.7707250137293536e-05|2.8785558515850003e-05
20170202|2.3081619467760973e-05|2.678237810216576e-05
20170203|2.1705294556801727e-05|2.7503797380451114e-05
20170206|2.8218159144981688e-05|2.6778708949943307e-05
