DATE|Actual Value|Prediction Value
20161108|4.28215041671579e-05|3.295722227641831e-05
20161109|4.2779829886050394e-05|3.5482636665413264e-05
20161110|2.743861212673794e-05|4.208345858498207e-05
20161111|2.888935298732488e-05|3.1576234698901275e-05
20161114|2.780459195387857e-05|3.9553423114692445e-05
20161115|2.7078413110749023e-05|3.594922078307815e-05
20161116|2.6786210275443895e-05|3.2017561001664606e-05
20161117|2.6231633012546067e-05|3.283604546427363e-05
20161118|2.6059644148466174e-05|3.72728115618046e-05
20161121|2.6182838502867594e-05|3.939463535602015e-05
20161122|2.6103675002542793e-05|3.719744991509843e-05
20161123|2.585926080705932e-05|4.01164122380511e-05
20161124|2.556672347227532e-05|3.814100325607566e-05
20161125|2.43953980414063e-05|3.9975873648329864e-05
20161128|2.451678214124854e-05|3.9331332336861176e-05
20161129|2.3128021279622012e-05|4.2163319305217e-05
20161130|2.207177368215703e-05|4.30345510790933e-05
20161201|2.1719342619916338e-05|4.225339503068074e-05
20161202|2.1888098138549903e-05|4.047888662370947e-05
20161205|2.174856385801115e-05|4.175351362113557e-05
20161206|2.137650167180285e-05|4.1150064227279125e-05
20161207|2.0942688238642347e-05|4.326914408303818e-05
20161208|2.0910237820464258e-05|4.33988467157058e-05
20161209|1.859967351864654e-05|4.032354499887042e-05
20161212|1.878870116817733e-05|4.0208459528554625e-05
20161213|1.861409790589474e-05|4.2427711106346786e-05
20161214|1.8861205816001616e-05|3.44300014820741e-05
20161215|1.949768608548379e-05|3.900799022737236e-05
20161216|1.9130447342133735e-05|4.172254624886758e-05
20161219|2.0275352653003267e-05|4.1273619949082924e-05
20161220|2.096730034627213e-05|3.925014768440857e-05
20161221|2.228972632308927e-05|3.932010278475177e-05
20161222|2.3152254062689687e-05|3.7171842027192004e-05
20161223|2.350612892796306e-05|3.709128077979271e-05
20161226|2.4450856572912377e-05|3.814859869759197e-05
20161227|2.5033752626513804e-05|3.574712619157728e-05
20161228|2.5929103371950806e-05|3.36165258864883e-05
20161229|2.6195236037551835e-05|3.881544836141171e-05
20170102|2.6209940981963572e-05|3.854806173332749e-05
20170103|2.5821443890612485e-05|3.669072131589231e-05
20170104|2.6167942503239305e-05|3.70616320140422e-05
20170105|2.6579348975335423e-05|3.9224123694931884e-05
20170106|2.7161036182233767e-05|3.797514099006116e-05
20170109|2.786060288467124e-05|3.379641053412434e-05
20170110|2.825985057910208e-05|3.067459983767497e-05
20170111|2.8913904222696338e-05|3.0005578295270745e-05
20170112|2.9196276050693656e-05|3.052302419105086e-05
20170113|2.8733578093014543e-05|3.249041523648914e-05
20170116|2.9094631424331406e-05|3.3865953647622305e-05
