DATE|Actual Value|Prediction Value
20161108|8.957134523951422e-05|3.096425915294095e-05
20161109|9.036117546109102e-05|3.0289866436929874e-05
20161110|3.08419097895722e-05|5.596865926603695e-05
20161111|3.121110413405035e-05|4.207957804234023e-05
20161114|2.7807107301865598e-05|4.381615526248539e-05
20161115|2.4693514455393825e-05|4.2653077945617e-05
20161116|2.3178520886424235e-05|3.8624142540753575e-05
20161117|2.305966282915959e-05|3.2920701472960884e-05
20161118|2.5316659130755604e-05|3.6517483681134745e-05
20161121|2.5066285383339258e-05|3.231544560967895e-05
20161122|2.9882597894524e-05|3.062275131357953e-05
20161123|3.226209447091699e-05|2.790687904633525e-05
20161124|3.3706134057378505e-05|2.9012882769102462e-05
20161125|2.9730048201206713e-05|3.249439672955698e-05
20161128|3.0955156633410714e-05|3.11932377337876e-05
20161129|2.7138559079199426e-05|3.443386172963382e-05
20161130|2.531752872576921e-05|3.3700105944314586e-05
20161201|2.2146741830841372e-05|3.294386754997386e-05
20161202|2.929960048328666e-05|3.074885069898964e-05
20161205|2.738981849689861e-05|3.314783728778896e-05
20161206|2.6598981013878556e-05|3.126653332195048e-05
20161207|2.6386697018664945e-05|2.8926823241111535e-05
20161208|2.6013993332804588e-05|2.7392712394502297e-05
20161209|1.9892268778615523e-05|2.6220047716737215e-05
20161212|2.1320093497821518e-05|2.674581971619038e-05
20161213|2.079456202256904e-05|2.621748568402827e-05
20161214|1.947072301288606e-05|2.6006925732486132e-05
20161215|2.0400024668076688e-05|2.501522068337045e-05
20161216|1.8659674702516007e-05|2.6335622250001516e-05
20161219|1.840205993686318e-05|2.7376098172235258e-05
20161220|1.797998300284082e-05|2.6472489191910846e-05
20161221|1.7112145971307783e-05|2.427380015153062e-05
20161222|1.831661064794258e-05|2.548667444679993e-05
20161223|1.9700848589781188e-05|2.4338550623813956e-05
20161226|1.9882283500461032e-05|2.542818246311321e-05
20161227|2.013248064792289e-05|2.373204475588009e-05
20161228|2.080118695171049e-05|2.1480886410634242e-05
20161229|1.8910322633033117e-05|2.6281235988402744e-05
20170102|1.6145902003673253e-05|2.4689291132044626e-05
20170103|1.555036773756347e-05|2.4560982432313848e-05
20170104|1.554936595024613e-05|2.289234642236862e-05
20170105|1.806076732810201e-05|2.2877043840335677e-05
20170106|2.0363786392882604e-05|2.4130825121041013e-05
20170109|2.2015364072564355e-05|1.9767788711882902e-05
20170110|2.726669943712515e-05|2.124322057995697e-05
20170111|3.0207371784078537e-05|2.099448016351129e-05
20170112|3.318480504123671e-05|2.4273969000275987e-05
20170113|3.501829657690024e-05|2.3144839240551976e-05
20170116|3.616240104583319e-05|2.3580716664763844e-05
20170117|3.510407561649968e-05|2.8090147478838925e-05
20170118|3.424579212380746e-05|2.6786939812074372e-05
20170119|3.1669654166753926e-05|2.8712889342125746e-05
20170120|3.0488538547391168e-05|2.8881838114413683e-05
20170123|3.0516096805783307e-05|2.8574604168678636e-05
20170124|2.5364632771261444e-05|2.9797891899816924e-05
20170125|2.466924015482487e-05|2.888521439738554e-05
20170126|2.340216936524893e-05|2.8429506697103033e-05
20170131|2.2773523211760914e-05|2.8366999983053183e-05
20170201|2.2748549614503967e-05|2.863502219378492e-05
20170202|2.530399449152194e-05|2.6052838965814437e-05
20170203|2.6533212828074258e-05|2.697291331624321e-05
20170206|2.852847562953485e-05|2.6353133129214416e-05
20170207|2.6653954036005565e-05|2.6747367082085838e-05
20170208|2.6951478231205023e-05|2.6629062678431393e-05
20170209|2.549694466698059e-05|2.7646056387559775e-05
20170210|2.381952589176765e-05|2.7823771918248276e-05
20170213|2.210575520518473e-05|2.7617543872322358e-05
20170214|2.184665159428789e-05|2.6505877720676604e-05
20170215|2.159017899407653e-05|2.7599570009157474e-05
20170216|2.0437820796605336e-05|2.668551804722373e-05
20170217|1.9260168654988154e-05|2.6733422537942165e-05
20170220|1.9367989719636347e-05|2.6913591034936624e-05
20170221|2.158356820102171e-05|2.600923806141474e-05
20170222|2.037772855978633e-05|2.607421975204614e-05
20170223|2.290014964702209e-05|2.582896571427519e-05
20170224|2.556356890240453e-05|2.484160250896042e-05
20170227|2.57478852561199e-05|2.6374457254703948e-05
20170228|2.400503410743821e-05|2.7285475095994667e-05
20170302|2.4730997393154658e-05|2.560615900169601e-05
